지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4518000000,정읍,70,0,0,5,37,-7,0,6,쌀,PA230101,일반계,,0,2001-01-01 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-01 00:00:00
4518000000,정읍,79,1,1,5,53,-1,0,1,쌀,PA230101,일반계,,0,2001-01-02 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-02 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-03 00:00:00
4518000000,정읍,80,-3,1,1,58,-7,0,5,쌀,PA230101,일반계,,0,2001-01-03 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-04 00:00:00
4518000000,정읍,80,-5,1,-2,58,-8,0,6,쌀,PA230101,일반계,,0,2001-01-04 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-05 00:00:00
4518000000,정읍,71,-4,0,1,44,-9,0,7,쌀,PA230101,일반계,,0,2001-01-05 00:00:00
4518000000,정읍,66,-1,0,4,38,-8,0,4,쌀,PA230101,일반계,,0,2001-01-06 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-06 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-07 00:00:00
4518000000,정읍,91,3,1,7,48,0,28,0,쌀,PA230101,일반계,,0,2001-01-07 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-08 00:00:00
4518000000,정읍,88,3,0,8,69,0,0,5,쌀,PA230101,일반계,,0,2001-01-08 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-09 00:00:00
4518000000,정읍,81,3,1,7,64,-1,7,0,쌀,PA230101,일반계,,0,2001-01-09 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-10 00:00:00
4518000000,정읍,62,-2,1,1,26,-5,0,8,쌀,PA230101,일반계,,0,2001-01-10 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-11 00:00:00
4518000000,정읍,62,0,1,2,34,-6,1,7,쌀,PA230101,일반계,,0,2001-01-11 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-12 00:00:00
4518000000,정읍,67,-5,1,-3,51,-8,0,7,쌀,PA230101,일반계,,0,2001-01-12 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-13 00:00:00
4518000000,정읍,83,-5,1,-2,56,-7,6,1,쌀,PA230101,일반계,,0,2001-01-13 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-14 00:00:00
4518000000,정읍,87,-9,0,-5,55,-13,1,5,쌀,PA230101,일반계,,0,2001-01-14 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-15 00:00:00
4518000000,정읍,84,-10,0,-6,55,-14,2,4,쌀,PA230101,일반계,,0,2001-01-15 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-16 00:00:00
4518000000,정읍,83,-9,0,-4,52,-14,0,8,쌀,PA230101,일반계,,0,2001-01-16 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-17 00:00:00
4518000000,정읍,73,-5,0,1,44,-11,0,7,쌀,PA230101,일반계,,0,2001-01-17 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-18 00:00:00
4518000000,정읍,75,0,0,7,54,-7,0,3,쌀,PA230101,일반계,,0,2001-01-18 00:00:00
4518000000,정읍,89,0,0,3,73,-4,2,0,쌀,PA230101,일반계,,0,2001-01-19 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-19 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-20 00:00:00
4518000000,정읍,93,1,1,4,82,0,16,0,쌀,PA230101,일반계,,0,2001-01-20 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-21 00:00:00
4518000000,정읍,82,0,0,5,58,-2,0,6,쌀,PA230101,일반계,,0,2001-01-21 00:00:00
4518000000,정읍,87,0,0,2,67,-3,0,0,쌀,PA230101,일반계,,0,2001-01-22 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-22 00:00:00
4518000000,정읍,72,-1,0,3,34,-5,0,7,쌀,PA230101,일반계,,0,2001-01-23 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-23 00:00:00
4518000000,정읍,65,1,0,7,38,-5,0,0,쌀,PA230101,일반계,,0,2001-01-24 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-24 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,쌀,PA230101,일반계,,0,2001-01-25 00:00:00
