,지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
0,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-01 00:00:00
1,4686000000,함평,0,0,0,3,0,-7,0,0,양파,PA250201,중만생종,,0,2001-01-01 00:00:00
2,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-02 00:00:00
3,4686000000,함평,0,4,2,6,0,1,0,0,양파,PA250201,중만생종,,0,2001-01-02 00:00:00
4,4686000000,함평,0,0,1,2,0,-3,0,0,양파,PA250201,중만생종,,0,2001-01-03 00:00:00
5,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-03 00:00:00
6,4686000000,함평,0,-2,1,0,0,-6,0,0,양파,PA250201,중만생종,,0,2001-01-04 00:00:00
7,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-04 00:00:00
8,4686000000,함평,0,-2,0,3,0,-8,0,0,양파,PA250201,중만생종,,0,2001-01-05 00:00:00
9,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-05 00:00:00
10,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-06 00:00:00
11,4686000000,함평,0,0,2,5,0,-5,0,0,양파,PA250201,중만생종,,0,2001-01-06 00:00:00
12,4686000000,함평,0,5,3,8,0,1,14,0,양파,PA250201,중만생종,,0,2001-01-07 00:00:00
13,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-07 00:00:00
14,4686000000,함평,0,5,1,10,0,2,0,0,양파,PA250201,중만생종,,0,2001-01-08 00:00:00
15,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-08 00:00:00
16,4686000000,함평,0,4,3,7,0,1,6,0,양파,PA250201,중만생종,,0,2001-01-09 00:00:00
17,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-09 00:00:00
18,4686000000,함평,0,0,1,2,0,-3,0,0,양파,PA250201,중만생종,,0,2001-01-10 00:00:00
19,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-10 00:00:00
20,4686000000,함평,0,0,1,4,0,-2,0,0,양파,PA250201,중만생종,,0,2001-01-11 00:00:00
21,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-11 00:00:00
22,4686000000,함평,0,-2,1,0,0,-5,0,0,양파,PA250201,중만생종,,0,2001-01-12 00:00:00
23,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-12 00:00:00
24,4686000000,함평,0,-2,1,2,0,-4,7,0,양파,PA250201,중만생종,,0,2001-01-13 00:00:00
25,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-13 00:00:00
26,4686000000,함평,0,-7,1,-3,0,-10,3,0,양파,PA250201,중만생종,,0,2001-01-14 00:00:00
27,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-14 00:00:00
28,4686000000,함평,0,-8,1,-3,0,-10,4,0,양파,PA250201,중만생종,,0,2001-01-15 00:00:00
29,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-15 00:00:00
30,4686000000,함평,0,-8,0,-2,0,-12,0,0,양파,PA250201,중만생종,,0,2001-01-16 00:00:00
31,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-16 00:00:00
32,4686000000,함평,0,-5,0,3,0,-13,0,0,양파,PA250201,중만생종,,0,2001-01-17 00:00:00
33,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-17 00:00:00
34,4686000000,함평,0,-1,0,8,0,-9,0,0,양파,PA250201,중만생종,,0,2001-01-18 00:00:00
35,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-18 00:00:00
36,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-19 00:00:00
37,4686000000,함평,0,0,1,5,0,-4,2,0,양파,PA250201,중만생종,,0,2001-01-19 00:00:00
38,4686000000,함평,0,4,2,7,0,1,7,0,양파,PA250201,중만생종,,0,2001-01-20 00:00:00
39,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-20 00:00:00
40,4686000000,함평,0,1,0,7,0,-2,0,0,양파,PA250201,중만생종,,0,2001-01-21 00:00:00
41,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-21 00:00:00
42,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-22 00:00:00
43,4686000000,함평,0,2,0,7,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-22 00:00:00
44,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-23 00:00:00
45,4686000000,함평,0,1,1,6,0,-3,0,0,양파,PA250201,중만생종,,0,2001-01-23 00:00:00
46,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-24 00:00:00
47,4686000000,함평,0,4,4,6,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-24 00:00:00
48,4686000000,함평,0,4,1,8,0,1,0,0,양파,PA250201,중만생종,,0,2001-01-25 00:00:00
49,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-25 00:00:00
50,4686000000,함평,0,5,3,8,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-26 00:00:00
51,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-26 00:00:00
52,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-27 00:00:00
53,4686000000,함평,0,2,1,6,0,0,3,0,양파,PA250201,중만생종,,0,2001-01-27 00:00:00
54,4686000000,함평,0,0,1,4,0,0,3,0,양파,PA250201,중만생종,,0,2001-01-28 00:00:00
55,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-28 00:00:00
56,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-29 00:00:00
57,4686000000,함평,0,0,1,4,0,-4,0,0,양파,PA250201,중만생종,,0,2001-01-29 00:00:00
58,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-30 00:00:00
59,4686000000,함평,0,1,1,6,0,-2,0,0,양파,PA250201,중만생종,,0,2001-01-30 00:00:00
60,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-01-31 00:00:00
61,4686000000,함평,0,2,1,6,0,-2,0,0,양파,PA250201,중만생종,,0,2001-01-31 00:00:00
62,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-01 00:00:00
63,4686000000,함평,0,0,2,5,0,-4,0,0,양파,PA250201,중만생종,,0,2001-02-01 00:00:00
64,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-02 00:00:00
65,4686000000,함평,0,-2,1,2,0,-8,0,0,양파,PA250201,중만생종,,0,2001-02-02 00:00:00
66,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-03 00:00:00
67,4686000000,함평,0,1,1,7,0,-5,0,0,양파,PA250201,중만생종,,0,2001-02-03 00:00:00
68,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-04 00:00:00
69,4686000000,함평,0,4,1,9,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-04 00:00:00
70,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-05 00:00:00
71,4686000000,함평,0,4,1,12,0,-2,0,0,양파,PA250201,중만생종,,0,2001-02-05 00:00:00
72,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-06 00:00:00
73,4686000000,함평,0,5,1,9,0,2,0,0,양파,PA250201,중만생종,,0,2001-02-06 00:00:00
74,4686000000,함평,0,1,2,5,0,-1,0,0,양파,PA250201,중만생종,,0,2001-02-07 00:00:00
75,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-07 00:00:00
76,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-08 00:00:00
77,4686000000,함평,0,-1,1,2,0,-5,0,0,양파,PA250201,중만생종,,0,2001-02-08 00:00:00
78,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-09 00:00:00
79,4686000000,함평,0,-1,1,5,0,-6,0,0,양파,PA250201,중만생종,,0,2001-02-09 00:00:00
80,4686000000,함평,0,0,1,8,0,-4,0,0,양파,PA250201,중만생종,,0,2001-02-10 00:00:00
81,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-10 00:00:00
82,4686000000,함평,0,0,1,5,0,-4,0,0,양파,PA250201,중만생종,,0,2001-02-11 00:00:00
83,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-11 00:00:00
84,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-12 00:00:00
85,4686000000,함평,0,0,1,2,0,-1,0,0,양파,PA250201,중만생종,,0,2001-02-12 00:00:00
86,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-13 00:00:00
87,4686000000,함평,0,0,1,4,0,-2,0,0,양파,PA250201,중만생종,,0,2001-02-13 00:00:00
88,4686000000,함평,0,-1,1,4,0,-6,0,0,양파,PA250201,중만생종,,0,2001-02-14 00:00:00
89,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-14 00:00:00
90,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-15 00:00:00
91,4686000000,함평,0,1,3,8,0,-5,1,0,양파,PA250201,중만생종,,0,2001-02-15 00:00:00
92,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-16 00:00:00
93,4686000000,함평,0,0,2,3,0,-4,0,0,양파,PA250201,중만생종,,0,2001-02-16 00:00:00
94,4686000000,함평,0,-1,1,5,0,-7,0,0,양파,PA250201,중만생종,,0,2001-02-17 00:00:00
95,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-17 00:00:00
96,4686000000,함평,0,3,1,10,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-18 00:00:00
97,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-18 00:00:00
98,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-19 00:00:00
99,4686000000,함평,0,3,1,11,0,-1,0,0,양파,PA250201,중만생종,,0,2001-02-19 00:00:00
100,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-20 00:00:00
101,4686000000,함평,0,5,0,15,0,-2,0,0,양파,PA250201,중만생종,,0,2001-02-20 00:00:00
102,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-21 00:00:00
103,4686000000,함평,0,6,0,8,0,2,4,0,양파,PA250201,중만생종,,0,2001-02-21 00:00:00
104,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-22 00:00:00
105,4686000000,함평,0,5,0,15,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-22 00:00:00
106,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-23 00:00:00
107,4686000000,함평,0,6,2,9,0,2,25,0,양파,PA250201,중만생종,,0,2001-02-23 00:00:00
108,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-24 00:00:00
109,4686000000,함평,0,3,2,7,0,0,7,0,양파,PA250201,중만생종,,0,2001-02-24 00:00:00
110,4686000000,함평,0,1,1,5,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-25 00:00:00
111,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-25 00:00:00
112,4686000000,함평,0,2,0,10,0,-3,0,0,양파,PA250201,중만생종,,0,2001-02-26 00:00:00
113,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-26 00:00:00
114,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-27 00:00:00
115,4686000000,함평,0,5,1,13,0,-1,7,0,양파,PA250201,중만생종,,0,2001-02-27 00:00:00
116,4686000000,함평,0,5,2,12,0,3,0,0,양파,PA250201,중만생종,,0,2001-02-28 00:00:00
117,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-02-28 00:00:00
118,4686000000,함평,0,5,1,10,0,3,2,0,양파,PA250201,중만생종,,0,2001-03-01 00:00:00
119,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-01 00:00:00
120,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-02 00:00:00
121,4686000000,함평,0,6,0,11,0,2,0,0,양파,PA250201,중만생종,,0,2001-03-02 00:00:00
122,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-03 00:00:00
123,4686000000,함평,0,5,1,13,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-03 00:00:00
124,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-04 00:00:00
125,4686000000,함평,0,1,3,3,0,-2,0,0,양파,PA250201,중만생종,,0,2001-03-04 00:00:00
126,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-05 00:00:00
127,4686000000,함평,0,4,1,7,0,1,0,0,양파,PA250201,중만생종,,0,2001-03-05 00:00:00
128,4686000000,함평,0,6,2,12,0,1,0,0,양파,PA250201,중만생종,,0,2001-03-06 00:00:00
129,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-06 00:00:00
130,4686000000,함평,0,1,2,5,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-07 00:00:00
131,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-07 00:00:00
132,4686000000,함평,0,0,2,2,0,-2,0,0,양파,PA250201,중만생종,,0,2001-03-08 00:00:00
133,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-08 00:00:00
134,4686000000,함평,0,1,1,5,0,-3,0,0,양파,PA250201,중만생종,,0,2001-03-09 00:00:00
135,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-09 00:00:00
136,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-10 00:00:00
137,4686000000,함평,0,3,1,9,0,-1,0,0,양파,PA250201,중만생종,,0,2001-03-10 00:00:00
138,4686000000,함평,0,1,1,8,0,-4,0,0,양파,PA250201,중만생종,,0,2001-03-11 00:00:00
139,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-11 00:00:00
140,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-12 00:00:00
141,4686000000,함평,0,2,1,7,0,-2,0,0,양파,PA250201,중만생종,,0,2001-03-12 00:00:00
142,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-13 00:00:00
143,4686000000,함평,0,5,1,13,0,-3,0,0,양파,PA250201,중만생종,,0,2001-03-13 00:00:00
144,4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2001-03-14 00:00:00
