지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
201,강화,2001-01-01,-5.5,-11.4,-1.1,,3.2,3.2,2.8,0.8,691.0,-9.2,51.0,76.8,3.2,1012.3,9.6,3.6,,,3.8,3.8,,-16.3,,,,,,,,,
201,강화,2001-01-02,-5.8,-10.2,-0.3,,,4.3,3.1,0.7,605.0,-12.6,42.0,62.3,2.4,1014.3,9.6,6.5,,,0.0,3.4,,-13.5,,,,,,,,,
201,강화,2001-01-03,-10.4,-14.0,-5.5,,,3.5,2.4,0.6,518.0,-16.9,43.0,61.1,1.6,1020.9,9.6,8.1,,,0.0,2.8,,-17.3,,,,,,,,,
201,강화,2001-01-04,-11.2,-14.1,-6.7,,,4.0,2.8,0.8,691.0,-18.4,42.0,57.8,1.4,1025.8,9.6,9.0,,,0.0,2.6,,-19.3,,,,,,,,,
201,강화,2001-01-05,-9.6,-14.5,-4.2,,,3.1,2.4,0.6,518.0,-13.9,46.0,72.9,2.1,1029.8,9.6,4.9,,,0.0,2.4,,-20.1,,,,,,,,,
201,강화,2001-01-06,-5.5,-12.3,-0.9,,,3.2,2.4,1.0,864.0,-13.6,30.0,55.3,2.2,1028.5,9.7,7.0,,,0.0,2.2,,-18.7,,,,,,,,,
201,강화,2001-01-07,-0.6,-2.8,0.2,,22.5,6.9,6.2,3.1,2678.0,-3.9,41.0,80.8,4.7,1013.9,9.7,0.0,,,26.6,26.6,,-9.8,,,,,,,,,
201,강화,2001-01-08,1.1,-2.8,4.1,,,4.2,3.4,1.9,1642.0,-4.4,58.0,67.0,4.4,1018.7,9.7,8.7,,,0.0,26.4,,-5.4,,,,,,,,,
201,강화,2001-01-09,-1.6,-7.8,2.0,,7.3,4.8,3.8,1.2,1037.0,-5.3,53.0,78.1,4.4,1013.5,9.7,0.0,,,7.5,29.1,,-12.4,,,,,,,,,
201,강화,2001-01-10,-6.9,-14.2,-1.5,,1.6,3.4,2.5,0.7,605.0,-13.7,34.0,60.9,2.2,1013.5,9.7,8.8,,,2.9,27.9,,-17.0,,,,,,,,,
201,강화,2001-01-11,-10.2,-16.5,-0.9,,,4.1,2.8,0.9,778.0,-18.8,37.0,51.0,1.4,1015.7,9.8,6.8,,,0.0,27.9,,-18.1,,,,,,,,,
201,강화,2001-01-12,-14.4,-19.4,-8.2,,,2.3,1.6,0.6,518.0,-20.2,34.0,66.4,1.2,1020.7,9.8,6.7,,,0.0,27.3,,-21.2,,,,,,,,,
201,강화,2001-01-13,-12.5,-18.1,-7.4,,,3.7,3.2,0.8,691.0,-19.2,31.0,61.9,1.4,1017.8,9.8,8.8,,,0.0,26.3,,-19.7,,,,,,,,,
201,강화,2001-01-14,-16.1,-21.1,-11.7,,,3.6,1.8,0.7,605.0,-24.0,40.0,51.6,0.9,1021.3,9.8,7.6,,,0.0,25.1,,-23.2,,,,,,,,,
201,강화,2001-01-15,-17.9,-22.1,-12.3,,,3.2,1.8,0.6,518.0,-24.2,45.0,58.9,0.9,1025.7,9.8,8.9,,,0.0,24.9,,-24.2,,,,,,,,,
201,강화,2001-01-16,-16.4,-21.4,-10.4,,,1.8,1.6,0.3,259.0,-22.2,44.0,61.6,1.1,1027.2,9.9,8.7,,,0.0,24.6,,-24.1,,,,,,,,,
201,강화,2001-01-17,-10.5,-19.4,-5.0,,0.0,1.5,1.1,0.6,518.0,-16.8,26.0,60.8,1.8,1025.7,9.9,7.4,,,0.0,24.4,,-20.8,,,,,,,,,
201,강화,2001-01-18,-3.7,-7.5,2.6,,0.0,3.0,2.0,0.6,518.0,-7.4,55.0,76.4,3.5,1024.0,9.9,2.5,,,0.0,24.3,,-10.2,,,,,,,,,
201,강화,2001-01-19,-2.9,-8.7,2.3,,2.0,1.5,1.1,0.3,259.0,-5.5,59.0,84.1,4.1,1023.4,9.9,2.9,,,2.2,25.4,,-12.1,,,,,,,,,
201,강화,2001-01-20,-1.6,-7.4,2.1,,1.0,3.8,2.7,0.6,518.0,-3.8,70.0,86.6,4.7,1015.7,10.0,1.0,,,1.3,26.3,,-10.4,,,,,,,,,
201,강화,2001-01-21,-4.3,-9.6,0.8,,,1.6,1.2,0.3,259.0,-7.5,57.0,79.3,3.5,1019.1,10.0,0.0,,,0.0,23.9,,-10.9,,,,,,,,,
201,강화,2001-01-22,-3.6,-8.1,1.0,,,3.6,2.7,0.6,518.0,-9.2,33.0,68.0,3.1,1020.9,10.0,5.3,,,0.0,23.3,,-11.6,,,,,,,,,
201,강화,2001-01-23,-5.4,-10.5,-0.2,,,3.7,3.0,0.8,691.0,-13.4,34.0,55.6,2.2,1024.9,10.0,6.9,,,0.0,22.6,,-15.6,,,,,,,,,
201,강화,2001-01-24,-2.6,-9.4,3.6,,,1.9,1.5,0.5,432.0,-8.9,43.0,63.0,3.2,1022.1,10.1,8.3,,,0.0,22.3,,-13.9,,,,,,,,,
201,강화,2001-01-25,0.2,-4.6,4.0,,,4.7,3.8,1.2,1037.0,-8.5,33.0,53.0,3.2,1015.9,10.1,7.6,,,0.0,21.2,,-9.3,,,,,,,,,
201,강화,2001-01-26,-0.3,-2.2,2.8,,0.3,4.6,3.6,2.3,1987.0,-6.9,46.0,62.6,3.7,1013.7,10.1,0.0,,,0.7,21.3,,-6.4,,,,,,,,,
201,강화,2001-01-27,-1.2,-3.4,2.9,,1.5,4.1,3.5,1.2,1037.0,-4.0,62.0,81.6,4.5,1012.5,10.2,2.8,,,2.9,24.0,,-7.5,,,,,,,,,
201,강화,2001-01-28,-4.9,-10.2,-0.1,,,5.2,4.1,1.4,1210.0,-10.5,46.0,65.9,2.8,1015.1,10.2,8.9,,,0.0,23.0,,-14.9,,,,,,,,,
201,강화,2001-01-29,-4.6,-12.2,1.5,,0.1,5.4,3.5,0.9,778.0,-9.3,48.0,71.0,3.1,1017.6,10.2,6.9,,,0.2,22.0,,-16.0,,,,,,,,,
201,강화,2001-01-30,-3.0,-7.4,2.6,,,3.0,2.3,0.7,605.0,-10.5,25.0,60.1,2.8,1018.0,10.3,9.3,,,0.0,21.2,,-11.6,,,,,,,,,
201,강화,2001-01-31,-2.1,-8.1,2.3,,5.7,4.5,3.0,1.0,864.0,-5.8,60.0,77.0,4.1,1012.1,10.3,0.0,,,3.3,24.3,,-12.5,,,,,,,,,
201,강화,2001-02-01,-7.0,-11.9,-0.7,,,5.0,3.5,1.4,1210.0,-15.4,32.0,53.6,1.9,1016.8,10.3,9.3,,,0.0,23.2,,-16.5,,,,,,,,,
201,강화,2001-02-02,-8.0,-15.7,-3.5,,1.6,2.9,1.8,0.6,518.0,-11.2,47.0,80.0,2.8,1019.4,10.3,4.9,,,3.2,25.7,,-19.0,,,,,,,,,
201,강화,2001-02-03,-3.7,-8.1,1.2,,,2.3,1.8,0.6,518.0,-9.1,41.0,68.8,3.1,1021.8,10.4,8.2,,,0.0,25.5,,-9.4,,,,,,,,,
201,강화,2001-02-04,-1.8,-6.0,4.7,,,2.6,2.2,0.6,518.0,-6.9,49.0,69.3,3.7,1022.4,10.4,7.3,,,0.0,24.6,,-8.9,,,,,,,,,
201,강화,2001-02-05,-1.1,-6.6,4.4,,,3.9,2.8,0.9,778.0,-6.6,48.0,67.5,3.8,1019.1,10.4,8.6,,,0.0,23.2,,-10.2,,,,,,,,,
201,강화,2001-02-06,0.5,-4.7,5.9,,,3.6,3.0,0.9,778.0,-4.5,57.0,72.1,4.4,1015.6,10.5,7.5,,,0.0,17.8,,-8.8,,,,,,,,,
201,강화,2001-02-07,-4.5,-11.3,0.3,,,4.5,3.1,1.5,1296.0,-13.6,35.0,49.5,2.2,1017.7,10.5,8.6,,,0.0,15.2,,-15.8,,,,,,,,,
201,강화,2001-02-08,-7.1,-13.4,-2.3,,0.3,2.8,1.9,0.6,518.0,-13.0,34.0,65.6,2.3,1022.1,10.6,9.5,,,0.7,15.2,,-17.8,,,,,,,,,
201,강화,2001-02-09,-2.5,-9.6,2.8,,0.7,5.0,3.2,1.0,864.0,-6.4,50.0,76.0,3.9,1021.0,10.6,3.8,,,1.7,16.9,,-11.4,,,,,,,,,
201,강화,2001-02-10,-3.6,-8.1,0.5,,,3.2,2.1,0.7,605.0,-13.4,29.0,49.0,2.2,1025.4,10.6,7.9,,,0.0,13.5,,-12.2,,,,,,,,,
201,강화,2001-02-11,-5.8,-9.3,-1.5,,,4.3,2.9,1.1,950.0,-17.3,25.0,40.1,1.6,1030.7,10.7,9.0,,,0.0,13.0,,-11.9,,,,,,,,,
201,강화,2001-02-12,-5.6,-8.2,-1.2,,,3.9,2.3,0.9,778.0,-16.8,32.0,40.3,1.7,1028.2,10.7,8.9,,,0.0,12.2,,-10.5,,,,,,,,,
201,강화,2001-02-13,-4.5,-7.2,-1.0,,,4.2,2.3,0.8,691.0,-16.2,28.0,40.0,1.8,1021.7,10.7,6.7,,,0.0,10.8,,-12.5,,,,,,,,,
201,강화,2001-02-14,-5.4,-9.6,-1.5,,,3.7,2.1,0.7,605.0,-13.5,33.0,54.9,2.2,1021.5,10.8,10.0,,,0.0,7.5,,-16.0,,,,,,,,,
201,강화,2001-02-15,-3.5,-8.4,-0.3,,25.0,4.3,2.1,0.9,778.0,-6.7,58.0,78.6,3.8,1015.3,10.8,0.0,,,27.2,30.3,,-14.0,,,,,,,,,
201,강화,2001-02-16,-7.1,-12.2,-3.6,,,3.9,2.4,1.0,864.0,-14.3,41.0,58.1,2.0,1025.8,10.8,10.5,,,0.0,28.8,,-16.8,,,,,,,,,
201,강화,2001-02-17,-3.1,-10.5,1.1,,,1.8,1.1,0.5,432.0,-7.0,62.0,74.8,3.7,1022.6,10.9,2.0,,,0.0,23.4,,-15.5,,,,,,,,,
201,강화,2001-02-18,1.5,-1.1,4.8,,,1.8,0.9,0.4,346.0,-2.4,57.0,74.9,5.1,1016.1,10.9,1.8,,,0.0,17.5,,-6.2,,,,,,,,,
