지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
238,금산,2001-01-01,-2.9,-12.4,4.8,,,11.5,10.5,1.4,1210,-10.1,25,62.8,3.0,996.7,9.8,7.1,,,0.0,0.0,,-15.7,,,,,,,,,
238,금산,2001-01-02,0.9,-4.0,5.2,,1.5,13.7,6.1,2.6,2246,-5.6,42,62.6,4.1,997.2,9.8,1.7,,,0.3,0.3,,-6.7,,,,,,,,,
238,금산,2001-01-03,-5.9,-10.6,-1.3,,1.5,6.0,3.5,1.0,864,-9.7,47,76.3,3.0,1003.5,9.8,3.8,,,3.1,3.1,,-13.1,,,,,,,,,
238,금산,2001-01-04,-7.7,-13.8,-2.1,,0.0,6.9,5.2,1.4,1210,-13.4,37,68.0,2.2,1008.1,9.8,7.9,,,0.2,3.3,,-16.7,,,,,,,,,
238,금산,2001-01-05,-7.5,-14.1,1.3,,,4.3,4.0,0.8,691,-12.6,37,71.4,2.3,1012.6,9.8,7.5,,,0.0,0.0,,-16.7,,,,,,,,,
238,금산,2001-01-06,-2.7,-12.2,4.5,,,5.2,3.1,0.9,778,-12.6,21,54.8,2.4,1011.2,9.8,6.0,,,0.0,0.0,,-15.5,,,,,,,,,
238,금산,2001-01-07,1.7,-0.3,4.2,,28.5,10.0,5.9,2.2,1901,-0.3,52,87.1,6.0,995.0,9.8,0.0,,,13.9,13.9,,-2.6,,,,,,,,,
238,금산,2001-01-08,2.1,-2.4,9.9,,,3.2,2.5,1.0,864,-1.4,47,79.3,5.5,1001.2,9.8,7.1,,,0.0,5.8,,-3.7,,,,,,,,,
238,금산,2001-01-09,1.4,-2.2,5.8,,5.0,7.2,5.8,1.6,1382,-1.6,66,80.4,5.5,996.2,9.9,0.0,,,0.0,3.5,,-3.9,,,,,,,,,
238,금산,2001-01-10,-4.0,-9.4,2.2,,,5.6,4.1,1.2,1037,-11.4,26,59.8,2.6,997.7,9.9,8.2,,,0.0,2.7,,-13.0,,,,,,,,,
238,금산,2001-01-11,-3.1,-9.1,1.7,,0.6,6.6,6.2,1.6,1382,-11.0,28,57.5,2.8,997.4,9.9,8.0,,,1.0,3.3,,-12.4,,,,,,,,,
238,금산,2001-01-12,-8.3,-13.5,-4.1,,,5.3,4.6,1.2,1037,-14.4,42,63.6,2.0,1003.3,9.9,7.1,,,0.0,2.4,,-16.6,,,,,,,,,
238,금산,2001-01-13,-6.2,-9.1,-1.8,,0.3,8.3,5.6,1.7,1469,-11.8,47,66.1,2.5,999.3,9.9,3.2,,,0.5,2.9,,-12.2,,,,,,,,,
238,금산,2001-01-14,-10.8,-14.7,-6.0,,,9.5,7.8,1.8,1555,-16.1,42,67.5,1.8,1003.3,10.0,6.3,,,0.0,2.4,,-18.3,,,,,,,,,
238,금산,2001-01-15,-12.1,-17.9,-6.5,,,8.6,6.0,1.4,1210,-16.5,45,73.5,1.7,1007.9,10.0,7.9,,,0.0,2.4,,-21.6,,,,,,,,,
238,금산,2001-01-16,-11.1,-16.6,-4.0,,,8.6,5.4,1.2,1037,-15.9,33,71.5,1.8,1009.7,10.0,8.0,,,0.0,2.4,,-20.3,,,,,,,,,
238,금산,2001-01-17,-7.9,-16.2,1.0,,,4.3,3.5,0.7,605,-13.5,34,67.9,2.2,1009.3,10.0,8.0,,,0.0,2.4,,-20.1,,,,,,,,,
238,금산,2001-01-18,-1.7,-6.5,3.6,,,3.0,1.8,0.7,605,-5.7,58,74.9,4.1,1007.8,10.0,0.0,,,0.0,2.3,,-9.4,,,,,,,,,
238,금산,2001-01-19,-0.8,-6.7,5.0,,,2.8,1.9,0.6,518,-4.4,49,79.1,4.5,1006.8,10.1,1.6,,,0.0,2.0,,-10.1,,,,,,,,,
238,금산,2001-01-20,1.6,-1.6,6.6,,15.3,4.5,3.2,0.6,518,-0.7,67,85.6,5.8,998.4,10.1,2.6,,,20.2,21.2,,-3.4,,,,,,,,,
238,금산,2001-01-21,-2.6,-8.4,5.2,,,5.1,3.2,0.7,605,-5.9,49,79.4,4.0,1002.6,10.1,4.5,,,0.0,11.8,,-12.0,,,,,,,,,
238,금산,2001-01-22,-3.8,-8.3,5.8,,,2.2,1.9,0.3,259,-7.6,36,77.4,3.5,1003.6,10.1,0.4,,,0.0,7.3,,-11.1,,,,,,,,,
238,금산,2001-01-23,-5.0,-12.8,5.7,,,3.4,2.6,0.7,605,-11.2,24,66.3,2.6,1007.4,10.2,7.7,,,0.0,6.5,,-16.4,,,,,,,,,
238,금산,2001-01-24,-2.7,-12.1,5.2,,,2.8,2.0,0.6,518,-7.5,44,72.3,3.6,1005.4,10.2,5.4,,,0.0,6.0,,-15.4,,,,,,,,,
238,금산,2001-01-25,2.0,-2.7,8.0,,,6.4,4.3,0.8,691,-3.3,49,68.9,4.8,997.8,10.2,2.8,,,0.0,5.6,,-5.1,,,,,,,,,
238,금산,2001-01-26,3.0,1.9,4.1,,,9.6,6.8,2.9,2506,-4.6,48,57.6,4.3,996.1,10.2,0.0,,,0.0,4.5,,0.6,,,,,,,,,
238,금산,2001-01-27,0.9,-0.6,3.6,,5.8,7.5,6.5,1.2,1037,-2.3,62,79.8,5.2,996.1,10.3,0.0,,,6.7,8.8,,-2.6,,,,,,,,,
