지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
247,남원,2001-01-01,-2.9,-11.0,4.3,,,3.8,3.3,0.8,691.0,-9.6,25,65.1,3.0,1007.9,9.8,7.3,,,0.0,0.0,,-13.4,,,,,,,,,
247,남원,2001-01-02,1.7,-2.3,6.1,,,12.1,7.9,2.3,1987.0,-3.6,48,68.6,4.7,1008.4,9.8,4.1,,,0.0,0.0,,-4.2,,,,,,,,,
247,남원,2001-01-03,-2.6,-6.7,2.8,,0.0,6.6,4.6,1.4,1210.0,-7.5,45,71.0,3.5,1013.9,9.8,5.8,,,0.0,0.0,,-8.5,,,,,,,,,
247,남원,2001-01-04,-5.3,-9.8,-0.5,,0.3,10.7,6.8,2.1,1814.0,-10.3,35,70.4,2.8,1018.6,9.8,8.4,,,1.2,1.2,,-12.0,,,,,,,,,
247,남원,2001-01-05,-5.3,-11.7,2.9,,,8.2,5.6,1.4,1210.0,-10.9,38,69.3,2.7,1022.9,9.9,8.0,,,0.0,0.0,,-13.8,,,,,,,,,
247,남원,2001-01-06,-1.9,-10.7,4.7,,,7.2,4.6,1.0,864.0,-9.4,22,62.4,3.1,1021.2,9.9,6.3,,,0.0,0.0,,-12.6,,,,,,,,,
247,남원,2001-01-07,4.0,0.6,6.5,,15.5,14.0,8.5,2.8,2419.0,1.3,65,83.1,6.7,1003.5,9.9,0.0,,,1.5,1.5,,-0.6,,,,,,,,,
247,남원,2001-01-08,4.6,-0.7,11.4,,,4.7,3.2,1.2,1037.0,0.4,48,75.9,6.3,1010.6,9.9,6.0,,,0.0,0.0,,-1.8,,,,,,,,,
247,남원,2001-01-09,3.5,-1.5,6.7,,5.5,10.5,7.3,2.8,2419.0,-0.7,61,74.5,5.9,1006.7,9.9,0.0,,,0.0,0.0,,-3.2,,,,,,,,,
247,남원,2001-01-10,-1.9,-6.6,3.9,,,6.3,4.3,1.4,1210.0,-9.2,27,60.1,3.1,1008.5,9.9,9.0,,,0.0,0.0,,-8.7,,,,,,,,,
247,남원,2001-01-11,-1.5,-5.4,4.3,,0.1,9.1,4.9,1.4,1210.0,-8.6,27,62.9,3.3,1007.6,9.9,7.9,,,0.4,0.4,,-7.3,,,,,,,,,
247,남원,2001-01-12,-4.4,-9.4,0.6,,,7.0,5.8,1.7,1469.0,-10.4,46,64.1,2.8,1013.1,9.9,8.1,,,0.0,0.0,,-11.6,,,,,,,,,
247,남원,2001-01-13,-4.8,-11.1,1.0,,4.5,7.7,6.0,1.7,1469.0,-8.5,53,77.4,3.3,1009.5,10.0,3.8,,,14.0,14.0,,-13.5,,,,,,,,,
247,남원,2001-01-14,-10.3,-17.4,-4.8,,0.2,13.1,10.4,1.9,1642.0,-14.4,47,75.4,2.0,1013.9,10.0,6.1,,,0.6,5.2,,-20.0,,,,,,,,,
247,남원,2001-01-15,-12.8,-19.7,-5.2,,,12.8,7.0,1.4,1210.0,-16.0,50,81.0,1.8,1018.6,10.0,8.6,,,0.0,3.8,,-22.1,,,,,,,,,
247,남원,2001-01-16,-12.2,-19.4,-2.9,,,10.2,7.0,1.2,1037.0,-16.0,36,79.4,1.8,1020.5,10.0,8.7,,,0.0,3.3,,-21.7,,,,,,,,,
247,남원,2001-01-17,-8.5,-16.9,1.6,,,5.2,3.5,0.9,778.0,-12.9,34,75.1,2.3,1020.2,10.1,8.4,,,0.0,2.8,,-19.1,,,,,,,,,
247,남원,2001-01-18,-4.2,-13.9,6.6,,,3.8,2.0,0.5,432.0,-7.6,46,80.8,3.6,1019.1,10.1,4.7,,,0.0,2.0,,-15.9,,,,,,,,,
247,남원,2001-01-19,-1.6,-7.5,4.0,,0.5,3.0,2.0,0.5,432.0,-3.6,64,87.5,4.8,1017.2,10.1,0.8,,,0.2,1.4,,-9.8,,,,,,,,,
247,남원,2001-01-20,3.0,0.4,8.7,,19.0,9.0,6.8,1.4,1210.0,0.2,65,82.9,6.2,1008.1,10.1,4.0,,,0.0,0.1,,-1.4,,,,,,,,,
247,남원,2001-01-21,0.2,-3.7,5.8,,,7.6,4.2,1.2,1037.0,-3.5,47,78.1,4.7,1012.8,10.2,8.6,,,0.0,0.0,,-5.6,,,,,,,,,
247,남원,2001-01-22,-0.4,-4.2,6.0,,,2.8,2.6,0.5,432.0,-3.6,48,80.8,4.7,1013.2,10.2,1.1,,,0.0,0.0,,-6.1,,,,,,,,,
247,남원,2001-01-23,-1.1,-6.2,6.9,,,6.4,4.7,2.1,1814.0,-8.1,21,66.9,3.4,1017.0,10.2,8.0,,,0.0,0.0,,-8.3,,,,,,,,,
247,남원,2001-01-24,0.6,-6.0,5.7,,,4.4,3.1,0.8,691.0,-4.7,45,69.6,4.3,1015.3,10.2,0.6,,,0.0,0.0,,-7.8,,,,,,,,,
247,남원,2001-01-25,4.1,0.4,8.6,,,9.9,7.0,1.9,1642.0,-1.9,47,66.1,5.3,1006.8,10.2,0.9,,,0.0,0.0,,-1.0,,,,,,,,,
247,남원,2001-01-26,4.6,1.8,7.3,,,12.8,8.9,4.2,3629.0,-3.5,46,56.4,4.7,1005.0,10.3,1.9,,,0.0,0.0,,0.2,,,,,,,,,
247,남원,2001-01-27,1.0,-1.7,4.6,,4.5,8.5,6.4,1.2,1037.0,-1.3,66,85.4,5.6,1007.1,10.3,2.2,,,2.2,2.2,,-3.4,,,,,,,,,
247,남원,2001-01-28,-1.1,-3.7,2.0,,3.0,13.1,7.5,1.9,1642.0,-5.0,48,76.8,4.3,1009.7,10.3,1.7,,,4.1,4.1,,-5.6,,,,,,,,,
247,남원,2001-01-29,-2.4,-9.4,4.6,,,7.7,5.2,0.9,778.0,-5.8,47,79.9,4.0,1013.9,10.4,6.7,,,0.0,1.5,,-11.5,,,,,,,,,
247,남원,2001-01-30,-1.2,-5.0,5.5,,0.0,4.6,4.0,0.6,518.0,-4.0,51,82.9,4.6,1013.1,10.4,4.1,,,0.0,0.0,,-7.3,,,,,,,,,
247,남원,2001-01-31,-0.3,-5.5,4.5,,,8.3,5.8,0.5,432.0,-3.1,60,82.1,5.0,1008.0,10.4,0.5,,,0.0,0.0,,-7.8,,,,,,,,,
247,남원,2001-02-01,-0.9,-7.3,4.2,,,14.4,9.5,4.3,3715.0,-11.6,30,45.3,2.6,1009.5,10.5,8.6,,,0.0,0.0,,-9.4,,,,,,,,,
247,남원,2001-02-02,-3.6,-10.4,4.4,,,8.2,8.0,2.4,2074.0,-10.9,24,61.8,2.7,1014.4,10.5,9.3,,,0.0,0.0,,-12.6,,,,,,,,,
247,남원,2001-02-03,-0.4,-7.7,8.0,,,3.7,1.6,0.5,432.0,-4.7,33,73.6,4.4,1016.0,10.5,7.4,,,0.0,0.0,,-9.8,,,,,,,,,
247,남원,2001-02-04,2.2,-2.5,10.1,,,3.2,2.0,0.4,346.0,-3.0,35,71.6,4.9,1015.0,10.6,5.1,,,0.0,0.0,,-4.5,,,,,,,,,
247,남원,2001-02-05,3.5,-5.1,12.6,,,6.3,3.7,0.9,778.0,-2.3,29,69.6,5.2,1011.3,10.6,8.7,,,0.0,0.0,,-7.0,,,,,,,,,
247,남원,2001-02-06,5.3,0.8,12.5,,,6.0,3.9,2.6,2246.0,-0.8,36,65.1,5.8,1007.9,10.6,5.8,,,0.0,0.0,,0.1,,,,,,,,,
247,남원,2001-02-07,0.9,-5.9,6.8,,,9.1,5.7,2.2,1901.0,-4.9,36,65.5,4.4,1010.6,10.6,6.5,,,0.0,0.0,,-8.0,,,,,,,,,
247,남원,2001-02-08,-3.2,-7.8,2.0,,,7.9,4.7,2.3,1987.0,-11.8,30,53.5,2.5,1016.2,10.7,9.9,,,0.0,0.0,,-9.5,,,,,,,,,
247,남원,2001-02-09,-3.0,-9.6,4.4,,,5.0,2.8,0.6,518.0,-6.3,51,79.1,3.9,1017.0,10.7,4.4,,,0.0,0.0,,-11.3,,,,,,,,,
247,남원,2001-02-10,-1.2,-7.9,8.1,,,4.0,2.5,0.7,605.0,-7.9,22,66.9,3.4,1018.7,10.7,8.8,,,0.0,0.0,,-10.0,,,,,,,,,
247,남원,2001-02-11,-0.8,-8.0,5.8,,,7.3,3.9,1.5,1296.0,-7.9,31,61.8,3.4,1022.4,10.8,5.2,,,0.0,0.0,,-8.8,,,,,,,,,
247,남원,2001-02-12,-0.3,-3.7,2.9,,,6.4,4.1,1.4,1210.0,-11.6,25,42.8,2.5,1019.9,10.8,0.0,,,0.0,0.0,,-5.0,,,,,,,,,
247,남원,2001-02-13,-0.7,-4.4,4.5,,,8.6,5.3,2.2,1901.0,-13.1,24,39.4,2.2,1013.8,10.8,6.3,,,0.0,0.0,,-6.5,,,,,,,,,
247,남원,2001-02-14,-2.8,-8.3,3.4,,,11.3,6.6,1.8,1555.0,-10.8,25,58.0,2.7,1015.6,10.9,9.1,,,0.0,0.0,,-9.5,,,,,,,,,
247,남원,2001-02-15,-0.9,-9.8,8.6,,4.0,14.0,7.1,2.6,2246.0,-5.3,35,75.0,4.2,1012.6,10.9,2.2,,,0.0,0.0,,-10.6,,,,,,,,,
247,남원,2001-02-16,-2.0,-8.0,2.0,,,11.3,6.2,3.1,2678.0,-8.2,41,63.6,3.3,1019.7,10.9,9.4,,,0.0,0.0,,-9.8,,,,,,,,,
247,남원,2001-02-17,-1.7,-9.8,7.0,,,5.9,3.1,0.7,605.0,-7.0,37,70.1,3.7,1017.4,11.0,7.9,,,0.0,0.0,,-11.1,,,,,,,,,
247,남원,2001-02-18,2.4,-2.7,12.1,,,5.0,3.2,0.7,605.0,-2.3,42,73.0,5.2,1010.4,11.0,3.9,,,0.0,0.0,,-4.8,,,,,,,,,
247,남원,2001-02-19,3.4,-4.6,14.6,,,7.9,4.3,1.4,1210.0,-2.2,30,71.4,5.2,1012.5,11.1,8.4,,,0.0,0.0,,-7.0,,,,,,,,,
247,남원,2001-02-20,4.6,-4.8,16.2,,,5.5,3.8,0.9,778.0,-1.3,29,70.5,5.6,1011.3,11.1,8.7,,,0.0,0.0,,-6.5,,,,,,,,,
247,남원,2001-02-21,3.4,-1.6,7.8,,4.0,3.0,1.7,0.4,346.0,2.1,84,90.9,7.2,1006.9,11.1,0.0,,,0.0,0.0,,-3.0,,,,,,,,,
247,남원,2001-02-22,4.8,-0.5,17.2,,,2.7,1.6,0.7,605.0,0.9,21,78.9,6.6,1008.2,11.2,6.4,,,0.0,0.0,,-1.7,,,,,,,,,
247,남원,2001-02-23,5.0,-1.6,7.5,,28.5,7.3,3.9,1.4,1210.0,2.8,75,85.3,7.6,1001.0,11.2,0.0,,,0.0,0.0,,-2.4,,,,,,,,,
247,남원,2001-02-24,3.1,-0.4,6.0,,6.5,12.0,6.6,2.7,2333.0,-0.2,62,78.4,6.2,1006.0,11.2,0.4,,,0.0,0.0,,-1.2,,,,,,,,,
247,남원,2001-02-25,0.1,-3.7,5.5,,,10.6,5.7,2.6,2246.0,-7.5,32,58.4,3.5,1019.4,11.3,10.3,,,0.0,0.0,,-5.4,,,,,,,,,
247,남원,2001-02-26,0.8,-5.3,9.7,,,3.9,2.8,0.6,518.0,-4.3,26,71.5,4.4,1021.1,11.3,9.4,,,0.0,0.0,,-7.6,,,,,,,,,
247,남원,2001-02-27,1.9,-4.4,11.5,,21.5,6.3,3.7,0.3,259.0,-0.2,66,85.9,6.3,1013.4,11.3,0.0,,,0.0,0.0,,-6.5,,,,,,,,,
247,남원,2001-02-28,7.4,4.8,11.6,,14.5,8.3,5.8,2.4,2074.0,3.3,55,75.3,7.8,1004.1,11.4,8.1,,,0.0,0.0,,4.0,,,,,,,,,
247,남원,2001-03-01,4.2,0.6,9.6,,13.5,10.5,5.5,1.9,1642.0,-0.9,32,71.6,5.9,1005.8,11.4,5.8,,,0.0,0.0,,-0.6,,,,,,,,,
247,남원,2001-03-02,5.4,-0.9,13.4,,,3.5,2.6,0.7,605.0,1.1,42,75.5,6.6,1012.7,11.4,6.6,,,0.0,0.0,,-2.2,,,,,,,,,
247,남원,2001-03-03,4.7,-0.8,12.3,,1.5,15.1,8.8,1.7,1469.0,1.8,55,81.5,7.2,1005.3,11.5,1.3,,,0.0,0.0,,-1.7,,,,,,,,,
247,남원,2001-03-04,-1.3,-3.4,0.5,,4.6,15.5,7.6,3.1,2678.0,-3.6,56,84.3,4.7,1002.0,11.5,1.7,,,8.0,8.0,,-6.1,,,,,,,,,
247,남원,2001-03-05,0.7,-8.1,8.1,,,8.3,4.3,1.2,1037.0,-3.6,35,74.9,4.7,1008.7,11.6,9.6,,,0.0,7.8,,-9.7,,,,,,,,,
247,남원,2001-03-06,5.1,-1.7,14.1,,,9.1,5.3,1.8,1555.0,-0.7,35,67.9,6.0,1005.8,11.6,4.1,,,0.0,0.0,,-2.4,,,,,,,,,
247,남원,2001-03-07,0.6,-2.0,4.0,,0.1,17.0,8.0,4.4,3802.0,-6.2,40,60.0,3.9,1010.4,11.6,8.2,,,0.3,0.3,,-3.6,,,,,,,,,
247,남원,2001-03-08,-2.9,-4.3,-0.6,,4.4,11.0,5.1,2.3,1987.0,-6.0,60,79.0,3.9,1010.2,11.7,1.0,,,4.8,4.8,,-5.2,,,,,,,,,
247,남원,2001-03-09,-1.1,-11.1,5.5,,1.0,9.6,5.9,1.1,950.0,-5.8,39,73.0,4.0,1012.2,11.7,9.7,,,2.8,7.0,,-12.8,,,,,,,,,
247,남원,2001-03-10,1.3,-3.4,9.5,,,8.6,4.8,1.8,1555.0,-4.4,34,68.9,4.5,1010.4,11.7,8.2,,,0.0,0.0,,-4.8,,,,,,,,,
