지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
295,남해,2001-01-01,0.0,-6.0,5.2,,,6.8,4.8,1.2,1037,-10.6,20,45.0,2.8,1013.0,9.9,8.2,,,0.0,0.0,,-8.0,,,,,,,,,
295,남해,2001-01-02,4.7,1.5,8.3,,,15.4,10.7,4.2,3629,-7.5,26,42.6,3.6,1012.8,9.9,7.4,,,0.0,0.0,,-1.0,,,,,,,,,
295,남해,2001-01-03,0.5,-1.9,2.8,,,10.6,7.7,3.0,2592,-10.3,33,44.9,2.8,1018.8,9.9,7.2,,,0.0,0.0,,-2.7,,,,,,,,,
295,남해,2001-01-04,-1.4,-5.3,3.1,,,10.5,7.1,2.4,2074,-13.7,25,39.9,2.2,1022.3,9.9,8.5,,,0.0,0.0,,-6.5,,,,,,,,,
295,남해,2001-01-05,-2.3,-7.8,4.3,,,3.5,3.4,1.0,864,-14.5,24,40.9,2.0,1027.6,9.9,7.7,,,0.0,0.0,,-9.2,,,,,,,,,
295,남해,2001-01-06,0.3,-5.1,4.4,,,7.1,5.0,1.8,1555,-11.9,22,42.0,2.5,1027.7,9.9,5.9,,,0.0,0.0,,-7.3,,,,,,,,,
295,남해,2001-01-07,2.0,-1.2,4.0,,25.0,10.1,6.5,2.0,1728,-1.7,58,76.9,5.4,1011.2,9.9,0.0,,,6.6,6.6,,-2.0,,,,,,,,,
295,남해,2001-01-08,4.8,2.4,9.1,,,5.4,3.7,1.1,950,-1.4,51,64.1,5.5,1016.8,10.0,5.9,,,0.0,0.0,,0.4,,,,,,,,,
295,남해,2001-01-09,3.8,2.1,6.0,,6.0,11.5,8.5,2.1,1814,-2.6,35,64.1,5.1,1011.4,10.0,0.0,,,0.0,0.0,,1.8,,,,,,,,,
295,남해,2001-01-10,0.4,-2.7,5.6,,,10.2,5.8,1.8,1555,-10.6,24,44.1,2.7,1012.9,10.0,7.8,,,0.0,0.0,,-4.2,,,,,,,,,
295,남해,2001-01-11,2.4,-2.1,6.6,,,8.8,6.5,2.6,2246,-9.9,20,41.9,3.0,1012.3,10.0,6.1,,,0.0,0.0,,-3.7,,,,,,,,,
295,남해,2001-01-12,-1.0,-4.7,3.1,,,9.0,5.6,2.1,1814,-12.7,31,41.3,2.3,1017.8,10.0,7.9,,,0.0,0.0,,-6.7,,,,,,,,,
295,남해,2001-01-13,-2.8,-5.6,2.1,,4.9,10.6,8.8,2.1,1814,-10.5,32,57.5,2.8,1014.6,10.0,3.0,,,8.1,8.1,,-7.2,,,,,,,,,
295,남해,2001-01-14,-5.7,-9.0,-2.3,,,11.7,7.8,3.1,2678,-15.4,35,47.0,1.9,1018.3,10.1,8.7,,,0.0,6.0,,-12.6,,,,,,,,,
295,남해,2001-01-15,-6.6,-9.9,-2.9,,,11.0,7.0,2.8,2419,-16.7,33,45.9,1.7,1022.7,10.1,8.8,,,0.0,5.2,,-13.6,,,,,,,,,
295,남해,2001-01-16,-6.0,-10.6,-0.8,,,8.8,7.0,1.9,1642,-15.5,30,49.4,1.9,1024.8,10.1,8.9,,,0.0,2.3,,-14.9,,,,,,,,,
295,남해,2001-01-17,-4.1,-9.8,2.0,,,3.6,2.4,0.9,778,-13.2,32,51.6,2.2,1025.3,10.1,8.9,,,0.0,1.4,,-14.0,,,,,,,,,
295,남해,2001-01-18,0.1,-6.9,7.8,,,3.6,2.6,1.0,864,-7.2,41,58.6,3.7,1024.5,10.1,8.9,,,0.0,0.5,,-11.4,,,,,,,,,
295,남해,2001-01-19,2.3,-2.0,5.4,,,3.6,2.6,0.8,691,-4.8,47,60.3,4.3,1023.2,10.2,0.8,,,0.0,0.0,,-7.0,,,,,,,,,
