지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
143,대구,2001-01-01,0.6,-4.9,5.8,,,5.0,2.9,1.9,1642.0,-13.6,15.0,35.3,2.1,1010.0,9.8,8.4,1.81,10.57,0.0,0.0,0.3,-12.3,,,,,,,,,
143,대구,2001-01-02,4.2,0.8,8.4,,0.0,14.0,6.8,4.0,3456.0,-7.7,29.0,41.8,3.5,1008.9,9.8,6.5,1.7,8.96,0.0,0.0,2.6,-4.2,,,,,,,,,
143,대구,2001-01-03,-2.0,-5.6,2.4,,,10.0,4.8,3.4,2938.0,-13.5,27.0,41.5,2.2,1016.4,9.8,7.9,1.6,9.21,0.0,0.0,-1.5,-9.4,,,,,,,,,
143,대구,2001-01-04,-3.3,-6.1,0.4,,,9.0,5.1,3.5,3024.0,-16.4,20.0,37.3,1.8,1020.4,9.8,9.0,1.81,10.72,0.0,0.0,-2.6,-10.9,,,,,,,,,
143,대구,2001-01-05,-1.7,-5.6,3.0,,,10.0,5.1,3.2,2765.0,-14.2,26.0,38.0,2.1,1025.3,9.8,8.9,1.76,10.13,0.0,0.0,-2.3,-12.1,,,,,,,,,
143,대구,2001-01-06,1.0,-5.6,4.9,,,4.0,2.9,1.6,1382.0,-8.5,21.0,51.0,3.4,1025.9,9.9,5.9,1.6,8.57,0.0,0.0,-0.1,-14.0,,,,,,,,,
143,대구,2001-01-07,5.4,2.7,7.9,,15.0,12.0,6.3,3.5,3024.0,3.7,60.0,88.6,8.1,1010.0,9.9,0.0,0.22,1.16,0.0,0.0,2.7,-0.5,,,,,,,,,
143,대구,2001-01-08,6.2,3.9,11.0,,0.0,9.0,4.6,2.5,2160.0,1.7,45.0,74.0,7.0,1015.1,9.9,6.4,2.06,10.07,0.0,0.0,4.6,-1.8,,,,,,,,,
143,대구,2001-01-09,4.7,2.7,7.5,,1.5,10.0,5.9,2.4,2074.0,1.5,56.0,79.8,7.0,1009.1,9.9,0.3,0.96,2.84,0.0,0.0,3.6,-0.7,,,,,,,,,
143,대구,2001-01-10,0.4,-2.5,4.6,,,7.0,4.4,3.0,2592.0,-13.5,14.0,36.3,2.2,1010.5,9.9,8.8,1.95,11.5,0.0,0.0,0.4,-9.3,,,,,,,,,
143,대구,2001-01-11,0.4,-3.2,4.8,,0.0,8.0,4.6,3.0,2592.0,-13.1,18.0,36.6,2.2,1009.9,9.9,8.6,1.91,11.21,0.0,0.0,-1.3,-9.4,,,,,,,,,
143,대구,2001-01-12,-3.9,-7.1,-0.3,,,10.0,5.4,3.4,2938.0,-15.5,27.0,40.3,1.8,1016.1,9.9,8.8,1.87,10.95,0.0,0.0,-3.8,-10.4,,,,,,,,,
143,대구,2001-01-13,-3.4,-6.3,2.0,,0.4,10.0,5.9,2.8,2419.0,-12.4,29.0,51.0,2.5,1012.3,10.0,4.1,1.54,7.7,0.8,0.8,-3.0,-9.6,,,,,,,,,
143,대구,2001-01-14,-7.5,-10.0,-3.6,,,12.0,6.7,4.0,3456.0,-18.4,24.0,41.8,1.4,1015.9,10.0,9.3,2.02,11.91,0.0,0.0,-5.9,-13.3,,,,,,,,,
143,대구,2001-01-15,-8.5,-11.7,-4.4,,,10.0,6.1,3.8,3283.0,-19.3,22.0,42.0,1.4,1020.5,10.0,9.5,2.05,12.42,0.0,0.0,-6.6,-15.0,,,,,,,,,
143,대구,2001-01-16,-6.5,-9.7,-1.9,,,8.0,5.0,3.4,2938.0,-18.7,21.0,39.3,1.4,1022.5,10.0,9.6,2.04,12.23,0.0,0.0,-5.7,-15.9,,,,,,,,,
143,대구,2001-01-17,-3.1,-7.7,2.4,,,9.0,5.3,2.3,1987.0,-18.4,18.0,29.9,1.5,1022.9,10.0,9.2,2.0,12.07,0.0,0.0,-3.4,-13.1,,,,,,,,,
143,대구,2001-01-18,0.7,-5.0,6.0,,,4.0,2.0,0.9,778.0,-6.0,45.0,61.0,4.0,1021.7,10.1,0.9,1.11,5.36,0.0,0.0,-1.0,-12.8,,,,,,,,,
143,대구,2001-01-19,2.5,-3.7,7.4,,0.0,5.0,3.2,1.1,950.0,-2.2,50.0,72.1,5.2,1020.9,10.1,4.1,1.43,7.68,0.0,0.0,0.2,-10.8,,,,,,,,,
143,대구,2001-01-20,3.5,1.7,6.5,,13.2,5.0,2.5,1.2,1037.0,1.9,76.0,89.1,7.1,1011.5,10.1,0.8,0.77,3.32,3.0,3.0,-0.4,-4.3,,,,,,,,,
143,대구,2001-01-21,2.7,0.2,6.0,,,8.0,4.3,2.1,1814.0,-3.5,42.0,63.9,4.7,1015.6,10.1,8.9,1.91,11.12,0.0,0.8,0.1,-7.2,,,,,,,,,
143,대구,2001-01-22,1.8,-1.1,5.7,,,3.0,2.0,0.6,518.0,-3.0,42.0,71.0,4.9,1016.8,10.2,0.0,0.87,4.66,0.0,0.0,-0.6,-7.6,,,,,,,,,
143,대구,2001-01-23,2.6,-1.3,7.4,,,5.0,3.2,1.9,1642.0,-8.1,16.0,50.5,3.5,1020.4,10.2,8.6,2.07,12.1,0.0,0.0,0.7,-8.9,,,,,,,,,
143,대구,2001-01-24,2.3,-2.8,6.1,,,3.0,2.1,1.1,950.0,-2.9,55.0,68.1,4.9,1019.9,10.2,0.1,0.99,5.73,0.0,0.0,0.1,-8.6,,,,,,,,,
143,대구,2001-01-25,4.9,2.7,6.7,,,9.0,5.3,1.2,1037.0,-1.2,49.0,64.3,5.6,1011.8,10.2,0.0,0.51,3.05,0.0,0.0,2.0,-2.3,,,,,,,,,
143,대구,2001-01-26,5.6,3.5,6.4,,0.0,10.0,5.6,3.5,3024.0,-2.2,47.0,56.9,5.2,1010.3,10.3,0.0,0.37,2.04,0.0,0.0,1.8,0.4,,,,,,,,,
143,대구,2001-01-27,3.5,2.1,7.3,,1.0,7.0,4.1,2.6,2246.0,-0.2,54.0,76.6,6.1,1008.7,10.3,2.4,1.27,6.16,0.0,0.0,2.2,-4.0,,,,,,,,,
143,대구,2001-01-28,1.1,-2.6,5.9,,0.0,11.0,6.1,3.0,2592.0,-6.7,28.0,57.9,3.9,1011.0,10.3,3.4,1.36,6.62,0.0,0.0,-0.7,-7.5,,,,,,,,,
143,대구,2001-01-29,1.4,-4.3,6.7,,,11.0,5.1,2.5,2160.0,-8.3,27.0,49.5,3.3,1015.9,10.3,8.7,2.1,12.89,0.0,0.0,-0.2,-7.5,,,,,,,,,
143,대구,2001-01-30,3.1,-0.4,8.4,,,7.0,3.9,2.0,1728.0,-5.4,29.0,55.8,4.1,1015.4,10.4,8.1,2.1,12.28,0.0,0.0,1.4,-7.3,,,,,,,,,
