지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
273,문경,2001-01-01,-3.8,-10.6,2.4,,,2.1,1.7,0.3,259,-11.9,34.0,55.8,2.5,996.1,9.7,8.0,,,0.0,0.0,,-12.0,,,,,,,,,
273,문경,2001-01-02,-0.7,-5.5,3.1,,0.4,4.3,3.9,1.4,1210,-7.3,46.0,62.0,3.6,995.7,9.7,1.6,,,0.8,0.8,,-6.8,,,,,,,,,
273,문경,2001-01-03,-5.7,-10.0,-1.8,,,3.5,3.2,1.2,1037,-16.6,30.0,43.0,1.7,1002.1,9.7,7.1,,,0.0,0.0,,-11.3,,,,,,,,,
273,문경,2001-01-04,-7.1,-10.4,-2.9,,,3.0,2.8,1.1,950,-19.1,25.0,39.8,1.4,1006.5,9.7,7.7,,,0.0,0.0,,-12.0,,,,,,,,,
273,문경,2001-01-05,-5.2,-10.0,0.0,,,3.7,3.0,0.9,778,-16.3,26.0,43.6,1.8,1011.2,9.8,7.4,,,0.0,0.0,,-12.0,,,,,,,,,
273,문경,2001-01-06,-3.2,-9.5,1.1,,,2.4,1.6,0.3,259,-13.6,26.0,46.8,2.2,1012.1,9.8,6.3,,,0.0,0.0,,-12.1,,,,,,,,,
273,문경,2001-01-07,1.5,-0.6,3.4,,24.2,2.8,1.8,0.6,518,-0.9,45.0,84.8,5.8,997.6,9.8,0.0,,,22.3,22.3,,-1.1,,,,,,,,,
273,문경,2001-01-08,3.7,0.8,8.3,,,2.2,1.6,0.7,605,-2.4,46.0,65.1,5.1,1001.9,9.8,6.6,,,0.0,9.7,,-1.4,,,,,,,,,
273,문경,2001-01-09,0.8,-2.3,4.0,,4.5,2.8,2.2,0.8,691,-2.5,59.0,79.4,5.2,996.0,9.8,0.0,,,0.7,1.6,,-3.7,,,,,,,,,
273,문경,2001-01-10,-4.2,-7.8,1.4,,,2.8,2.0,0.8,691,-13.0,29.0,51.5,2.3,996.7,9.8,8.3,,,0.0,0.0,,-11.7,,,,,,,,,
273,문경,2001-01-11,-3.8,-8.9,0.3,,0.0,4.6,3.4,1.2,1037,-15.1,27.0,42.9,2.0,996.0,9.8,7.6,,,0.3,0.3,,-11.8,,,,,,,,,
273,문경,2001-01-12,-8.3,-11.3,-4.6,,,2.8,2.3,0.9,778,-18.9,29.0,43.6,1.4,1002.0,9.9,6.8,,,0.0,0.0,,-12.9,,,,,,,,,
273,문경,2001-01-13,-7.6,-11.1,-2.5,,0.2,3.2,2.6,0.7,605,-15.5,38.0,55.3,1.9,998.5,9.9,4.5,,,0.5,0.5,,-12.5,,,,,,,,,
273,문경,2001-01-14,-11.6,-14.3,-7.3,,,2.4,1.7,0.9,778,-20.0,32.0,46.5,1.3,1001.5,9.9,8.3,,,0.0,0.0,,-15.8,,,,,,,,,
273,문경,2001-01-15,-12.9,-17.4,-7.9,,,2.1,1.5,0.6,518,-22.0,31.0,48.1,1.1,1006.2,9.9,8.5,,,0.0,0.0,,-19.0,,,,,,,,,
273,문경,2001-01-16,-9.8,-13.1,-5.5,,,2.0,1.6,0.8,691,-19.9,29.0,44.4,1.4,1007.7,10.0,8.6,,,0.0,0.0,,-14.9,,,,,,,,,
273,문경,2001-01-17,-7.3,-14.8,-1.0,,,3.0,2.2,0.5,432,-16.6,29.0,48.6,2.0,1008.4,10.0,8.1,,,0.0,0.0,,-18.6,,,,,,,,,
273,문경,2001-01-18,-0.6,-7.1,5.3,,0.0,2.0,1.7,0.5,432,-4.8,52.0,73.4,4.3,1007.1,10.0,1.2,,,0.2,0.2,,-7.7,,,,,,,,,
273,문경,2001-01-19,-1.2,-7.5,4.1,,,1.4,1.1,0.2,173,-4.8,56.0,77.1,4.3,1007.3,10.0,2.6,,,0.0,0.0,,-10.0,,,,,,,,,
273,문경,2001-01-20,1.8,-0.3,6.1,,4.9,3.6,3.1,0.6,518,-2.2,52.0,76.4,5.2,997.9,10.0,2.1,,,8.0,8.0,,-2.0,,,,,,,,,
273,문경,2001-01-21,-1.1,-5.0,3.2,,,3.2,2.4,0.6,518,-6.7,51.0,65.6,3.7,1001.7,10.1,5.7,,,0.0,0.0,,-8.7,,,,,,,,,
273,문경,2001-01-22,-1.3,-4.3,2.5,,,1.6,1.2,0.3,259,-7.0,45.0,66.0,3.6,1003.1,10.1,0.5,,,0.0,0.0,,-8.7,,,,,,,,,
273,문경,2001-01-23,-0.6,-4.4,5.6,,,3.1,2.4,0.8,691,-12.0,21.0,43.0,2.4,1006.6,10.1,8.4,,,0.0,0.0,,-8.9,,,,,,,,,
273,문경,2001-01-24,-1.8,-9.0,3.7,,,1.6,1.0,0.2,173,-6.8,50.0,69.8,3.7,1006.4,10.2,2.4,,,0.0,0.0,,-10.9,,,,,,,,,
273,문경,2001-01-25,0.9,-3.9,8.4,,,1.8,1.2,0.3,259,-4.9,44.0,66.5,4.2,998.5,10.2,4.6,,,0.0,0.0,,-6.0,,,,,,,,,
273,문경,2001-01-26,1.6,-0.4,3.1,,,3.5,3.1,1.2,1037,-5.8,47.0,57.8,3.9,997.5,10.2,0.0,,,0.0,0.0,,-3.9,,,,,,,,,
273,문경,2001-01-27,1.1,-1.1,4.7,,0.2,3.4,2.6,0.9,778,-3.3,63.0,72.3,4.8,995.4,10.2,2.1,,,0.0,0.0,,-2.1,,,,,,,,,
273,문경,2001-01-28,-1.3,-5.9,1.9,,0.6,3.6,3.5,1.2,1037,-8.2,35.0,59.4,3.4,996.8,10.3,5.8,,,1.3,1.3,,-7.1,,,,,,,,,
273,문경,2001-01-29,-2.7,-9.1,3.3,,2.9,3.6,2.3,0.6,518,-8.8,40.0,64.3,3.3,1001.4,10.3,4.5,,,7.8,7.8,,-11.0,,,,,,,,,
273,문경,2001-01-30,-2.4,-8.8,3.7,,,3.3,2.4,0.6,518,-7.3,44.0,70.4,3.5,1001.6,10.3,7.4,,,0.0,7.2,,-12.7,,,,,,,,,
273,문경,2001-01-31,-2.7,-7.0,1.2,,2.2,1.0,0.8,0.2,173,-5.8,58.0,79.6,4.0,996.8,10.4,0.5,,,3.6,3.6,,-9.1,,,,,,,,,
273,문경,2001-02-01,-3.1,-7.8,2.5,,,3.6,2.6,1.2,1037,-14.2,28.0,42.1,2.1,997.0,10.4,9.4,,,0.0,3.7,,-10.1,,,,,,,,,
273,문경,2001-02-02,-3.8,-11.1,2.4,,,3.4,2.7,0.7,605,-12.3,27.0,47.3,2.5,1002.1,10.4,8.5,,,0.0,0.0,,-14.2,,,,,,,,,
273,문경,2001-02-03,-0.5,-2.9,2.7,,0.3,1.8,0.5,0.1,86,-2.9,60.0,84.1,5.0,1004.9,10.4,0.0,,,0.5,0.5,,-4.6,,,,,,,,,
273,문경,2001-02-04,0.2,-3.0,7.0,,,1.3,0.8,0.2,173,-3.6,44.0,76.6,4.7,1005.3,10.5,4.5,,,0.0,0.0,,-4.2,,,,,,,,,
273,문경,2001-02-05,0.8,-5.4,8.5,,,2.4,1.7,0.4,346,-4.1,43.0,71.1,4.5,1001.4,10.5,9.0,,,0.0,0.0,,-7.6,,,,,,,,,
