지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
288,밀양,2001-01-01,-1.5,-9.3,6.3,,,3.8,3.5,0.8,691.0,-13.0,18,44.8,2.3,1016.8,9.8,7.8,,,0.0,0.0,,-14.3,,,,,,,,,
288,밀양,2001-01-02,1.9,-3.6,8.6,,,11.3,7.4,2.1,1814.0,-10.0,25,43.4,2.9,1015.5,9.8,7.1,,,0.0,0.0,,-8.5,,,,,,,,,
288,밀양,2001-01-03,-1.5,-6.7,2.9,,,9.3,5.6,2.0,1728.0,-13.2,23,42.1,2.2,1022.6,9.8,7.8,,,0.0,0.0,,-11.9,,,,,,,,,
288,밀양,2001-01-04,-3.7,-8.6,2.2,,,7.5,5.0,1.8,1555.0,-15.8,20,43.3,1.9,1026.4,9.8,8.6,,,0.0,0.0,,-13.6,,,,,,,,,
288,밀양,2001-01-05,-3.2,-10.0,3.2,,,9.2,8.4,1.7,1469.0,-13.8,27,46.4,2.1,1031.7,9.9,8.0,,,0.0,0.0,,-15.2,,,,,,,,,
288,밀양,2001-01-06,0.3,-7.8,6.0,,,5.7,3.9,0.8,691.0,-11.7,18,43.3,2.6,1032.2,9.9,7.0,,,0.0,0.0,,-12.4,,,,,,,,,
288,밀양,2001-01-07,3.7,0.8,6.5,,13.5,4.6,2.6,0.8,691.0,0.7,50,80.9,6.5,1015.7,9.9,0.0,,,0.0,0.0,,-0.7,,,,,,,,,
288,밀양,2001-01-08,6.2,1.6,11.4,,,9.1,6.2,2.1,1814.0,-0.5,45,62.8,5.9,1020.9,9.9,7.6,,,0.0,0.0,,-1.4,,,,,,,,,
288,밀양,2001-01-09,4.6,1.4,6.8,,3.0,6.3,5.5,1.1,950.0,0.6,59,75.3,6.5,1015.0,9.9,0.0,,,0.0,0.0,,-1.6,,,,,,,,,
288,밀양,2001-01-10,0.1,-4.8,5.9,,,6.1,6.0,1.4,1210.0,-11.8,19,43.4,2.5,1016.7,9.9,7.9,,,0.0,0.0,,-8.4,,,,,,,,,
288,밀양,2001-01-11,-0.9,-6.1,5.6,,,8.0,6.3,1.6,1382.0,-11.5,23,48.3,2.6,1016.2,9.9,7.0,,,0.0,0.0,,-8.9,,,,,,,,,
288,밀양,2001-01-12,-3.3,-7.8,1.7,,,6.6,3.8,1.1,950.0,-12.4,33,51.0,2.4,1022.2,10.0,8.3,,,0.0,0.0,,-11.9,,,,,,,,,
288,밀양,2001-01-13,-2.8,-5.8,2.7,,2.5,7.7,4.7,1.4,1210.0,-11.1,35,54.6,2.7,1018.3,10.0,3.6,,,4.2,4.2,,-12.9,,,,,,,,,
288,밀양,2001-01-14,-6.9,-10.4,-2.1,,,9.6,6.5,2.2,1901.0,-16.6,31,46.8,1.7,1022.0,10.0,8.6,,,0.0,0.0,,-14.0,,,,,,,,,
288,밀양,2001-01-15,-8.2,-12.1,-3.1,,,8.6,7.3,2.0,1728.0,-18.5,27,46.0,1.4,1026.6,10.0,8.6,,,0.0,0.0,,-16.0,,,,,,,,,
288,밀양,2001-01-16,-7.1,-12.3,-0.9,,,8.2,5.4,1.8,1555.0,-16.8,25,50.0,1.7,1028.8,10.0,8.3,,,0.0,0.0,,-16.2,,,,,,,,,
288,밀양,2001-01-17,-4.5,-11.9,3.4,,,6.1,4.0,1.0,864.0,-14.4,23,49.9,2.0,1029.3,10.1,8.7,,,0.0,0.0,,-15.9,,,,,,,,,
288,밀양,2001-01-18,-2.0,-9.8,7.5,,,3.4,2.2,0.6,518.0,-9.0,36,61.9,3.2,1028.5,10.1,3.9,,,0.0,0.0,,-13.1,,,,,,,,,
288,밀양,2001-01-19,1.4,-6.4,8.6,,,4.2,4.0,0.8,691.0,-4.7,40,66.0,4.3,1027.2,10.1,5.2,,,0.0,0.0,,-9.6,,,,,,,,,
288,밀양,2001-01-20,2.7,0.2,7.7,,16.5,4.0,2.8,0.8,691.0,-0.6,65,79.9,5.9,1017.5,10.1,0.5,,,0.0,0.0,,-2.1,,,,,,,,,
288,밀양,2001-01-21,1.1,-4.0,7.7,,,6.1,4.6,1.1,950.0,-5.5,33,64.8,4.1,1021.7,10.2,8.4,,,0.0,0.0,,-7.4,,,,,,,,,
288,밀양,2001-01-22,0.8,-2.7,5.9,,,2.8,2.4,0.6,518.0,-5.1,43,66.9,4.2,1022.9,10.2,0.0,,,0.0,0.0,,-7.0,,,,,,,,,
288,밀양,2001-01-23,0.1,-4.8,7.8,,,5.8,4.4,0.9,778.0,-8.0,18,62.0,3.4,1026.6,10.2,8.4,,,0.0,0.0,,-8.1,,,,,,,,,
288,밀양,2001-01-24,1.7,-4.5,7.2,,,2.8,2.0,0.6,518.0,-4.1,46,66.9,4.5,1026.0,10.2,0.0,,,0.0,0.0,,-7.6,,,,,,,,,
288,밀양,2001-01-25,5.0,2.0,8.0,,,11.4,8.9,2.0,1728.0,-1.3,51,63.9,5.6,1017.2,10.3,0.0,,,0.0,0.0,,0.6,,,,,,,,,
288,밀양,2001-01-26,5.1,3.9,6.2,,,11.5,7.3,3.4,2938.0,-3.4,44,55.0,4.8,1015.9,10.3,0.0,,,0.0,0.0,,1.9,,,,,,,,,
288,밀양,2001-01-27,3.3,-1.2,8.0,,1.5,7.1,3.7,1.2,1037.0,-2.0,45,69.3,5.3,1014.6,10.3,2.9,,,0.0,0.0,,-5.8,,,,,,,,,
288,밀양,2001-01-28,0.0,-3.5,4.9,,,9.4,8.1,1.6,1382.0,-7.5,34,60.6,3.7,1017.5,10.3,0.7,,,0.0,0.0,,-7.2,,,,,,,,,
288,밀양,2001-01-29,-0.2,-6.6,6.5,,,10.6,9.5,1.4,1210.0,-9.5,30,51.8,3.0,1022.8,10.4,9.0,,,0.0,0.0,,-10.5,,,,,,,,,
288,밀양,2001-01-30,0.2,-5.6,7.5,,,6.8,6.7,0.9,778.0,-6.4,33,64.0,3.8,1022.2,10.4,8.1,,,0.0,0.0,,-9.4,,,,,,,,,
288,밀양,2001-01-31,0.1,-5.0,4.8,,,4.3,1.8,0.6,518.0,-5.4,47,67.6,4.1,1017.7,10.4,0.6,,,0.0,0.0,,-8.6,,,,,,,,,
288,밀양,2001-02-01,0.8,-3.9,4.4,,,10.6,8.3,2.8,2419.0,-13.2,22,37.0,2.4,1016.4,10.5,8.7,,,0.0,0.0,,-8.0,,,,,,,,,
288,밀양,2001-02-02,-2.5,-8.8,5.4,,,6.3,5.3,1.1,950.0,-14.8,20,41.8,2.0,1023.1,10.5,8.8,,,0.0,0.0,,-13.1,,,,,,,,,
288,밀양,2001-02-03,0.3,-7.3,8.2,,,3.3,2.7,0.6,518.0,-7.4,35,57.9,3.6,1025.8,10.5,7.7,,,0.0,0.0,,-11.3,,,,,,,,,
288,밀양,2001-02-04,3.6,-1.5,10.2,,,3.7,2.6,0.6,518.0,-3.9,41,59.8,4.6,1025.2,10.5,2.9,,,0.0,0.0,,-4.4,,,,,,,,,
288,밀양,2001-02-05,4.9,-3.8,13.5,,,3.9,3.0,0.9,778.0,-2.9,29,60.5,5.0,1021.0,10.6,8.8,,,0.0,0.0,,-7.5,,,,,,,,,
288,밀양,2001-02-06,6.7,2.2,13.8,,,5.9,3.5,1.3,1123.0,-0.1,35,62.4,6.1,1017.7,10.6,0.8,,,0.0,0.0,,-2.2,,,,,,,,,
288,밀양,2001-02-07,5.0,0.1,10.1,,,6.5,3.9,1.6,1382.0,-5.6,25,48.6,4.3,1017.2,10.6,4.3,,,0.0,0.0,,-4.3,,,,,,,,,
288,밀양,2001-02-08,-1.3,-5.5,4.4,,,9.6,5.9,2.0,1728.0,-15.9,20,32.9,1.8,1024.2,10.7,9.6,,,0.0,0.0,,-10.6,,,,,,,,,
288,밀양,2001-02-09,-0.6,-7.6,7.6,,,6.4,3.7,1.0,864.0,-9.7,31,51.5,2.9,1025.9,10.7,7.6,,,0.0,0.0,,-11.5,,,,,,,,,
288,밀양,2001-02-10,-0.2,-6.1,8.6,,,4.8,2.6,0.7,605.0,-9.8,19,51.9,2.9,1028.3,10.7,8.8,,,0.0,0.0,,-9.8,,,,,,,,,
288,밀양,2001-02-11,0.6,-6.9,7.5,,,6.9,3.3,1.2,1037.0,-10.2,30,45.8,2.8,1031.8,10.8,6.8,,,0.0,0.0,,-10.6,,,,,,,,,
