지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
271,봉화,2001-01-01,-7.6,-16.7,0.8,,,5.3,3.6,1.1,950.0,-12.6,36.0,71.1,2.3,977.4,9.7,7.3,,,0.0,0.0,,-19.0,,,,,,,,,
271,봉화,2001-01-02,-2.9,-7.9,0.9,,,11.1,11.0,2.8,2419.0,-9.6,41.0,60.3,3.0,975.8,9.7,5.4,,,0.0,0.0,,-10.2,,,,,,,,,
271,봉화,2001-01-03,-7.7,-14.4,-3.6,,,13.3,11.1,2.8,2419.0,-16.7,35.0,48.5,1.6,982.0,9.7,7.7,,,0.0,0.0,,-16.7,,,,,,,,,
271,봉화,2001-01-04,-9.3,-13.9,-4.1,,,13.4,10.3,2.8,2419.0,-18.8,26.0,47.0,1.4,986.2,9.7,8.5,,,0.0,0.0,,-16.0,,,,,,,,,
271,봉화,2001-01-05,-9.6,-18.1,-0.9,,,11.9,7.7,2.1,1814.0,-16.0,30.0,63.4,1.8,991.4,9.7,8.3,,,0.0,0.0,,-20.5,,,,,,,,,
271,봉화,2001-01-06,-6.3,-17.3,4.2,,,4.3,2.9,0.8,691.0,-12.6,23.0,67.5,2.4,993.5,9.7,7.6,,,0.0,0.0,,-19.6,,,,,,,,,
271,봉화,2001-01-07,1.8,-2.3,3.3,,16.0,15.3,8.5,2.2,1901.0,-1.8,61.0,77.0,5.4,979.9,9.8,0.0,,,8.3,8.3,,-4.1,,,,,,,,,
271,봉화,2001-01-08,0.3,-4.8,4.3,,,8.3,7.0,2.1,1814.0,-4.2,53.0,72.9,4.5,984.3,9.8,8.2,,,0.0,3.5,,-7.5,,,,,,,,,
271,봉화,2001-01-09,-0.3,-4.7,2.5,,2.5,6.9,4.3,1.2,1037.0,-2.4,68.0,85.9,5.2,977.2,9.8,0.0,,,0.0,1.3,,-6.2,,,,,,,,,
271,봉화,2001-01-10,-5.3,-11.4,1.1,,,8.6,6.5,1.8,1555.0,-11.0,35.0,67.1,2.6,977.5,9.8,8.2,,,0.0,0.0,,-13.7,,,,,,,,,
271,봉화,2001-01-11,-6.1,-11.4,-1.2,,1.0,11.6,6.8,2.2,1901.0,-13.2,33.0,61.0,2.3,976.2,9.8,8.2,,,1.8,1.8,,-13.8,,,,,,,,,
271,봉화,2001-01-12,-10.7,-13.8,-5.0,,,13.0,11.4,3.1,2678.0,-19.8,29.0,48.1,1.2,982.0,9.8,8.3,,,0.0,0.0,,-16.3,,,,,,,,,
271,봉화,2001-01-13,-10.6,-15.7,-2.1,,,8.4,5.5,1.4,1210.0,-15.6,46.0,67.8,1.8,979.1,9.9,5.3,,,0.0,0.0,,-18.3,,,,,,,,,
271,봉화,2001-01-14,-13.4,-18.8,-8.7,,,14.7,7.1,2.8,2419.0,-21.0,34.0,54.0,1.1,981.0,9.9,8.1,,,0.0,0.0,,-21.7,,,,,,,,,
271,봉화,2001-01-15,-15.4,-19.7,-8.7,,,11.0,9.8,2.6,2246.0,-24.9,23.0,45.3,0.8,985.7,9.9,8.1,,,0.0,0.0,,-22.4,,,,,,,,,
