지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
243,부안,2001-01-01,0.5,-7.2,6.3,,,7.6,6.8,1.4,1210,-5.3,37,67.0,4.2,1018.1,9.8,7.8,,,0.0,0.0,,-9.7,,,,,,,,,
243,부안,2001-01-02,3.9,-0.8,7.5,,,11.5,8.3,2.8,2419,-2.7,46,61.6,5.0,1019.3,9.8,3.4,,,0.0,0.0,,-2.3,,,,,,,,,
243,부안,2001-01-03,-2.0,-6.3,3.2,,0.0,6.8,5.6,1.4,1210,-6.9,50,69.4,3.6,1025.1,9.8,4.0,,,0.0,0.0,,-8.7,,,,,,,,,
243,부안,2001-01-04,-3.8,-7.8,-0.2,,1.2,6.2,3.9,1.7,1469,-8.8,48,68.8,3.2,1030.1,9.8,6.6,,,3.0,3.0,,-9.8,,,,,,,,,
243,부안,2001-01-05,-3.4,-10.0,4.0,,,4.6,4.0,0.8,691,-9.6,35,64.3,3.0,1034.3,9.8,6.8,,,0.0,0.0,,-12.4,,,,,,,,,
243,부안,2001-01-06,0.0,-7.6,5.2,,,5.7,5.1,1.1,950,-8.0,35,57.4,3.3,1031.6,9.8,0.0,,,0.0,0.0,,-10.0,,,,,,,,,
243,부안,2001-01-07,3.3,1.0,5.2,,43.0,9.6,6.9,2.4,2074,0.2,42,80.4,6.2,1013.8,9.9,0.0,,,0.5,0.5,,-0.6,,,,,,,,,
243,부안,2001-01-08,4.6,-0.1,11.2,,0.5,5.1,4.0,1.0,864,0.8,55,77.5,6.5,1021.4,9.9,8.4,,,0.0,0.0,,-1.9,,,,,,,,,
243,부안,2001-01-09,4.2,0.1,7.7,,6.5,11.0,7.1,3.0,2592,-0.5,57,71.4,6.0,1017.5,9.9,0.0,,,0.0,0.0,,-2.1,,,,,,,,,
243,부안,2001-01-10,-0.2,-4.5,3.9,,,4.7,3.6,1.4,1210,-8.1,26,56.9,3.3,1019.4,9.9,8.8,,,0.0,0.0,,-7.0,,,,,,,,,
243,부안,2001-01-11,0.2,-5.3,3.9,,0.0,6.6,4.9,2.0,1728,-7.0,37,59.1,3.7,1019.0,9.9,8.2,,,0.0,0.0,,-7.8,,,,,,,,,
243,부안,2001-01-12,-4.1,-6.8,-1.3,,,7.0,5.0,2.2,1901,-11.3,43,57.8,2.6,1024.5,9.9,7.2,,,0.0,0.0,,-9.1,,,,,,,,,
243,부안,2001-01-13,-3.3,-6.5,1.8,,4.0,7.6,5.1,1.7,1469,-8.8,48,66.3,3.1,1021.1,10.0,0.0,,,11.3,11.3,,-8.9,,,,,,,,,
243,부안,2001-01-14,-8.4,-13.4,-2.7,,2.0,8.9,3.7,0.9,778,-11.6,57,77.3,2.5,1025.5,10.0,0.6,,,14.5,14.5,,-15.9,,,,,,,,,
243,부안,2001-01-15,-8.2,-12.4,-2.6,,1.0,4.6,2.5,1.1,950,-12.2,42,73.8,2.4,1030.1,10.0,2.3,,,8.9,14.5,,-14.8,,,,,,,,,
243,부안,2001-01-16,-8.0,-14.6,0.1,,,3.6,2.7,0.5,432,-12.8,40,69.5,2.3,1031.9,10.0,7.7,,,0.0,8.0,,-17.0,,,,,,,,,
243,부안,2001-01-17,-4.6,-11.2,3.2,,,3.6,3.1,0.2,173,-10.2,36,65.9,2.8,1030.9,10.0,8.0,,,0.0,0.0,,-13.4,,,,,,,,,
243,부안,2001-01-18,2.0,-6.4,9.7,,,4.4,3.8,0.3,259,-3.6,47,66.8,4.7,1028.9,10.1,2.8,,,0.0,0.0,,-8.9,,,,,,,,,
243,부안,2001-01-19,0.9,-5.8,5.8,,2.0,3.1,2.0,0.1,86,-2.6,64,77.3,4.5,1027.4,10.1,0.0,,,0.0,0.0,,-8.0,,,,,,,,,
243,부안,2001-01-20,3.8,0.5,8.1,,20.5,5.7,4.4,1.4,1210,0.3,62,78.0,6.3,1019.5,10.1,4.5,,,0.0,0.0,,-1.2,,,,,,,,,
243,부안,2001-01-21,1.9,-3.1,8.1,,,3.8,2.8,0.3,259,-2.6,47,72.8,5.1,1023.6,10.1,6.9,,,0.0,0.0,,-4.7,,,,,,,,,
243,부안,2001-01-22,1.3,-2.0,6.1,,,4.1,4.0,1.0,864,-3.7,50,69.6,4.7,1024.4,10.2,2.7,,,0.0,0.0,,-4.5,,,,,,,,,
243,부안,2001-01-23,0.2,-4.4,6.3,,,5.9,4.3,0.9,778,-6.2,36,63.9,3.9,1028.5,10.2,7.4,,,0.0,0.0,,-6.9,,,,,,,,,
243,부안,2001-01-24,2.8,-3.2,8.5,,,5.3,4.8,1.1,950,-4.2,42,60.5,4.5,1025.2,10.2,2.0,,,0.0,0.0,,-4.7,,,,,,,,,
243,부안,2001-01-25,4.1,1.1,9.9,,,6.0,3.3,1.2,1037,-2.4,46,62.8,5.1,1018.1,10.2,3.8,,,0.0,0.0,,-0.2,,,,,,,,,
