지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
289,산청,2001-01-01,-1.1,-8.8,5.6,,,6.3,4.4,1.0,864.0,-13.0,21.0,43.3,2.3,1001.8,9.8,7.0,,,0.0,0.0,,-11.3,,,,,,,,,
289,산청,2001-01-02,3.5,-0.4,6.4,,,13.3,9.6,5.0,4320.0,-6.6,35.0,48.4,3.8,1001.4,9.8,6.2,,,0.0,0.0,,-3.8,,,,,,,,,
289,산청,2001-01-03,-1.1,-3.8,2.7,,0.0,11.3,7.3,3.8,3283.0,-10.0,37.0,51.8,2.9,1007.6,9.8,5.8,,,0.0,0.0,,-7.1,,,,,,,,,
289,산청,2001-01-04,-2.6,-5.5,1.5,,,11.9,8.6,3.9,3370.0,-14.0,23.0,43.0,2.1,1011.5,9.8,7.3,,,0.0,0.0,,-8.8,,,,,,,,,
289,산청,2001-01-05,-2.5,-8.0,3.6,,,7.4,6.2,1.8,1555.0,-13.6,28.0,44.0,2.2,1016.5,9.9,7.0,,,0.0,0.0,,-11.6,,,,,,,,,
289,산청,2001-01-06,-1.9,-9.3,4.6,,,4.8,3.8,0.8,691.0,-13.4,15.0,49.3,2.3,1017.1,9.9,5.6,,,0.0,0.0,,-12.0,,,,,,,,,
289,산청,2001-01-07,0.8,-2.2,1.7,,36.8,2.8,2.1,0.2,173.0,-0.7,40.0,90.6,5.8,1001.6,9.9,0.0,,,11.5,11.5,,-4.0,,,,,,,,,
289,산청,2001-01-08,3.1,-0.6,10.5,,0.5,1.6,1.2,0.2,173.0,-0.3,47.0,79.8,6.0,1006.5,9.9,4.6,,,0.0,8.0,,-2.4,,,,,,,,,
289,산청,2001-01-09,2.4,0.3,6.0,,8.0,8.5,7.0,1.2,1037.0,-1.3,51.0,78.1,5.6,1001.3,9.9,0.0,,,0.0,4.0,,-2.5,,,,,,,,,
289,산청,2001-01-10,-0.9,-4.9,5.6,,,8.5,5.1,1.2,1037.0,-11.7,23.0,46.4,2.5,1002.1,9.9,7.3,,,0.0,2.0,,-7.8,,,,,,,,,
289,산청,2001-01-11,0.0,-5.1,5.0,,,7.3,5.2,1.9,1642.0,-10.1,24.0,50.4,2.9,1001.2,9.9,6.4,,,0.0,1.2,,-8.4,,,,,,,,,
289,산청,2001-01-12,-2.7,-4.9,2.1,,,10.5,6.8,2.5,2160.0,-11.8,33.0,50.9,2.5,1006.8,10.0,7.4,,,0.0,0.7,,-8.6,,,,,,,,,
289,산청,2001-01-13,-3.6,-6.6,2.3,,6.6,11.4,9.6,1.9,1642.0,-9.3,43.0,66.6,3.1,1003.7,10.0,3.8,,,10.5,11.2,,-9.5,,,,,,,,,
289,산청,2001-01-14,-7.8,-10.9,-3.3,,,10.3,7.5,2.6,2246.0,-15.1,35.0,57.6,1.9,1007.0,10.0,7.2,,,0.0,5.4,,-13.2,,,,,,,,,
289,산청,2001-01-15,-7.9,-11.3,-3.8,,,10.9,8.8,3.2,2765.0,-15.7,38.0,54.3,1.8,1011.5,10.0,7.4,,,0.0,4.3,,-13.4,,,,,,,,,
289,산청,2001-01-16,-6.4,-11.7,-1.6,,,8.7,6.2,2.1,1814.0,-14.6,29.0,54.6,2.0,1013.6,10.0,7.4,,,0.0,3.3,,-13.6,,,,,,,,,
289,산청,2001-01-17,-3.8,-8.4,2.9,,,6.2,4.4,1.6,1382.0,-12.8,28.0,52.0,2.3,1014.0,10.1,7.5,,,0.0,2.0,,-10.6,,,,,,,,,
289,산청,2001-01-18,-2.4,-9.9,7.5,,,6.2,3.9,0.5,432.0,-6.9,44.0,73.4,3.8,1013.4,10.1,1.7,,,0.0,0.9,,-11.8,,,,,,,,,
289,산청,2001-01-19,-0.3,-6.7,5.3,,0.1,2.2,1.4,0.2,173.0,-4.0,54.0,77.8,4.6,1012.7,10.1,2.4,,,0.3,0.3,,-9.5,,,,,,,,,
289,산청,2001-01-20,2.6,0.3,7.5,,12.3,5.3,4.0,0.9,778.0,-0.6,55.0,80.0,5.9,1003.1,10.1,2.5,,,12.9,13.2,,-1.5,,,,,,,,,
289,산청,2001-01-21,0.7,-4.0,6.6,,,5.9,5.4,1.2,1037.0,-5.6,35.0,65.5,4.0,1007.0,10.2,7.8,,,0.0,10.0,,-6.8,,,,,,,,,
289,산청,2001-01-22,-0.7,-4.6,5.8,,,1.7,1.4,0.2,173.0,-6.0,36.0,69.5,3.9,1008.3,10.2,0.8,,,0.0,8.0,,-7.5,,,,,,,,,
289,산청,2001-01-23,-1.2,-8.0,8.6,,,3.9,3.2,0.5,432.0,-10.3,18.0,58.0,2.8,1011.8,10.2,7.3,,,0.0,7.0,,-10.5,,,,,,,,,
289,산청,2001-01-24,-0.8,-7.4,5.3,,,3.4,3.0,0.2,173.0,-6.2,49.0,68.8,3.9,1011.5,10.2,0.0,,,0.0,5.2,,-9.8,,,,,,,,,
289,산청,2001-01-25,2.9,0.5,6.9,,,2.0,1.6,0.3,259.0,-2.0,54.0,70.5,5.3,1003.0,10.3,0.0,,,0.0,4.5,,-2.0,,,,,,,,,
289,산청,2001-01-26,3.5,0.6,5.2,,0.2,6.3,4.6,1.2,1037.0,-3.3,49.0,61.4,4.8,1001.7,10.3,0.0,,,0.2,3.4,,-1.2,,,,,,,,,
289,산청,2001-01-27,2.1,0.3,6.4,,4.1,9.5,7.3,2.0,1728.0,-2.4,52.0,73.5,5.2,1001.0,10.3,3.4,,,3.7,6.3,,-1.3,,,,,,,,,
289,산청,2001-01-28,0.9,-2.9,4.3,,0.3,10.6,7.8,3.4,2938.0,-7.4,38.0,54.8,3.6,1003.2,10.3,1.6,,,0.4,2.3,,-5.7,,,,,,,,,
289,산청,2001-01-29,-0.6,-5.2,4.4,,,7.8,6.5,1.8,1555.0,-8.1,36.0,59.5,3.4,1007.9,10.4,7.7,,,0.0,1.4,,-8.0,,,,,,,,,
289,산청,2001-01-30,0.8,-3.9,6.7,,,7.5,5.9,1.7,1469.0,-6.5,35.0,60.9,3.8,1007.5,10.4,7.6,,,0.0,0.5,,-6.5,,,,,,,,,
289,산청,2001-01-31,-0.8,-6.1,4.4,,,3.7,2.7,0.6,518.0,-5.2,48.0,74.8,4.2,1002.9,10.4,0.0,,,0.0,0.0,,-9.3,,,,,,,,,
289,산청,2001-02-01,0.3,-4.8,5.1,,,12.6,10.3,4.0,3456.0,-12.8,25.0,38.0,2.5,1002.3,10.5,8.3,,,0.0,0.0,,-8.0,,,,,,,,,
289,산청,2001-02-02,-2.1,-9.4,5.5,,,7.3,6.1,1.6,1382.0,-13.7,21.0,44.4,2.2,1008.2,10.5,8.2,,,0.0,0.0,,-11.6,,,,,,,,,
289,산청,2001-02-03,1.3,-5.6,8.8,,,2.3,1.4,0.2,173.0,-5.9,33.0,61.9,4.0,1010.7,10.5,5.3,,,0.0,0.0,,-8.8,,,,,,,,,
289,산청,2001-02-04,2.5,-2.1,9.1,,,3.0,1.8,0.6,518.0,-3.6,37.0,66.4,4.7,1010.4,10.6,2.1,,,0.0,0.0,,-6.5,,,,,,,,,
289,산청,2001-02-05,3.4,-4.3,12.5,,,2.2,1.3,0.3,259.0,-4.3,26.0,62.1,4.5,1006.5,10.6,7.5,,,0.0,0.0,,-7.3,,,,,,,,,
289,산청,2001-02-06,6.0,1.6,12.8,,,2.0,1.2,0.3,259.0,-1.3,39.0,60.6,5.6,1003.0,10.6,0.0,,,0.0,0.0,,-3.0,,,,,,,,,
289,산청,2001-02-07,3.4,-2.2,7.5,,,7.5,4.7,2.5,2160.0,-6.6,35.0,49.1,3.9,1003.4,10.6,4.1,,,0.0,0.0,,-5.0,,,,,,,,,
289,산청,2001-02-08,-2.1,-5.6,3.2,,,7.5,4.6,2.9,2506.0,-15.4,22.0,36.4,1.9,1009.7,10.7,8.5,,,0.0,0.0,,-7.8,,,,,,,,,
289,산청,2001-02-09,-0.6,-9.3,5.3,,,6.5,3.2,1.1,950.0,-9.0,34.0,54.0,3.2,1011.1,10.7,3.6,,,0.0,0.0,,-12.6,,,,,,,,,
289,산청,2001-02-10,0.8,-4.8,8.3,,,5.5,3.6,0.8,691.0,-9.9,18.0,49.4,3.0,1013.3,10.7,8.4,,,0.0,0.0,,-7.0,,,,,,,,,
289,산청,2001-02-11,-0.1,-7.0,6.6,,,4.8,2.8,0.9,778.0,-8.2,35.0,57.1,3.3,1016.9,10.8,3.4,,,0.0,0.0,,-9.8,,,,,,,,,
289,산청,2001-02-12,0.9,-2.5,4.5,,,2.2,1.5,0.4,346.0,-11.6,22.0,41.3,2.6,1013.8,10.8,0.0,,,0.0,0.0,,-4.5,,,,,,,,,
289,산청,2001-02-13,0.8,-4.0,7.5,,,5.1,3.4,1.4,1210.0,-14.2,16.0,34.0,2.1,1007.4,10.8,5.5,,,0.0,0.0,,-7.3,,,,,,,,,
289,산청,2001-02-14,-0.9,-4.0,4.3,,,7.5,4.5,2.4,2074.0,-13.6,21.0,38.8,2.2,1009.4,10.9,8.6,,,0.0,0.0,,-9.3,,,,,,,,,
289,산청,2001-02-15,-0.4,-8.1,8.0,,1.5,9.1,6.1,1.5,1296.0,-7.1,35.0,61.5,3.7,1006.8,10.9,5.6,,,0.0,0.0,,-10.1,,,,,,,,,
289,산청,2001-02-16,-1.0,-4.4,3.0,,,11.3,7.1,3.9,3370.0,-11.2,31.0,46.3,2.6,1012.9,10.9,8.3,,,0.0,0.0,,-8.3,,,,,,,,,
289,산청,2001-02-17,-0.6,-9.0,8.6,,,3.5,1.9,0.6,518.0,-9.2,28.0,54.8,3.1,1011.6,11.0,8.2,,,0.0,0.0,,-10.5,,,,,,,,,
289,산청,2001-02-18,4.8,-1.6,12.6,,,5.5,2.8,0.9,778.0,-3.1,39.0,58.1,4.9,1004.6,11.0,3.7,,,0.0,0.0,,-5.0,,,,,,,,,
289,산청,2001-02-19,5.4,-2.5,15.8,,,3.7,2.4,0.6,518.0,-4.4,21.0,55.0,4.5,1006.8,11.1,9.1,,,0.0,0.0,,-5.5,,,,,,,,,
289,산청,2001-02-20,5.4,-3.2,15.1,,,4.1,2.3,0.5,432.0,-1.7,37.0,62.6,5.5,1006.7,11.1,8.4,,,0.0,0.0,,-5.4,,,,,,,,,
289,산청,2001-02-21,3.1,-0.2,7.6,,2.0,1.8,1.2,0.2,173.0,0.7,76.0,83.8,6.5,1001.8,11.1,0.0,,,0.0,0.0,,-3.4,,,,,,,,,
289,산청,2001-02-22,5.5,-1.5,18.6,,,2.0,1.2,0.2,173.0,-1.9,20.0,64.6,5.3,1003.3,11.2,6.8,,,0.0,0.0,,-4.7,,,,,,,,,
289,산청,2001-02-23,3.3,-0.2,6.0,,30.5,3.0,1.2,0.2,173.0,1.3,72.0,86.0,6.8,997.8,11.2,0.0,,,0.0,0.0,,-2.2,,,,,,,,,
