지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
188,성산,2001-01-01,4.2,0.0,9.7,,,13.4,7.3,3.3,2851.0,0.1,58,74.9,5.5,1016.3,10.0,5.5,,,0.0,0.0,,-3.8,,,,,,,,,
188,성산,2001-01-02,7.3,4.2,10.4,,,18.1,7.5,4.1,3542.0,-0.4,45,57.5,5.4,1017.6,10.0,2.5,,,0.0,0.0,,-0.8,,,,,,,,,
188,성산,2001-01-03,4.1,1.7,8.6,,0.5,8.6,4.9,2.3,1987.0,-0.6,44,72.4,5.9,1022.3,10.0,5.2,,,0.0,0.0,,0.0,,,,,,,,,
188,성산,2001-01-04,2.1,-1.1,5.3,,,13.3,7.8,4.3,3715.0,-2.4,56,72.3,5.1,1026.0,10.0,5.9,,,0.0,0.0,,-1.8,,,,,,,,,
188,성산,2001-01-05,1.1,-1.4,5.3,,,10.7,6.1,3.5,3024.0,-3.7,50,70.8,4.6,1030.5,10.0,7.3,,,0.0,0.0,,-3.6,,,,,,,,,
188,성산,2001-01-06,6.4,-0.6,10.0,,3.0,13.4,8.8,4.5,3888.0,1.6,50,72.0,7.0,1027.3,10.0,3.0,,,0.0,0.0,,-3.5,,,,,,,,,
188,성산,2001-01-07,10.7,7.3,16.6,,32.5,19.8,12.4,5.5,4752.0,8.4,64,85.8,11.2,1011.1,10.0,0.0,,,0.0,0.0,,0.2,,,,,,,,,
188,성산,2001-01-08,9.7,5.7,12.7,,,11.9,6.6,4.5,3888.0,5.3,58,74.1,9.0,1018.0,10.1,2.0,,,0.0,0.0,,4.8,,,,,,,,,
188,성산,2001-01-09,9.2,3.4,13.6,,11.5,18.6,12.7,5.2,4493.0,6.2,63,81.6,9.8,1013.3,10.1,0.8,,,0.0,0.0,,2.8,,,,,,,,,
188,성산,2001-01-10,2.9,1.5,5.7,,,14.7,7.5,4.8,4147.0,-1.6,58,72.0,5.4,1016.4,10.1,8.0,,,0.0,0.0,,0.0,,,,,,,,,
