지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
278,의성,2001-01-01,-6.2,-14.3,3.1,,,3.5,2.0,0.2,173.0,-14.7,18,55.5,1.9,1007.7,9.7,6.3,,,0.0,0.0,,-15.9,,,,,,,,,
278,의성,2001-01-02,-0.9,-5.1,5.7,,,13.1,9.7,2.3,1987.0,-10.5,31,49.1,2.7,1006.8,9.7,4.1,,,0.0,0.0,,-7.3,,,,,,,,,
278,의성,2001-01-03,-5.1,-11.9,-0.2,,,8.8,7.0,2.2,1901.0,-16.4,29,41.3,1.7,1013.8,9.8,6.8,,,0.0,0.0,,-13.5,,,,,,,,,
278,의성,2001-01-04,-6.7,-13.3,-1.3,,,8.5,6.1,2.0,1728.0,-18.9,19,39.9,1.5,1017.9,9.8,7.2,,,0.0,0.0,,-16.5,,,,,,,,,
278,의성,2001-01-05,-8.4,-16.5,1.9,,,6.8,5.0,0.8,691.0,-16.3,24,57.5,1.7,1022.9,9.8,7.4,,,0.0,0.0,,-17.9,,,,,,,,,
278,의성,2001-01-06,-4.7,-14.6,3.5,,,2.6,1.6,0.2,173.0,-13.9,22,53.4,2.1,1023.7,9.8,6.7,,,0.0,0.0,,-16.8,,,,,,,,,
278,의성,2001-01-07,1.8,-0.9,4.7,,22.0,6.1,4.2,0.9,778.0,-1.2,49,80.8,5.6,1008.1,9.8,0.0,,,6.5,6.5,,-1.5,,,,,,,,,
278,의성,2001-01-08,2.9,-1.6,9.5,,,5.9,4.1,0.8,691.0,-2.6,41,68.9,5.0,1013.0,9.8,4.6,,,0.0,0.0,,-2.5,,,,,,,,,
278,의성,2001-01-09,1.5,-1.3,3.7,,0.5,7.2,5.4,1.0,864.0,-2.5,52,75.4,5.1,1006.9,9.8,0.0,,,0.0,0.0,,-2.5,,,,,,,,,
278,의성,2001-01-10,-3.6,-9.1,2.6,,,6.8,5.1,1.1,950.0,-12.6,24,51.5,2.3,1008.0,9.9,7.4,,,0.0,0.0,,-11.9,,,,,,,,,
278,의성,2001-01-11,-3.3,-9.4,3.0,,,11.3,6.0,1.7,1469.0,-13.5,22,48.9,2.2,1007.4,9.9,7.4,,,0.0,0.0,,-11.5,,,,,,,,,
278,의성,2001-01-12,-7.1,-12.2,-2.2,,,7.4,6.3,1.8,1555.0,-17.6,26,43.9,1.5,1013.6,9.9,7.2,,,0.0,0.0,,-14.7,,,,,,,,,
278,의성,2001-01-13,-6.6,-9.6,-0.3,,0.0,8.1,6.0,1.2,1037.0,-14.8,32,52.8,2.0,1009.9,9.9,3.1,,,0.1,0.1,,-14.1,,,,,,,,,
278,의성,2001-01-14,-10.0,-14.9,-5.8,,,10.7,7.1,2.5,2160.0,-20.8,26,41.8,1.1,1013.3,9.9,7.3,,,0.0,0.0,,-17.2,,,,,,,,,
278,의성,2001-01-15,-11.4,-16.7,-6.1,,,7.5,5.6,1.9,1642.0,-21.8,22,43.3,1.0,1018.1,10.0,7.3,,,0.0,0.0,,-19.5,,,,,,,,,
278,의성,2001-01-16,-11.7,-18.6,-3.7,,,9.1,6.8,1.4,1210.0,-20.1,22,54.8,1.2,1019.7,10.0,7.4,,,0.0,0.0,,-19.6,,,,,,,,,
278,의성,2001-01-17,-9.7,-18.2,0.7,,,5.1,4.0,0.7,605.0,-18.5,17,54.8,1.4,1020.3,10.0,7.5,,,0.0,0.0,,-20.2,,,,,,,,,
278,의성,2001-01-18,-4.0,-11.6,3.1,,,4.7,3.5,0.2,173.0,-9.0,55,68.3,3.2,1019.0,10.0,0.0,,,0.0,0.0,,-14.3,,,,,,,,,
278,의성,2001-01-19,-2.3,-10.5,7.4,,,2.7,2.0,0.2,173.0,-7.0,47,71.0,3.7,1018.7,10.0,3.4,,,0.0,0.0,,-13.1,,,,,,,,,
278,의성,2001-01-20,0.2,-4.3,3.9,,4.5,1.4,0.9,0.1,86.0,-2.4,74,82.3,5.1,1009.0,10.1,0.0,,,4.5,4.5,,-5.2,,,,,,,,,
278,의성,2001-01-21,-3.4,-9.3,4.4,,,5.2,3.4,0.6,518.0,-7.7,44,74.1,3.4,1013.2,10.1,6.8,,,0.0,0.0,,-12.7,,,,,,,,,
278,의성,2001-01-22,-3.3,-7.5,3.6,,,1.7,1.4,0.1,86.0,-7.2,49,75.3,3.5,1014.7,10.1,0.0,,,0.0,0.0,,-9.8,,,,,,,,,
278,의성,2001-01-23,-3.8,-10.0,5.9,,,3.9,2.6,0.3,259.0,-10.5,19,64.1,2.7,1018.2,10.1,7.2,,,0.0,0.0,,-12.6,,,,,,,,,
278,의성,2001-01-24,-2.1,-9.8,5.8,,,2.1,1.5,0.1,86.0,-7.4,44,68.9,3.6,1017.7,10.2,0.0,,,0.0,0.0,,-11.6,,,,,,,,,
278,의성,2001-01-25,2.5,-2.8,8.6,,,9.3,5.6,1.1,950.0,-4.5,33,61.6,4.4,1009.7,10.2,1.8,,,0.0,0.0,,-4.5,,,,,,,,,
278,의성,2001-01-26,2.8,0.3,4.1,,,11.7,9.5,2.8,2419.0,-5.5,42,54.8,4.1,1008.3,10.2,0.0,,,0.0,0.0,,-2.8,,,,,,,,,
278,의성,2001-01-27,-0.1,-3.6,4.7,,0.5,6.3,4.7,0.6,518.0,-3.5,59,78.1,4.7,1006.3,10.3,0.0,,,0.6,0.6,,-4.9,,,,,,,,,
278,의성,2001-01-28,-0.7,-4.8,3.8,,0.1,10.5,6.5,2.4,2074.0,-9.6,29,52.4,3.1,1008.0,10.3,3.6,,,0.1,0.1,,-5.5,,,,,,,,,
278,의성,2001-01-29,-3.6,-12.2,5.2,,,8.1,5.6,0.9,778.0,-9.9,32,63.6,2.9,1013.2,10.3,6.2,,,0.0,0.0,,-15.0,,,,,,,,,
278,의성,2001-01-30,-2.9,-9.7,5.7,,,7.3,5.0,0.8,691.0,-9.1,33,65.6,3.0,1013.0,10.3,8.2,,,0.0,0.0,,-12.0,,,,,,,,,
278,의성,2001-01-31,-2.6,-8.4,3.3,,,2.9,1.2,0.2,173.0,-7.5,47,70.5,3.5,1008.2,10.4,0.0,,,0.0,0.0,,-10.9,,,,,,,,,
278,의성,2001-02-01,-1.9,-7.9,2.1,,0.1,10.2,7.6,2.5,2160.0,-14.5,21,39.5,2.1,1008.1,10.4,8.7,,,0.2,0.2,,-8.8,,,,,,,,,
278,의성,2001-02-02,-6.2,-15.2,2.2,,,5.8,3.9,0.7,605.0,-15.3,20,53.1,1.9,1014.0,10.4,8.8,,,0.0,0.0,,-17.5,,,,,,,,,
278,의성,2001-02-03,-1.2,-8.2,5.5,,,4.5,3.1,0.1,86.0,-6.3,40,65.4,3.9,1016.5,10.5,3.3,,,0.0,0.0,,-10.7,,,,,,,,,
278,의성,2001-02-04,0.3,-4.8,8.8,,,1.8,0.7,0.1,86.0,-6.3,29,63.9,3.8,1016.6,10.5,1.7,,,0.0,0.0,,-7.8,,,,,,,,,
278,의성,2001-02-05,1.0,-7.4,11.1,,,3.0,1.7,0.2,173.0,-6.5,22,60.5,3.8,1012.6,10.5,8.4,,,0.0,0.0,,-9.0,,,,,,,,,
278,의성,2001-02-06,3.1,-0.4,8.8,,,5.3,3.4,0.3,259.0,-3.2,47,62.8,4.8,1009.3,10.6,0.6,,,0.0,0.0,,-4.5,,,,,,,,,
278,의성,2001-02-07,1.5,-4.4,6.4,,,7.4,4.3,1.7,1469.0,-7.8,29,52.6,3.6,1009.1,10.6,3.7,,,0.0,0.0,,-7.9,,,,,,,,,
278,의성,2001-02-08,-4.9,-11.9,1.9,,,6.5,3.6,0.8,691.0,-16.1,19,46.6,1.7,1015.9,10.7,8.9,,,0.0,0.0,,-13.3,,,,,,,,,
278,의성,2001-02-09,-4.4,-12.6,5.1,,,8.6,5.1,0.9,778.0,-10.9,38,61.5,2.7,1016.4,10.7,6.4,,,0.0,0.0,,-13.5,,,,,,,,,
278,의성,2001-02-10,-3.1,-10.5,6.0,,,6.3,2.8,0.6,518.0,-11.9,23,55.4,2.4,1019.1,10.7,8.6,,,0.0,0.0,,-13.0,,,,,,,,,
278,의성,2001-02-11,-3.1,-10.6,5.0,,,5.0,2.9,0.6,518.0,-13.5,18,49.8,2.2,1023.1,10.7,6.1,,,0.0,0.0,,-11.9,,,,,,,,,
278,의성,2001-02-12,-2.2,-6.9,2.7,,,3.2,1.7,0.3,259.0,-14.2,19,41.8,2.1,1020.3,10.8,0.4,,,0.0,0.0,,-8.6,,,,,,,,,
278,의성,2001-02-13,-2.5,-8.3,3.9,,,5.0,2.9,0.8,691.0,-15.2,20,39.5,1.9,1013.6,10.8,6.2,,,0.0,0.0,,-10.3,,,,,,,,,
278,의성,2001-02-14,-4.2,-12.6,3.0,,,8.3,4.4,1.6,1382.0,-15.2,20,46.6,1.9,1014.8,10.8,8.7,,,0.0,0.0,,-15.2,,,,,,,,,
278,의성,2001-02-15,-2.3,-11.6,7.3,,3.5,10.6,6.0,1.1,950.0,-8.6,30,65.1,3.4,1011.2,10.9,4.0,,,0.1,0.1,,-13.3,,,,,,,,,
278,의성,2001-02-16,-3.6,-9.0,1.7,,,8.6,4.8,1.9,1642.0,-12.3,27,52.3,2.4,1018.8,10.9,9.5,,,0.0,0.0,,-10.4,,,,,,,,,
278,의성,2001-02-17,-3.9,-13.3,3.2,,,5.3,2.9,0.5,432.0,-10.8,38,60.6,2.7,1017.5,10.9,4.8,,,0.0,0.0,,-14.0,,,,,,,,,
278,의성,2001-02-18,1.0,-6.3,10.3,,,7.0,2.7,0.5,432.0,-6.2,34,60.6,3.8,1010.5,11.0,8.2,,,0.0,0.0,,-9.4,,,,,,,,,
278,의성,2001-02-19,1.9,-6.6,13.5,,,4.5,2.0,0.4,346.0,-6.8,22,57.6,3.7,1012.7,11.0,8.0,,,0.0,0.0,,-7.3,,,,,,,,,
278,의성,2001-02-20,2.6,-5.8,14.0,,,3.5,1.6,0.2,173.0,-4.7,29,61.6,4.4,1012.3,11.1,8.6,,,0.0,0.0,,-7.0,,,,,,,,,
278,의성,2001-02-21,1.2,-3.5,8.1,,1.0,3.0,1.5,0.2,173.0,-2.2,65,77.6,5.3,1007.1,11.1,0.0,,,0.0,0.0,,-5.4,,,,,,,,,
278,의성,2001-02-22,3.0,-2.9,16.2,,,3.7,1.8,0.3,259.0,-3.2,25,68.1,4.9,1008.9,11.1,5.8,,,0.0,0.0,,-5.8,,,,,,,,,
278,의성,2001-02-23,2.2,-3.9,5.4,,15.5,6.5,3.1,0.9,778.0,-1.7,67,75.3,5.5,1004.6,11.1,0.0,,,0.0,0.0,,-6.1,,,,,,,,,
278,의성,2001-02-24,1.2,-0.1,3.2,,5.5,5.1,3.3,1.1,950.0,-2.5,61,75.3,5.1,1006.8,11.2,0.0,,,0.0,0.0,,-0.4,,,,,,,,,
278,의성,2001-02-25,-1.6,-6.8,4.7,,,8.3,5.3,1.1,950.0,-11.0,25,53.6,2.6,1019.0,11.2,0.0,,,0.0,0.0,,-8.5,,,,,,,,,
278,의성,2001-02-26,-0.9,-9.1,9.6,,,5.4,3.2,0.5,432.0,-9.2,22,57.9,3.1,1021.7,11.3,10.0,,,0.0,0.0,,-10.2,,,,,,,,,
278,의성,2001-02-27,1.3,-7.9,8.1,,8.5,2.7,1.5,0.2,173.0,-5.8,28,62.8,4.1,1014.7,11.3,9.3,,,0.0,0.0,,-8.0,,,,,,,,,
278,의성,2001-02-28,5.4,1.8,12.8,,19.0,3.4,1.9,0.3,259.0,0.3,43,70.4,6.3,1005.4,11.3,9.1,,,0.0,0.0,,-2.2,,,,,,,,,
278,의성,2001-03-01,3.1,-2.9,9.8,,,7.8,3.7,0.6,518.0,-2.3,42,67.9,5.2,1005.3,11.4,8.2,,,0.0,0.0,,-5.9,,,,,,,,,
278,의성,2001-03-02,2.4,-5.3,12.6,,,4.0,2.5,0.4,346.0,-4.8,25,62.4,4.3,1012.7,11.4,10.5,,,0.0,0.0,,-6.5,,,,,,,,,
278,의성,2001-03-03,4.4,-1.3,13.6,,2.0,15.3,9.1,1.3,1123.0,-2.9,36,60.3,5.0,1004.4,11.5,8.8,,,0.0,0.0,,-3.4,,,,,,,,,
278,의성,2001-03-04,-1.0,-3.2,2.2,,0.5,13.1,7.0,3.5,3024.0,-9.0,42,54.4,3.1,998.4,11.5,6.2,,,0.4,0.4,,-6.0,,,,,,,,,
278,의성,2001-03-05,2.0,-3.5,9.0,,,11.5,5.8,2.7,2333.0,-10.0,22,42.8,2.9,1006.7,11.5,10.6,,,0.0,0.0,,-6.5,,,,,,,,,
278,의성,2001-03-06,4.5,-5.1,15.1,,,8.1,4.5,1.6,1382.0,-5.3,24,51.3,4.2,1004.2,11.6,3.2,,,0.0,0.0,,-6.5,,,,,,,,,
278,의성,2001-03-07,0.5,-4.3,4.1,,,9.8,5.8,3.3,2851.0,-11.7,22,39.6,2.5,1008.3,11.6,7.4,,,0.0,0.0,,-5.9,,,,,,,,,
278,의성,2001-03-08,-3.2,-6.5,0.8,,0.0,13.6,7.9,3.1,2678.0,-13.5,27,45.8,2.2,1008.4,11.7,4.7,,,0.1,0.1,,-10.6,,,,,,,,,
278,의성,2001-03-09,-2.3,-10.1,4.8,,,10.6,5.3,1.6,1382.0,-12.9,21,47.4,2.3,1010.8,11.7,8.7,,,0.0,0.0,,-14.6,,,,,,,,,
278,의성,2001-03-10,0.5,-6.1,9.8,,,10.3,6.0,1.3,1123.0,-10.4,18,48.9,2.8,1008.6,11.7,7.1,,,0.0,0.0,,-9.6,,,,,,,,,
278,의성,2001-03-11,-1.0,-9.8,8.3,,,5.8,3.0,0.7,605.0,-12.0,15,49.0,2.4,1011.9,11.8,9.9,,,0.0,0.0,,-12.8,,,,,,,,,
278,의성,2001-03-12,-0.3,-8.3,8.5,,,6.8,4.1,1.1,950.0,-11.2,20,47.3,2.6,1010.3,11.8,9.5,,,0.0,0.0,,-11.1,,,,,,,,,
278,의성,2001-03-13,1.5,-8.1,13.3,,,4.4,2.2,0.4,346.0,-8.4,19,51.9,3.3,1013.2,11.8,9.7,,,0.0,0.0,,-11.3,,,,,,,,,
278,의성,2001-03-14,7.6,-5.0,18.5,,,7.6,3.9,1.0,864.0,-1.7,28,54.3,5.7,1005.6,11.9,7.8,,,0.0,0.0,,-8.8,,,,,,,,,
278,의성,2001-03-15,6.2,-3.7,13.1,,,8.8,5.4,2.0,1728.0,-5.4,19,45.9,4.3,1008.8,11.9,8.7,,,0.0,0.0,,-8.5,,,,,,,,,
278,의성,2001-03-16,3.0,-8.1,13.8,,,4.4,1.5,0.3,259.0,-10.0,13,44.0,2.9,1008.6,12.0,8.2,,,0.0,0.0,,-11.6,,,,,,,,,
278,의성,2001-03-17,5.7,1.2,12.6,,,3.2,1.5,0.3,259.0,-5.0,30,46.4,4.2,1000.9,12.0,3.1,,,0.0,0.0,,-3.7,,,,,,,,,
278,의성,2001-03-18,6.6,-4.0,17.1,,,8.5,4.9,1.3,1123.0,-4.6,19,49.3,4.4,1004.0,12.0,9.2,,,0.0,0.0,,-8.3,,,,,,,,,
278,의성,2001-03-19,8.9,-1.7,21.0,,,9.3,4.7,1.1,950.0,-3.0,14,49.1,4.9,1001.8,12.1,9.7,,,0.0,0.0,,-6.0,,,,,,,,,
278,의성,2001-03-20,10.6,-0.6,23.0,,,9.6,5.0,1.5,1296.0,-3.2,13,45.5,4.9,996.1,12.2,8.9,,,0.0,0.0,,-4.0,,,,,,,,,
278,의성,2001-03-21,9.6,-2.2,22.6,,,4.3,2.5,0.6,518.0,-5.1,12,41.5,4.2,998.5,12.2,10.2,,,0.0,0.0,,-5.5,,,,,,,,,
278,의성,2001-03-22,8.8,0.2,20.8,,,8.1,4.4,1.3,1123.0,-5.5,12,40.1,4.2,998.3,12.2,9.8,,,0.0,0.0,,-3.5,,,,,,,,,
278,의성,2001-03-23,7.5,-0.8,19.7,,,3.0,1.7,0.4,346.0,-7.2,13,39.3,3.5,1006.3,12.2,9.0,,,0.0,0.0,,-4.1,,,,,,,,,
278,의성,2001-03-24,10.0,-2.5,22.6,,,4.3,2.0,0.5,432.0,-6.1,11,38.4,3.9,1002.6,12.3,6.3,,,0.0,0.0,,-6.0,,,,,,,,,
278,의성,2001-03-25,11.9,4.5,21.5,,,8.6,5.3,1.9,1642.0,-1.7,23,40.1,5.5,997.0,12.3,9.2,,,0.0,0.0,,2.5,,,,,,,,,
278,의성,2001-03-26,4.2,-3.0,10.8,,,10.1,4.9,2.5,2160.0,-12.6,16,30.5,2.4,1003.1,12.4,10.5,,,0.0,0.0,,-7.5,,,,,,,,,
278,의성,2001-03-27,2.0,-7.3,8.8,,,5.9,3.3,0.7,605.0,-10.0,18,42.5,2.9,1006.2,12.4,4.7,,,0.0,0.0,,-10.1,,,,,,,,,
278,의성,2001-03-28,3.8,1.2,9.6,,1.0,6.5,3.7,0.8,691.0,-1.9,41,66.6,5.3,1003.3,12.5,1.5,,,0.0,0.0,,-0.6,,,,,,,,,
278,의성,2001-03-29,2.4,-4.9,8.8,,,10.1,5.1,1.8,1555.0,-8.1,24,47.4,3.3,1002.1,12.5,8.7,,,0.0,0.0,,-8.5,,,,,,,,,
278,의성,2001-03-30,0.6,-7.1,7.4,,,4.6,2.8,0.7,605.0,-5.9,40,63.1,4.0,1004.2,12.5,2.2,,,0.0,0.0,,-9.8,,,,,,,,,
278,의성,2001-03-31,2.1,-5.1,11.6,,,8.6,3.9,1.1,950.0,-7.2,19,55.9,3.6,1010.0,12.5,7.8,,,0.0,0.0,,-8.3,,,,,,,,,
278,의성,2001-04-01,4.0,-7.5,14.0,,,11.1,4.6,1.5,1296.0,-6.4,24,50.4,3.8,1009.7,12.6,10.3,,,0.0,0.0,11.1,-10.1,,,,,,,,,
278,의성,2001-04-02,8.6,-4.1,19.7,,,8.5,4.4,1.7,1469.0,-4.2,15,46.0,4.6,1002.9,12.6,10.3,,,0.0,0.0,16.5,-7.4,,,,,,,,,
278,의성,2001-04-03,8.4,-0.3,17.0,,,7.3,3.1,1.0,864.0,-2.9,17,48.6,5.0,1006.8,12.7,7.8,,,0.0,0.0,18.3,-3.7,,,,,,,,,
278,의성,2001-04-04,7.5,-4.4,19.7,,,5.1,2.4,0.6,518.0,-5.9,15,45.0,3.9,1010.7,12.7,10.7,,,0.0,0.0,16.2,-6.5,,,,,,,,,
278,의성,2001-04-05,9.3,-0.5,21.1,,,6.0,3.4,1.0,864.0,-6.7,11,39.4,3.8,1009.5,12.7,9.3,,,0.0,0.0,18.0,-2.2,,,,,,,,,
278,의성,2001-04-06,10.0,-1.7,20.7,,,5.1,3.6,0.8,691.0,-1.8,18,48.1,5.5,1010.6,12.8,8.6,,,0.0,0.0,19.1,-4.3,,,,,,,,,
278,의성,2001-04-07,11.5,2.7,19.7,,,4.9,3.2,0.8,691.0,3.5,40,59.3,8.0,1008.9,12.8,6.1,,,0.0,0.0,22.5,0.3,,,,,,,,,
278,의성,2001-04-08,14.0,3.0,23.7,,,3.7,1.8,0.6,518.0,2.9,25,51.6,7.6,1005.5,12.9,8.6,,,0.0,0.0,22.7,0.4,,,,,,,,,
