지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
203,이천,2001-01-01,-5.9,-13.0,-0.6,,0.1,4.4,3.0,1.1,950.0,-13.1,33.0,60.0,2.3,1008.1,9.6,6.1,,,0.3,0.3,,-17.9,,,,,,,,,
203,이천,2001-01-02,-4.1,-8.4,0.0,,0.0,11.7,7.7,2.8,2419.0,-12.4,37.0,54.6,2.5,1008.7,9.7,0.0,,,0.0,0.3,,-13.2,,,,,,,,,
203,이천,2001-01-03,-7.8,-12.4,-2.2,,,8.0,5.4,2.1,1814.0,-17.7,33.0,46.0,1.6,1015.2,9.7,6.4,,,0.0,0.0,,-16.8,,,,,,,,,
203,이천,2001-01-04,-8.6,-13.2,-2.9,,,7.5,4.5,1.8,1555.0,-18.3,19.0,37.1,1.5,1020.0,9.7,7.7,,,0.0,0.0,,-17.5,,,,,,,,,
203,이천,2001-01-05,-8.2,-15.4,-0.9,,,5.8,3.6,1.1,950.0,-17.3,24.0,52.1,1.6,1024.5,9.7,4.7,,,0.0,0.0,,-18.6,,,,,,,,,
203,이천,2001-01-06,-5.3,-13.6,1.5,,,3.8,3.3,1.0,864.0,-13.2,27.0,59.8,2.2,1023.6,9.7,6.5,,,0.0,0.0,,-17.1,,,,,,,,,
203,이천,2001-01-07,0.1,-1.9,1.3,,27.0,10.0,7.6,3.4,2938.0,-3.0,41.0,80.8,5.0,1008.9,9.7,0.0,,,28.4,28.4,,-3.3,,,,,,,,,
203,이천,2001-01-08,1.5,-2.2,6.4,,,6.9,5.1,2.6,2246.0,-4.0,53.0,68.0,4.6,1013.9,9.7,7.7,,,0.0,28.3,,-3.3,,,,,,,,,
203,이천,2001-01-09,0.1,-5.1,3.1,,11.0,9.2,4.9,1.8,1555.0,-4.1,62.0,73.5,4.6,1007.8,9.8,0.0,,,0.5,22.6,,-8.7,,,,,,,,,
203,이천,2001-01-10,-6.0,-11.3,0.4,,,4.5,2.9,1.1,950.0,-13.8,29.0,57.4,2.1,1008.9,9.8,7.9,,,0.0,21.3,,-15.4,,,,,,,,,
