지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
244,임실,2001-01-01,-4.3,-13.0,3.3,,,4.9,4.0,1.2,1037.0,-11.4,24,62.6,2.6,988.2,9.8,6.8,,,0.0,0.0,,-15.8,,,,,,,,,
244,임실,2001-01-02,-0.3,-3.7,3.0,,0.4,12.4,9.8,2.4,2074.0,-5.3,55,69.5,4.2,989.0,9.8,0.0,,,0.5,0.5,,-6.4,,,,,,,,,
244,임실,2001-01-03,-5.4,-9.3,0.2,,0.4,7.1,5.4,1.8,1555.0,-9.1,50,77.3,3.1,994.0,9.8,4.6,,,1.0,1.0,,-12.1,,,,,,,,,
244,임실,2001-01-04,-7.8,-12.5,-3.8,,0.5,10.8,7.0,2.1,1814.0,-12.3,40,73.4,2.4,998.6,9.8,8.2,,,1.6,2.4,,-15.6,,,,,,,,,
244,임실,2001-01-05,-7.7,-14.3,0.8,,,6.7,4.4,1.2,1037.0,-12.9,41,70.6,2.3,1002.9,9.8,7.5,,,0.0,0.0,,-17.2,,,,,,,,,
244,임실,2001-01-06,-2.7,-12.7,4.7,,,11.0,6.1,1.2,1037.0,-12.0,21,56.4,2.5,1001.3,9.9,5.2,,,0.0,0.0,,-15.6,,,,,,,,,
244,임실,2001-01-07,3.1,0.3,6.7,,20.2,17.2,12.4,3.8,3283.0,-0.2,52,79.9,6.1,984.2,9.9,0.0,,,1.0,1.0,,-1.8,,,,,,,,,
244,임실,2001-01-08,3.8,-1.0,10.4,,0.5,6.4,4.1,1.2,1037.0,-1.0,47,72.9,5.7,991.3,9.9,7.2,,,0.0,0.0,,-2.6,,,,,,,,,
244,임실,2001-01-09,1.6,-3.5,5.4,,5.5,10.1,7.1,2.5,2160.0,-1.8,58,78.3,5.5,987.2,9.9,0.0,,,0.0,0.0,,-6.3,,,,,,,,,
244,임실,2001-01-10,-3.9,-8.4,2.1,,,6.2,3.8,1.2,1037.0,-10.5,30,63.9,2.8,988.8,9.9,8.5,,,0.0,0.0,,-11.3,,,,,,,,,
244,임실,2001-01-11,-3.4,-7.0,1.3,,0.4,9.1,7.3,1.9,1642.0,-11.5,28,56.4,2.6,988.1,9.9,7.7,,,1.0,1.0,,-9.7,,,,,,,,,
244,임실,2001-01-12,-7.3,-11.3,-2.8,,,8.6,5.8,1.9,1642.0,-12.7,48,67.0,2.3,993.3,10.0,7.1,,,0.0,0.0,,-14.5,,,,,,,,,
244,임실,2001-01-13,-6.4,-10.5,0.0,,5.7,7.8,5.4,1.6,1382.0,-10.4,48,76.0,2.9,989.6,10.0,2.1,,,16.9,16.9,,-13.4,,,,,,,,,
244,임실,2001-01-14,-12.4,-19.2,-6.9,,0.2,12.7,7.6,2.1,1814.0,-16.4,46,74.3,1.7,993.5,10.0,6.8,,,0.5,8.2,,-22.4,,,,,,,,,
244,임실,2001-01-15,-12.7,-17.2,-7.2,,,11.0,8.0,2.4,2074.0,-16.8,53,73.6,1.7,998.0,10.0,8.0,,,0.0,7.3,,-20.1,,,,,,,,,
244,임실,2001-01-16,-13.1,-19.3,-5.8,,,12.4,9.6,1.6,1382.0,-17.6,40,73.1,1.6,1000.0,10.0,8.5,,,0.0,5.6,,-22.5,,,,,,,,,
244,임실,2001-01-17,-9.0,-17.1,-0.2,,,7.6,5.3,0.6,518.0,-14.0,36,70.8,2.1,1000.0,10.1,8.5,,,0.0,4.8,,-19.9,,,,,,,,,
