지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
155,창원,2001-01-01,1.5,-3.6,5.9,,,9.0,5.0,2.5,2160,-14.7,13,29.4,2.0,1016.6,9.8,7.1,,,0.0,0.0,-0.8,-6.3,,,,,,,,,
155,창원,2001-01-02,5.3,2.2,8.7,,,16.1,5.9,2.9,2506,-8.5,22,37.5,3.4,1015.6,9.8,5.2,,,0.0,0.0,2.3,-2.7,,,,,,,,,
155,창원,2001-01-03,0.6,-3.4,4.5,,,9.4,4.8,2.4,2074,-12.7,24,36.6,2.3,1022.5,9.8,6.5,,,0.0,0.0,-0.4,-6.1,,,,,,,,,
155,창원,2001-01-04,-1.7,-4.3,1.7,,,10.3,5.6,3.3,2851,-15.5,19,35.8,1.9,1026.2,9.9,7.4,,,0.0,0.0,-3.1,-7.8,,,,,,,,,
155,창원,2001-01-05,-0.8,-5.1,3.0,,,9.6,5.4,2.9,2506,-16.3,18,29.9,1.8,1031.6,9.9,7.3,,,0.0,0.0,-2.3,-8.7,,,,,,,,,
155,창원,2001-01-06,2.5,-2.7,6.3,,,8.0,4.1,2.4,2074,-13.6,12,31.3,2.3,1031.9,9.9,6.9,,,0.0,0.0,1.2,-6.4,,,,,,,,,
155,창원,2001-01-07,5.5,2.4,7.9,,25.1,8.1,3.9,2.7,2333,3.0,50,83.4,7.6,1015.4,9.9,0.0,,,0.0,0.0,3.6,0.0,,,,,,,,,
155,창원,2001-01-08,7.6,5.5,11.4,,,10.2,4.7,2.6,2246,0.6,51,60.9,6.4,1020.5,9.9,4.7,,,0.0,0.0,5.4,2.1,,,,,,,,,
155,창원,2001-01-09,5.7,4.3,9.0,,4.8,11.4,5.0,2.0,1728,1.3,54,73.1,6.8,1014.7,9.9,0.0,,,0.0,0.0,4.3,1.2,,,,,,,,,
155,창원,2001-01-10,1.5,-1.1,4.5,,,11.1,5.5,2.9,2506,-14.4,13,31.6,2.1,1016.7,9.9,7.1,,,0.0,0.0,-0.8,-6.1,,,,,,,,,
155,창원,2001-01-11,1.4,-1.7,6.1,,0.0,10.2,4.9,2.7,2333,-11.9,14,39.3,2.6,1016.0,10.0,6.4,,,0.0,0.0,-1.0,-6.0,,,,,,,,,
155,창원,2001-01-12,-1.9,-5.4,1.4,,,8.4,5.3,2.8,2419,-14.0,28,38.8,2.1,1021.9,10.0,7.6,,,0.0,0.0,-3.0,-7.1,,,,,,,,,
