지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
95,철원,2001-01-01,-9.2,-16.9,-3.5,,0.7,3.0,2.3,0.7,605.0,-11.9,53.0,81.8,2.6,998.0,9.6,2.9,,,1.2,2.7,-5.0,-17.2,-3.2,-1.8,0.2,1.2,3.0,6.0,,,
95,철원,2001-01-02,-6.0,-11.7,-2.0,,0.0,11.0,6.3,3.0,2592.0,-14.4,31.0,52.9,2.2,998.9,9.6,1.4,,,0.0,2.5,-2.4,-13.9,-1.5,-1.0,0.1,1.0,3.1,6.1,,,
95,철원,2001-01-03,-10.8,-16.4,-6.2,,,10.0,5.7,1.9,1642.0,-20.8,27.0,43.9,1.2,1005.1,9.6,8.4,,,0.0,2.3,-6.3,-17.8,-3.4,-2.3,0.2,0.6,2.6,5.6,,,
95,철원,2001-01-04,-13.9,-19.4,-7.4,,,7.0,3.8,1.4,1210.0,-21.3,31.0,55.3,1.1,1010.2,9.6,8.4,,,0.0,2.2,-7.8,-19.8,-5.3,-3.3,-0.1,0.2,2.6,5.6,,,
95,철원,2001-01-05,-12.5,-19.6,-2.3,,,4.0,2.4,0.6,518.0,-17.5,33.0,68.9,1.6,1014.6,9.6,7.1,,,0.0,2.1,-7.7,-19.8,-5.0,-3.9,-0.9,0.0,2.0,5.5,,,
95,철원,2001-01-06,-8.3,-17.8,0.0,,,2.0,1.5,0.4,346.0,-13.9,33.0,66.9,2.2,1014.2,9.6,6.4,,,0.0,2.0,-5.9,-18.2,-4.8,-3.8,-2.0,-0.3,2.1,5.5,,,
95,철원,2001-01-07,-0.4,-4.0,0.3,,13.4,10.0,8.0,5.2,4493.0,-2.8,53.0,83.8,5.0,1001.2,9.6,0.0,,,13.0,13.9,-1.3,-4.5,-1.6,-1.4,-0.8,-0.2,2.1,5.0,,,
95,철원,2001-01-08,-0.2,-3.4,4.3,,,10.0,7.0,2.8,2419.0,-4.9,52.0,71.3,4.2,1005.1,9.7,4.1,,,0.0,13.4,-0.8,-6.1,-0.8,-0.6,-0.3,0.0,2.1,5.0,,,
95,철원,2001-01-09,-1.3,-8.5,3.0,,8.1,7.0,4.0,1.6,1382.0,-3.4,71.0,85.6,4.9,998.6,9.7,0.0,,,8.7,15.4,-0.7,-12.9,-0.9,-0.7,-0.3,0.0,1.7,5.1,,,
95,철원,2001-01-10,-10.2,-18.6,-2.9,,0.0,6.0,4.1,0.9,778.0,-14.7,41.0,71.3,2.0,998.9,9.7,8.4,,,0.0,12.1,-5.2,-20.3,-3.1,-2.2,-0.7,0.0,2.2,4.7,,,
95,철원,2001-01-11,-12.1,-21.6,-4.6,,0.3,7.0,5.5,1.8,1555.0,-19.7,27.0,56.4,1.4,999.8,9.7,8.4,,,0.5,12.2,-5.1,-22.9,-3.5,-2.6,-1.0,-0.1,1.7,4.1,,,
95,철원,2001-01-12,-17.9,-26.3,-6.8,,,5.0,4.0,0.7,605.0,-24.4,23.0,60.6,0.9,1005.4,9.7,7.1,,,0.0,12.0,-9.6,-26.4,-6.1,-4.4,-2.1,-0.1,1.5,4.2,,,
95,철원,2001-01-13,-15.4,-21.6,-6.3,,,6.0,3.9,1.0,864.0,-22.6,23.0,58.0,1.0,1002.2,9.8,7.4,,,0.0,12.0,-9.2,-23.5,-6.0,-4.3,-2.2,-0.2,1.1,3.9,,,
95,철원,2001-01-14,-19.5,-26.2,-11.1,,,7.0,4.5,1.2,1037.0,-26.2,28.0,57.9,0.7,1005.3,9.8,8.7,,,0.0,11.8,-12.1,-27.1,-7.9,-5.6,-3.0,-0.5,1.0,4.0,,,
