지점 번호,지점명,시간,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일강수량,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,합계 일조 시간,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심적설,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도
127,충주,2001-01-01,-5.1,-12.1,0.3,,0.0,5.5,4.7,1.2,1037.0,-11.2,40,65.6,2.7,1010.0,9.7,5.2,,,0.3,0.3,-2.3,-13.2,,,,,,,,,
127,충주,2001-01-02,-2.4,-6.7,0.4,,0.0,10.8,8.6,2.8,2419.0,-9.1,43,61.4,3.1,1010.0,9.7,0.0,,,0.0,0.3,-0.7,-8.7,,,,,,,,,
127,충주,2001-01-03,-7.1,-11.7,-2.6,,,9.0,8.8,2.5,2160.0,-15.3,41,54.0,1.9,1016.8,9.7,7.0,,,0.0,0.0,-4.6,-15.1,,,,,,,,,
127,충주,2001-01-04,-8.7,-12.6,-4.0,,,7.6,6.8,2.4,2074.0,-17.6,30,50.1,1.6,1021.5,9.7,6.9,,,0.0,0.0,-4.7,-15.3,,,,,,,,,
127,충주,2001-01-05,-8.2,-14.7,-1.0,,,4.6,3.5,1.4,1210.0,-14.7,38,62.8,2.0,1026.1,9.7,6.7,,,0.0,0.0,-4.4,-16.3,,,,,,,,,
127,충주,2001-01-06,-4.7,-12.4,2.4,,,2.8,2.2,0.7,605.0,-11.0,33,64.5,2.7,1025.3,9.7,5.6,,,0.0,0.0,-2.2,-14.6,,,,,,,,,
127,충주,2001-01-07,2.0,-1.3,3.6,,35.0,10.4,7.7,3.6,3110.0,-2.6,48,72.3,5.1,1010.1,9.8,0.0,,,7.3,7.3,0.2,-5.1,,,,,,,,,
127,충주,2001-01-08,2.1,-1.8,7.0,,0.0,6.1,3.9,1.2,1037.0,-3.0,51,70.0,4.9,1015.2,9.8,6.9,,,0.0,3.5,0.1,-4.7,,,,,,,,,
127,충주,2001-01-09,0.7,-2.9,3.1,,5.5,8.8,6.1,2.0,1728.0,-3.2,64,75.1,4.9,1009.2,9.8,0.0,,,0.0,0.9,0.1,-5.0,,,,,,,,,
127,충주,2001-01-10,-5.1,-8.9,-0.4,,,6.1,5.0,1.7,1469.0,-10.6,42,67.5,2.8,1010.6,9.8,8.1,,,0.0,0.0,-1.4,-11.4,,,,,,,,,
127,충주,2001-01-11,-5.3,-10.7,-1.2,,0.0,9.8,7.0,2.6,2246.0,-13.4,40,54.5,2.3,1010.9,9.8,8.2,,,0.5,0.5,-2.3,-13.7,,,,,,,,,
127,충주,2001-01-12,-11.0,-15.2,-6.5,,,6.8,5.6,1.7,1469.0,-18.8,34,56.1,1.4,1017.1,9.8,7.5,,,0.0,0.0,-5.9,-16.9,,,,,,,,,
127,충주,2001-01-13,-8.6,-11.8,-2.8,,0.0,9.7,9.1,2.6,2246.0,-15.4,40,59.1,1.9,1013.0,9.9,4.2,,,0.0,0.0,-4.5,-13.5,,,,,,,,,
127,충주,2001-01-14,-13.0,-17.1,-8.2,,,12.3,9.3,3.0,2592.0,-20.1,34,59.1,1.3,1016.9,9.9,7.9,,,0.0,0.0,-6.2,-18.4,,,,,,,,,
127,충주,2001-01-15,-14.5,-19.3,-9.4,,,7.2,5.5,1.9,1642.0,-20.2,37,59.0,1.2,1021.7,9.9,7.6,,,0.0,0.0,-9.0,-20.1,,,,,,,,,
127,충주,2001-01-16,-13.8,-19.1,-7.3,,,6.8,5.6,2.1,1814.0,-19.5,40,65.1,1.3,1023.4,9.9,7.7,,,0.0,0.0,-7.2,-19.6,,,,,,,,,
