지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4482500000,태안,0,-3,4,-1,0,-4,0,0,마늘,PA120201,난지형 대서,,0,2008-01-01 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,팥,PA330101,적두,,0,2008-01-01 00:00:00
4887000000,함양,0,0,0,0,0,0,0,0,양파,PA250201,중만생종,,0,2008-01-01 00:00:00
4825000000,김해,0,0,0,0,0,0,0,0,오이,PA280101,가시계통,,0,2008-01-01 00:00:00
4825000000,김해,0,0,0,0,0,0,0,0,양배추,PA240101,봄,,0,2008-01-01 00:00:00
4825000000,김해,0,0,0,0,0,0,0,0,대파,PA090101,봄대파,,0,2008-01-01 00:00:00
4825000000,김해,0,0,0,0,0,0,0,0,당근,PA080101,봄,,0,2008-01-01 00:00:00
4825000000,김해,0,0,0,0,0,0,0,0,단감,PA070101,-,,0,2008-01-01 00:00:00
4776000000,영양,0,-5,1,-1,0,-8,0,0,양배추,PA240201,고랭지,,0,2008-01-01 00:00:00
4776000000,영양,0,-5,1,-1,0,-8,0,0,건고추,PA030101,-,,0,2008-01-01 00:00:00
4773000000,의성,60,-5,2,-1,41,-10,0,6,참깨,PA300101,-,,0,2008-01-01 00:00:00
4773000000,의성,60,-5,2,-1,41,-10,0,6,사과,PA200101,-,,0,2008-01-01 00:00:00
4773000000,의성,60,-5,2,-1,41,-10,0,6,마늘,PA120101,한지형,,0,2008-01-01 00:00:00
4729000000,경산,0,-2,3,0,0,-4,0,0,복숭아,PA180201,유명,,0,2008-01-01 00:00:00
4729000000,경산,0,-2,3,0,0,-4,0,0,깻잎,PA050101,-,,0,2008-01-01 00:00:00
4725000000,상주,62,-4,3,-2,46,-6,0,3,포도,PA340101,캠벨얼리,,0,2008-01-01 00:00:00
