지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
247,남원,2001-01-01,-2.9,-11.0,637,4.3,1443,,,,,3.8,270,1818,3.3,270,1820,0.8,691,320,-9.6,25,1505,65.1,3.0,1007.9,1024.2,310,1015.5,2400,1019.5,9.8,7.3,,,,,,,,,,,,-13.4,,,,,,,,,,,,,,
247,남원,2001-01-02,1.7,-2.3,45,6.1,1343,,,,,12.1,290,1527,7.9,270,1530,2.3,1987,290,-3.6,48,1437,68.6,4.7,1008.4,1024.5,2330,1014.6,120,1019.8,9.8,4.1,,,,,,,,,,,,-4.2,,,,,,,,,,,,,,
247,남원,2001-01-03,-2.6,-6.7,2227,2.8,1425,,,,0.0,6.6,20,1755,4.6,20,1610,1.4,1210,360,-7.5,45,1353,71.0,3.5,1013.9,1027.3,740,1022.9,1510,1025.5,9.8,5.8,,,,0.0,,0.0,,0.0,,,,-8.5,,,,,,,,,,,,0.3,,
247,남원,2001-01-04,-5.3,-9.8,2353,-0.5,1433,,,,0.3,10.7,320,1427,6.8,340,1410,2.1,1814,360,-10.3,35,1507,70.4,2.8,1018.6,1033.1,2320,1025.9,0,1030.3,9.8,8.4,,,,1.2,745,1.2,745,1.2,,,,-12.0,,,,,,,,,,,,,,
247,남원,2001-01-05,-5.3,-11.7,715,2.9,1452,,,,,8.2,50,1134,5.6,20,1010,1.4,1210,20,-10.9,38,1335,69.3,2.7,1022.9,1036.5,2330,1032.8,40,1034.7,9.9,8.0,,,,,,,,,,,,-13.8,,,,,,,,,,,,,,
247,남원,2001-01-06,-1.9,-10.7,807,4.7,1515,,,,,7.2,70,2335,4.6,50,2210,1.0,864,70,-9.4,22,1925,62.4,3.1,1021.2,1037.4,150,1027.7,2400,1032.8,9.9,6.3,,,,,,,,,,,,-12.6,,,,,,,,,,,,10.0,,
247,남원,2001-01-07,4.0,0.6,207,6.5,1335,,,,15.5,14.0,50,735,8.5,90,310,2.8,2419,90,1.3,65,0,83.1,6.7,1003.5,1027.7,0,1009.2,1500,1014.7,9.9,0.0,,,,1.5,252,1.5,252,1.5,,,,-0.6,,,,,,,,,,,,5.5,,
247,남원,2001-01-08,4.6,-0.7,557,11.4,1510,,,,,4.7,70,1943,3.2,70,2330,1.2,1037,340,0.4,48,1556,75.9,6.3,1010.6,1024.4,1010,1016.7,110,1021.9,9.9,6.0,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,
247,남원,2001-01-09,3.5,-1.5,2340,6.7,1322,,,,5.5,10.5,320,1937,7.3,290,2140,2.8,2419,340,-0.7,61,145,74.5,5.9,1006.7,1022.9,200,1013.2,1340,1018.0,9.9,0.0,,,,,,,,,,,,-3.2,,,,,,,,,,,,5.5,,
247,남원,2001-01-10,-1.9,-6.6,736,3.9,1608,,,,,6.3,320,245,4.3,320,230,1.4,1210,320,-9.2,27,1615,60.1,3.1,1008.5,1022.8,1000,1017.0,1630,1019.9,9.9,9.0,,,,,,,,,,,,-8.7,,,,,,,,,,,,0.1,,
247,남원,2001-01-11,-1.5,-5.4,2308,4.3,1315,,,,0.1,9.1,20,1113,4.9,20,1210,1.4,1210,340,-8.6,27,1250,62.9,3.3,1007.6,1023.6,2400,1016.6,540,1019.1,9.9,7.9,,,,0.4,553,0.4,553,0.4,,,,-7.3,,,,,,,,,,,,,,
247,남원,2001-01-12,-4.4,-9.4,745,0.6,1408,,,,,7.0,20,1552,5.8,20,1450,1.7,1469,20,-10.4,46,1555,64.1,2.8,1013.1,1027.3,1040,1022.4,2120,1024.8,9.9,8.1,,,,,,,,,,,,-11.6,,,,,,,,,,,,4.0,,
247,남원,2001-01-13,-4.8,-11.1,2117,1.0,1330,,,,4.5,7.7,340,2315,6.0,360,1500,1.7,1469,340,-8.5,53,200,77.4,3.3,1009.5,1024.1,2350,1019.0,730,1021.2,10.0,3.8,,,,14.0,1050,14.0,1050,14.0,,,,-13.5,,,,,,,,,,,,0.5,,
247,남원,2001-01-14,-10.3,-17.4,802,-4.8,1408,,,,0.2,13.1,340,1837,10.4,360,1830,1.9,1642,340,-14.4,47,1547,75.4,2.0,1013.9,1028.5,2340,1022.3,1610,1025.8,10.0,6.1,,,,0.6,1852,5.2,0,0.6,,,,-20.0,,,,,,,,,,,,0.2,,
247,남원,2001-01-15,-12.8,-19.7,817,-5.2,1454,,,,,12.8,20,1315,7.0,340,1300,1.4,1210,20,-16.0,50,1508,81.0,1.8,1018.6,1032.2,2130,1028.3,10,1030.7,10.0,8.6,,,,,,3.8,0,,,,,-22.1,,,,,,,,,,,,,,
247,남원,2001-01-16,-12.2,-19.4,732,-2.9,1407,,,,,10.2,340,1518,7.0,320,1430,1.2,1037,340,-16.0,36,1617,79.4,1.8,1020.5,1033.9,940,1030.9,1410,1032.6,10.0,8.7,,,,,,3.3,0,,,,,-21.7,,,,,,,,,,,,,,
247,남원,2001-01-17,-8.5,-16.9,108,1.6,1417,,,,,5.2,360,1458,3.5,340,1450,0.9,778,160,-12.9,34,1615,75.1,2.3,1020.2,1034.9,810,1029.7,1610,1032.2,10.1,8.4,,,,,,2.8,0,,,,,-19.1,,,,,,,,,,,,,,
247,남원,2001-01-18,-4.2,-13.9,742,6.6,1528,,,,,3.8,20,1553,2.0,160,410,0.5,432,360,-7.6,46,1543,80.8,3.6,1019.1,1032.3,800,1028.4,1620,1030.9,10.1,4.7,,,,,,2.0,0,,,,,-15.9,,,,,,,,,,,,,,
247,남원,2001-01-19,-1.6,-7.5,520,4.0,1615,,,,0.5,3.0,320,2354,2.0,20,2400,0.5,432,140,-3.6,64,1415,87.5,4.8,1017.2,1032.9,810,1024.2,2400,1028.8,10.1,0.8,,,,0.2,2342,1.4,0,0.2,,,,-9.8,,,,,,,,,,,,19.0,,
247,남원,2001-01-20,3.0,0.4,435,8.7,1415,,,,19.0,9.0,340,1518,6.8,340,1510,1.4,1210,360,0.2,65,1420,82.9,6.2,1008.1,1024.2,0,1016.4,1310,1019.4,10.1,4.0,,,,,,0.1,0,,,,,-1.4,,,,,,,,,,,,0.5,,
247,남원,2001-01-21,0.2,-3.7,755,5.8,1507,,,,,7.6,340,1227,4.2,20,1300,1.2,1037,340,-3.5,47,1542,78.1,4.7,1012.8,1026.2,2310,1022.4,1650,1024.2,10.2,8.6,,,,,,,,,,,,-5.6,,,,,,,,,,,,,,
