지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
288,밀양,2001-01-01,-1.5,-9.3,750,6.3,1410,,,,,3.8,320,1520,3.5,340,1500,0.8,691,180,-13.0,18,1610,44.8,2.3,1016.8,1022.2,530,1015.0,2340,1018.3,9.8,7.8,,,,,,,,,,,,-14.3,,,,,,,,,,,,,,
288,밀양,2001-01-02,1.9,-3.6,610,8.6,1340,,,,,11.3,110,1050,7.4,20,1450,2.1,1814,90,-10.0,25,1630,43.4,2.9,1015.5,1021.9,2400,1013.6,150,1017.0,9.8,7.1,,,,,,,,,,,,-8.5,,,,,,,,,,,,,,
288,밀양,2001-01-03,-1.5,-6.7,2350,2.9,1450,,,,,9.3,110,220,5.6,110,220,2.0,1728,140,-13.2,23,200,42.1,2.2,1022.6,1026.1,1000,1021.5,100,1024.1,9.8,7.8,,,,,,,,,,,,-11.9,,,,,,,,,,,,,,
288,밀양,2001-01-04,-3.7,-8.6,440,2.2,1450,,,,,7.5,140,1100,5.0,140,1440,1.8,1555,160,-15.8,20,1630,43.3,1.9,1026.4,1030.6,2140,1024.1,110,1027.9,9.8,8.6,,,,,,,,,,,,-13.6,,,,,,,,,,,,,,
288,밀양,2001-01-05,-3.2,-10.0,720,3.2,1410,,,,,9.2,180,1710,8.4,110,1240,1.7,1469,140,-13.8,27,1210,46.4,2.1,1031.7,1035.6,2320,1030.2,0,1033.2,9.9,8.0,,,,,,,,,,,,-15.2,,,,,,,,,,,,,,
288,밀양,2001-01-06,0.3,-7.8,650,6.0,1450,,,,,5.7,230,950,3.9,180,950,0.8,691,140,-11.7,18,1540,43.3,2.6,1032.2,1036.3,220,1030.6,2350,1033.7,9.9,7.0,,,,,,,,,,,,-12.4,,,,,,,,,,,,8.0,,
288,밀양,2001-01-07,3.7,0.8,530,6.5,1820,,,,13.5,4.6,200,320,2.6,70,1750,0.8,691,70,0.7,50,40,80.9,6.5,1015.7,1030.9,10,1010.7,1630,1017.2,9.9,0.0,,,,,,,,,,,,-0.7,,,,,,,,,,,,5.5,,
288,밀양,2001-01-08,6.2,1.6,2210,11.4,1350,,,,,9.1,180,1020,6.2,200,1020,2.1,1814,180,-0.5,45,1350,62.8,5.9,1020.9,1025.1,1900,1015.3,0,1022.4,9.9,7.6,,,,,,,,,,,,-1.4,,,,,,,,,,,,0.5,,
288,밀양,2001-01-09,4.6,1.4,20,6.8,1500,,,,3.0,6.3,180,540,5.5,110,2300,1.1,950,110,0.6,59,2310,75.3,6.5,1015.0,1024.4,0,1011.3,1500,1016.5,9.9,0.0,,,,,,,,,,,,-1.6,,,,,,,,,,,,2.5,,
288,밀양,2001-01-10,0.1,-4.8,2250,5.9,1450,,,,,6.1,200,1410,6.0,200,1400,1.4,1210,140,-11.8,19,1450,43.4,2.5,1016.7,1021.7,1040,1015.9,0,1018.2,9.9,7.9,,,,,,,,,,,,-8.4,,,,,,,,,,,,,,
288,밀양,2001-01-11,-0.9,-6.1,140,5.6,1420,,,,,8.0,180,1130,6.3,140,1120,1.6,1382,140,-11.5,23,1400,48.3,2.6,1016.2,1021.9,2350,1015.0,530,1017.7,9.9,7.0,,,,,,,,,,,,-8.9,,,,,,,,,,,,,,
288,밀양,2001-01-12,-3.3,-7.8,720,1.7,1450,,,,,6.6,200,1700,3.8,180,1220,1.1,950,90,-12.4,33,1710,51.0,2.4,1022.2,1025.8,1130,1021.9,0,1023.7,10.0,8.3,,,,,,,,,,,,-11.9,,,,,,,,,,,,1.0,,
