지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
235,보령,2001-01-01,-1.2,-7.4,620,3.7,2301,,,,2.8,12.8,180,2123,9.9,180,2150,2.6,2246,180,-6.0,56,1321,70.6,4.0,1015.9,1023.2,310,1012.6,2150,1018.0,9.7,6.2,,,,,,,,,,,,-10.3,,,,,,,,,,,,2.8,{싸락눈}1940-{눈}1947-{진눈깨비}2004-2036. {비}2120-2235.,
235,보령,2001-01-02,1.4,-3.3,2354,5.4,619,,,,0.0,11.3,290,149,10.7,250,710,2.8,2419,290,-5.3,45,632,61.5,4.1,1017.4,1025.0,2350,1013.6,0,1019.5,9.7,2.6,,,,,,,,,,,,-6.0,,,,,,,,,,,,0.0,{황사}1025-{황사}{강도0}1200-{황사}{강도0}1500-1650. {소낙눈}1714-1729.,
235,보령,2001-01-03,-4.2,-7.5,709,-0.8,1518,,,,0.6,8.5,20,22,6.6,20,30,2.1,1814,360,-9.8,52,1654,65.5,2.9,1023.4,1026.7,320,1024.1,1510,1025.6,9.8,5.9,,,,3.5,2400,3.5,2400,3.9,,,,-9.4,,,,,,,,,,,,0.7,{소낙눈}1241-1249. {소낙눈}1405-1442. {소낙눈}1845-{소낙눈}{강도1}2100-{소낙눈}{강도0}2400-,
235,보령,2001-01-04,-6.0,-9.5,738,-1.9,1405,,,,0.1,9.5,320,1504,6.0,20,330,2.6,2246,20,-12.2,47,1813,62.8,2.4,1028.3,1032.5,2340,1026.0,0,1030.5,9.8,8.2,,,,0.6,313,3.9,313,0.6,,,,-12.9,,,,,,,,,,,,,-{소낙눈}-0022. {소낙눈}0115-{소낙눈}{강도0}0300-0327.,
235,보령,2001-01-05,-4.5,-9.1,656,1.0,1459,,,,,6.1,50,2124,4.0,20,2140,1.4,1210,50,-11.1,47,1653,61.0,2.6,1032.4,1036.1,2400,1032.2,140,1034.6,9.8,8.0,,,,,,,,,,,,-11.8,,,,,,,,,,,,,,
235,보령,2001-01-06,0.0,-6.9,431,4.6,2359,,,,,7.8,50,854,5.0,50,1850,1.9,1642,50,-10.8,29,2359,46.9,2.7,1030.0,1036.6,130,1026.5,2400,1032.1,9.8,6.4,,,,,,,,,,,,-10.2,,,,,,,,,,,,27.0,,
235,보령,2001-01-07,2.9,0.6,302,5.3,1226,,,,38.5,16.8,20,813,12.2,70,810,4.3,3715,50,-0.9,28,3,76.6,5.7,1012.8,1026.5,0,1008.8,1410,1014.9,9.8,0.0,,,,3.6,421,3.6,421,3.8,,,,-0.2,,,,,,,,,,,,11.7,{눈}0210-{눈}{강도1}0300-{진눈깨비}0434-{진눈깨비}{강도1}0600-{비}0616-{비}{강도1}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-1930. {비}2036-{비}{강도0}2100-2140. {진눈깨비}2235-{진눈깨비}{강도0}2400-,
235,보령,2001-01-08,4.3,1.2,519,7.7,1535,,,,0.2,9.2,20,558,6.5,50,830,3.3,2851,50,-1.2,57,2312,67.9,5.6,1019.6,1023.9,1040,1017.7,0,1021.7,9.8,8.6,,,,,,,,,,,,-1.2,,,,,,,,,,,,0.5,-{진눈깨비}-0048.,
235,보령,2001-01-09,3.1,-1.5,2348,7.8,822,,,,7.0,10.5,290,1830,8.9,290,1830,3.5,3024,360,-2.9,52,443,65.3,5.0,1015.9,1021.9,100,1014.6,1020,1018.1,9.8,0.0,,,,,,,,,,,,-3.9,,,,,,,,,,,,6.5,{비}0724-{비}{강도0}0900-{비}{강도0}1200-{진눈깨비}1213-1348.,
235,보령,2001-01-10,-1.8,-6.7,812,1.6,1346,,,,0.0,11.6,180,2352,9.2,200,2310,2.2,1901,20,-9.8,35,1310,55.3,2.9,1017.3,1022.8,910,1014.5,2400,1019.5,9.9,8.6,,,,,,,,,,,,-9.1,,,,,,,,,,,,0.8,{소낙눈}2350-{소낙눈}{강도0}2400-,
