지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
226,보은,2001-01-01,-4.1,-11.6,715,2.0,1500,,,,0.2,3.5,250,1525,2.4,230,1520,0.6,518,290,-13.5,22,1530,52.0,2.2,994.8,1021.7,250,1010.9,2250,1016.7,9.7,7.4,,,,0.3,2400,0.3,2400,0.3,,,,-15.7,,,,,,,,,,,,0.6,,
226,보은,2001-01-02,-0.9,-5.2,2400,2.7,955,,,,0.4,9.3,320,1035,8.7,340,1040,2.5,2160,320,-8.3,44,1445,57.5,3.3,995.1,1022.4,2400,1011.2,120,1016.7,9.7,1.2,,,,0.5,640,0.8,640,0.5,,,,-9.3,,,,,,,,,,,,0.0,,
226,보은,2001-01-03,-6.4,-11.6,735,-2.0,1355,,,,,6.4,290,1415,4.5,320,150,1.6,1382,320,-16.4,32,1055,46.1,1.7,1001.5,1025.4,740,1021.6,1620,1023.7,9.7,7.2,,,,,,,,,,,,-15.5,,,,,,,,,,,,,,
226,보은,2001-01-04,-7.8,-12.5,745,-3.7,1520,,,,,7.1,340,1420,5.1,340,1430,1.6,1382,320,-19.0,27,1355,43.1,1.4,1006.0,1030.8,2320,1023.8,0,1028.4,9.8,7.8,,,,,,,,,,,,-17.2,,,,,,,,,,,,,,
226,보은,2001-01-05,-7.4,-13.6,705,0.5,1435,,,,,6.3,320,1345,4.6,290,1340,0.8,691,320,-16.1,31,1205,52.9,1.8,1010.4,1034.5,2400,1030.7,10,1032.8,9.8,7.1,,,,,,,,,,,,-18.0,,,,,,,,,,,,,,
226,보은,2001-01-06,-3.3,-12.3,715,3.4,1335,,,,,6.9,110,1615,5.1,140,1630,1.0,864,180,-15.1,15,1655,44.9,2.0,1009.6,1035.7,740,1027.8,2400,1031.7,9.8,6.6,,,,,,,,,,,,-17.2,,,,,,,,,,,,19.0,,
226,보은,2001-01-07,2.0,-0.4,305,4.0,1725,,,,27.0,10.5,200,1005,7.5,110,810,2.0,1728,200,-2.7,44,0,71.0,5.0,994.2,1027.8,0,1009.2,1520,1015.5,9.8,0.0,,,,12.7,800,12.7,800,12.7,,,,-4.2,,,,,,,,,,,,8.0,,
226,보은,2001-01-08,3.2,-0.9,655,7.8,1415,,,,,4.7,180,1520,3.2,180,1520,1.2,1037,180,-4.4,43,1415,58.9,4.4,999.5,1022.7,2230,1015.7,0,1020.8,9.8,7.5,,,,,,7.0,0,,,,,-2.7,,,,,,,,,,,,,,
226,보은,2001-01-09,1.9,-2.4,2400,4.6,1235,,,,4.5,9.3,320,1920,6.3,320,1900,2.4,2074,320,-4.3,51,5,63.8,4.5,994.4,1022.1,240,1010.8,1240,1015.7,9.8,0.0,,,,,,,,,,,,-7.1,,,,,,,,,,,,4.5,,
226,보은,2001-01-10,-4.1,-8.5,735,1.0,1445,,,,,5.3,340,20,3.2,320,130,0.9,778,290,-14.1,25,1555,47.0,2.1,995.6,1020.7,940,1014.2,2350,1017.4,9.8,8.6,,,,,,,,,,,,-13.0,,,,,,,,,,,,0.2,,
