지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
271,봉화,2001-01-01,-7.6,-16.7,715,0.8,1456,,,,,5.3,180,1305,3.6,160,1250,1.1,950,360,-12.6,36,1517,71.1,2.3,977.4,1023.9,510,1013.4,2340,1018.5,9.7,7.3,,,,,,,,,,,,-19.0,,,,,,,,,,,,,,
271,봉화,2001-01-02,-2.9,-7.9,2357,0.9,1057,,,,,11.1,290,1656,11.0,290,1650,2.8,2419,180,-9.6,41,1506,60.3,3.0,975.8,1021.5,2400,1012.9,440,1016.1,9.7,5.4,,,,,,,,,,,,-10.2,,,,,,,,,,,,,,
271,봉화,2001-01-03,-7.7,-14.4,706,-3.6,1205,,,,,13.3,340,2145,11.1,290,2200,2.8,2419,200,-16.7,35,1520,48.5,1.6,982.0,1026.0,650,1021.2,1600,1023.2,9.7,7.7,,,,,,,,,,,,-16.7,,,,,,,,,,,,,,
271,봉화,2001-01-04,-9.3,-13.9,626,-4.1,1443,,,,,13.4,360,1226,10.3,360,1320,2.8,2419,360,-18.8,26,1646,47.0,1.4,986.2,1031.2,2210,1023.1,0,1027.9,9.7,8.5,,,,,,,,,,,,-16.0,,,,,,,,,,,,,,
271,봉화,2001-01-05,-9.6,-18.1,728,-0.9,1454,,,,,11.9,340,1432,7.7,340,1040,2.1,1814,320,-16.0,30,1025,63.4,1.8,991.4,1035.8,2400,1030.8,20,1033.4,9.7,8.3,,,,,,,,,,,,-20.5,,,,,,,,,,,,,,
271,봉화,2001-01-06,-6.3,-17.3,556,4.2,1406,,,,,4.3,110,1832,2.9,200,1510,0.8,691,140,-12.6,23,1425,67.5,2.4,993.5,1039.0,800,1031.7,1450,1035.0,9.7,7.6,,,,,,,,,,,,-19.6,,,,,,,,,,,,7.0,,
271,봉화,2001-01-07,1.8,-2.3,0,3.3,1834,,,,16.0,15.3,50,2034,8.5,90,2010,2.2,1901,70,-1.8,61,2304,77.0,5.4,979.9,1032.4,0,1012.9,1820,1019.6,9.8,0.0,,,,8.3,1115,8.3,1115,8.3,,,,-4.1,,,,,,,,,,,,9.0,,
271,봉화,2001-01-08,0.3,-4.8,2307,4.3,1133,,,,,8.3,50,1614,7.0,50,1610,2.1,1814,50,-4.2,53,1034,72.9,4.5,984.3,1027.7,2040,1016.5,0,1024.4,9.8,8.2,,,,,,3.5,0,,,,,-7.5,,,,,,,,,,,,,,
271,봉화,2001-01-09,-0.3,-4.7,8,2.5,1356,,,,2.5,6.9,250,2105,4.3,270,2100,1.2,1037,160,-2.4,68,2337,85.9,5.2,977.2,1026.9,10,1011.3,1530,1017.1,9.8,0.0,,,,,,1.3,0,,,,,-6.2,,,,,,,,,,,,2.5,,
271,봉화,2001-01-10,-5.3,-11.4,2316,1.1,1327,,,,,8.6,360,56,6.5,290,350,1.8,1555,340,-11.0,35,1645,67.1,2.6,977.5,1021.0,830,1015.5,100,1018.2,9.8,8.2,,,,,,,,,,,,-13.7,,,,,,,,,,,,1.0,,
271,봉화,2001-01-11,-6.1,-11.4,26,-1.2,1113,,,,1.0,11.6,290,1515,6.8,230,2000,2.2,1901,290,-13.2,33,1225,61.0,2.3,976.2,1021.3,2400,1014.7,450,1017.0,9.8,8.2,,,,1.8,550,1.8,550,,,,,-13.8,,,,,,,,,,,,,,
271,봉화,2001-01-12,-10.7,-13.8,800,-5.0,1446,,,,,13.0,360,1245,11.4,360,1240,3.1,2678,360,-19.8,29,1505,48.1,1.2,982.0,1024.9,810,1021.3,0,1023.7,9.8,8.3,,,,,,,,,,,,-16.3,,,,,,,,,,,,,,
271,봉화,2001-01-13,-10.6,-15.7,426,-2.1,1306,,,,,8.4,320,1316,5.5,250,1420,1.4,1210,340,-15.6,46,1725,67.8,1.8,979.1,1025.3,130,1017.0,1300,1020.7,9.9,5.3,,,,,,,,,,,,-18.3,,,,,,,,,,,,,,
271,봉화,2001-01-14,-13.4,-18.8,656,-8.7,1305,,,,,14.7,270,1336,7.1,230,1300,2.8,2419,270,-21.0,34,1604,54.0,1.1,981.0,1025.5,2400,1020.8,1630,1023.1,9.9,8.1,,,,,,,,,,,,-21.7,,,,,,,,,,,,,,
271,봉화,2001-01-15,-15.4,-19.7,748,-8.7,1536,,,,,11.0,360,1334,9.8,340,1510,2.6,2246,340,-24.9,23,346,45.3,0.8,985.7,1030.6,2110,1025.5,0,1028.4,9.9,8.1,,,,,,,,,,,,-22.4,,,,,,,,,,,,,,
271,봉화,2001-01-16,-14.0,-21.4,719,-6.1,1446,,,,,9.3,360,1557,7.5,270,1620,2.3,1987,340,-22.8,23,1655,50.6,1.0,987.6,1032.0,2200,1027.3,1500,1030.1,9.9,8.2,,,,,,,,,,,,-24.3,,,,,,,,,,,,,,
271,봉화,2001-01-17,-11.5,-20.6,744,-2.2,1326,,,,,11.6,340,1426,9.6,360,1420,1.2,1037,160,-18.3,22,1426,62.0,1.5,989.0,1034.9,800,1028.8,1640,1031.2,9.9,7.9,,,,,,,,,,,,-23.8,,,,,,,,,,,,,,
271,봉화,2001-01-18,-3.3,-9.7,0,3.0,1537,,,,,8.2,340,1618,7.8,340,1620,1.4,1210,250,-7.3,55,1608,73.9,3.6,988.4,1034.0,2350,1026.7,400,1029.2,10.0,2.8,,,,,,,,,,,,-12.2,,,,,,,,,,,,,,
271,봉화,2001-01-19,-3.8,-11.9,410,4.6,1325,,,,,2.7,270,1456,2.3,340,520,0.5,432,340,-5.9,59,1336,85.9,4.0,989.2,1035.0,320,1025.2,2350,1030.1,10.0,1.1,,,,,,,,,,,,-14.4,,,,,,,,,,,,2.0,,
271,봉화,2001-01-20,-0.1,-5.4,2344,5.7,1245,,,,2.0,5.1,290,1644,3.5,290,1840,0.7,605,270,-2.2,59,1657,86.1,5.3,979.3,1025.2,0,1015.1,1410,1019.2,10.0,0.9,,,,3.6,850,3.6,850,3.6,,,,-7.9,,,,,,,,,,,,,,
271,봉화,2001-01-21,-4.6,-10.4,804,3.3,1515,,,,,6.3,230,1124,4.4,200,1520,1.1,950,360,-8.2,45,1626,78.5,3.3,982.6,1025.3,2220,1021.0,0,1023.4,10.0,7.9,,,,,,,,,,,,-13.0,,,,,,,,,,,,,,
271,봉화,2001-01-22,-4.5,-9.1,127,5.3,1414,,,,,3.6,180,1444,2.6,180,1420,0.7,605,160,-8.1,36,1425,79.3,3.3,984.7,1027.9,2340,1022.2,1420,1025.6,10.1,2.2,,,,,,,,,,,,-11.2,,,,,,,,,,,,,,
271,봉화,2001-01-23,-5.3,-13.4,734,4.1,1516,,,,,5.9,50,1236,4.1,50,1240,1.2,1037,360,-11.0,27,1457,70.5,2.6,988.3,1032.9,2400,1026.3,1520,1029.4,10.1,8.6,,,,,,,,,,,,-15.5,,,,,,,,,,,,,,
271,봉화,2001-01-24,-4.4,-13.2,636,4.1,1427,,,,,3.1,340,225,1.9,340,30,0.5,432,360,-7.8,46,1456,79.3,3.5,988.4,1033.9,730,1024.5,2400,1029.4,10.1,1.2,,,,,,,,,,,,-15.3,,,,,,,,,,,,,,
271,봉화,2001-01-25,-0.6,-7.9,706,6.1,1305,,,,,11.3,50,2228,6.1,50,1150,1.6,1382,360,-6.2,37,1656,69.0,3.9,981.1,1024.6,120,1018.0,1310,1021.2,10.2,3.2,,,,,,,,,,,,-9.8,,,,,,,,,,,,,,
271,봉화,2001-01-26,0.0,-0.4,1710,0.7,334,,,,,11.9,360,246,8.4,340,1120,3.1,2678,20,-6.2,56,306,62.4,3.8,979.5,1022.3,1050,1016.4,2330,1019.4,10.2,0.0,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,
271,봉화,2001-01-27,0.0,-1.6,346,2.7,1647,,,,0.5,6.8,200,1814,4.1,200,1730,1.4,1210,230,-3.5,62,1715,77.1,4.7,975.9,1017.8,1950,1013.8,1520,1015.7,10.2,1.1,,,,,,,,,,,,-3.9,,,,,,,,,,,,0.8,,
271,봉화,2001-01-28,-2.5,-7.4,2356,0.9,1337,,,,0.3,12.2,270,1154,8.5,290,1310,2.5,2160,290,-9.9,36,1607,58.6,3.0,977.0,1023.4,2350,1013.0,1350,1017.2,10.2,4.0,,,,0.6,800,0.6,800,0.6,,,,-9.8,,,,,,,,,,,,,,
271,봉화,2001-01-29,-4.9,-13.7,733,1.3,1528,,,,3.5,11.0,290,1403,5.8,270,1150,1.9,1642,180,-9.9,41,1442,70.5,3.0,982.3,1026.4,810,1019.8,1540,1023.1,10.3,7.9,,,,6.6,2340,6.6,2340,6.6,,,,-15.4,,,,,,,,,,,,3.5,,
271,봉화,2001-01-30,-6.3,-14.5,741,2.7,1325,,,,,8.6,270,1134,5.3,320,1510,1.2,1037,360,-10.2,45,1407,77.0,2.8,983.0,1025.9,2300,1021.5,1400,1024.0,10.3,8.5,,,,,,6.6,0,,,,,-16.4,,,,,,,,,,,,,,
271,봉화,2001-01-31,-4.4,-11.0,144,1.1,1636,,,,1.2,4.6,200,1256,3.0,200,1320,0.9,778,340,-6.7,63,1657,85.0,3.8,978.6,1025.8,0,1013.0,2400,1019.1,10.3,1.0,,,,2.8,2400,2.8,2400,2.8,,,,-12.7,,,,,,,,,,,,1.2,,
