지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
159,부산,2001-01-01,2.3,-2.9,531,7.9,1343,,,,,15.1,340,616,9.8,340,420,5.3,4579,360,-14.2,11,1324,29.8,2.2,1007.5,1019.1,1000,1013.7,2334,1016.1,9.8,6.9,1200,1.81,10.27,,,,,,2.0,0.8,2.7,-4.9,3.4,3.6,5.3,5.8,7.3,11.2,13.6,17.4,18.5,,2.5,,{햇무리}1530-1635.,
159,부산,2001-01-02,5.7,2.4,2345,9.4,1333,,,,,18.5,320,1050,11.9,270,1100,6.0,5184,270,-5.9,23,1620,44.1,4.2,1006.7,1020.7,2355,1011.8,314,1015.2,9.8,5.2,1300,1.58,8.85,,,,,,3.4,0.9,4.8,-0.5,4.7,4.9,5.8,5.9,7.3,11.4,13.4,17.5,18.4,,3.1,,{연무}0730-{연무}{강도0}0900-{황사}1120-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-,
159,부산,2001-01-03,0.8,-2.0,853,4.6,1510,,,,,10.6,290,356,6.4,290,620,3.2,2765,290,-11.8,29,333,37.9,2.5,1013.6,1024.4,1005,1019.9,53,1022.3,9.9,6.1,1200,1.5,8.81,,,,,,2.6,0.8,1.3,-3.8,3.3,3.8,5.5,5.8,7.2,11.2,13.4,17.6,18.4,,2.3,,-{황사}-{황사}{강도0}0300-0320.,
159,부산,2001-01-04,-0.9,-3.8,736,3.4,1423,,,,,13.7,270,919,6.5,320,1410,3.2,2765,320,-15.0,17,1952,35.4,2.0,1016.8,1028.4,2130,1022.1,52,1025.6,9.9,7.7,1200,1.84,10.85,,,,,,0.0,0.0,0.0,-6.3,2.0,2.5,4.7,5.2,6.9,11.1,13.3,17.5,18.3,,2.3,,,
159,부산,2001-01-05,-0.4,-4.6,545,4.7,1445,,,,,13.8,50,2304,6.3,20,2310,2.7,2333,360,-15.5,20,910,30.6,1.9,1022.4,1033.6,2155,1028.3,0,1031.3,9.9,6.9,1200,1.71,9.79,,,,,,0.0,0.0,-0.8,-8.3,1.0,1.4,3.9,4.6,6.5,11.0,13.1,17.4,18.3,,2.3,,,
159,부산,2001-01-06,3.3,-2.6,643,8.3,1347,,,,,11.6,90,2330,6.5,320,350,3.8,3283,70,-7.0,15,1050,48.4,4.0,1023.0,1034.0,743,1028.2,2359,1031.7,9.9,5.9,1200,1.8,9.35,,,,,,4.8,3.6,2.2,-7.7,2.8,2.6,3.8,4.3,6.2,10.9,13.1,17.3,18.4,,1.2,19.1,,
159,부산,2001-01-07,7.0,5.3,129,8.7,2003,,,,30.6,18.0,110,735,11.1,110,710,6.2,5357,70,6.3,66,39,94.4,9.6,1006.5,1028.4,17,1008.2,1703,1015.0,9.9,0.0,1300,0.25,1.27,,,,,,10.0,7.9,5.8,3.4,5.3,5.2,5.4,5.3,6.4,10.0,13.1,17.4,18.0,,0.6,11.5,{비}0045-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1540.  {비}2025-{비}{강도0}2100-2220.,
159,부산,2001-01-08,7.7,5.5,2201,11.9,1340,,,,0.0,14.6,50,924,8.7,50,1040,5.3,4579,50,3.2,55,1343,73.0,7.7,1012.0,1023.5,1909,1013.3,0,1020.5,9.9,5.8,1200,1.81,9.25,,,,,,6.4,1.8,7.2,3.0,6.7,6.7,6.6,6.2,6.4,10.5,12.7,17.1,18.0,,1.9,0.5,{비}2345-{비}{강도0}2400-,
159,부산,2001-01-09,7.1,4.0,2400,9.1,1500,,,,7.2,12.4,270,2259,8.3,360,1630,3.9,3370,70,5.4,71,2355,88.8,9.2,1005.7,1022.3,0,1009.0,1456,1014.1,9.9,0.0,1200,0.23,1.28,,,,,,8.5,6.1,6.1,1.4,6.2,6.2,6.7,6.7,7.0,10.5,12.6,17.0,18.1,,0.3,6.7,-{비}-0015. {비}0305-0520. {비}0820-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1710.,
159,부산,2001-01-10,2.8,0.1,725,7.8,1539,,,,,14.0,50,1119,8.1,360,1120,3.4,2938,360,-12.9,16,1434,30.8,2.3,1007.3,1018.2,800,1013.5,0,1015.9,10.0,7.5,1200,2.0,11.63,,,,,,2.8,0.5,1.4,-2.7,3.2,4.0,5.9,6.3,7.2,10.5,12.6,17.0,18.3,,3.2,,{달무리}0030-0430.,
