지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
90,속초,2001-01-01,-1.6,-6.1,324,2.1,1309,,,,,11.3,290,2307,6.8,290,1440,3.0,2592,290,-14.3,14,1412,37.4,2.1,1012.0,1019.1,310,1008.7,2223,1014.2,9.6,4.6,,,,,,,,,4.5,2.3,-2.5,-8.8,,,,,,,,,,,,0.0,,
90,속초,2001-01-02,-2.2,-6.6,2358,1.3,210,,,,0.0,21.0,320,1412,10.4,290,1240,6.3,5443,290,-18.0,18,1221,28.6,1.6,1010.9,1017.0,2400,1008.3,52,1013.1,9.6,2.6,,,,,,,,,2.6,1.6,-2.1,-7.8,,,,,,,,,,,,,{눈}0805-0835. {황사}0910-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-,
90,속초,2001-01-03,-6.3,-8.8,315,-3.1,1414,,,,,18.4,290,1310,9.6,290,1350,7.2,6221,290,-26.0,13,1214,18.9,0.8,1016.9,1020.5,800,1017.0,0,1019.1,9.6,8.5,,,,,,,,,0.0,0.0,-6.7,-11.2,,,,,,,,,,,,,-{황사}-0045.,
90,속초,2001-01-04,-5.6,-9.4,532,-1.3,1515,,,,,16.6,290,221,7.9,290,230,2.9,2506,290,-26.7,11,1306,16.6,0.7,1021.8,1026.9,2329,1019.6,111,1024.0,9.6,7.7,,,,,,,,,0.0,0.0,-6.2,-14.0,,,,,,,,,,,,,,
90,속초,2001-01-05,-3.2,-7.6,127,0.7,1441,,,,,13.0,320,1209,7.2,320,700,4.1,3542,320,-21.2,18,247,22.8,1.2,1027.4,1032.8,2339,1026.7,40,1029.6,9.6,6.7,,,,,,,,,0.0,0.0,-5.2,-13.2,,,,,,,,,,,,,,
90,속초,2001-01-06,-2.4,-7.4,434,1.4,1521,,,,,4.2,110,1310,2.8,110,1310,1.9,1642,290,-14.2,18,939,41.0,2.2,1031.6,1035.8,1031,1032.3,2400,1033.8,9.6,6.9,,,,,,,,,3.3,0.9,-4.2,-12.1,,,,,,,,,,,,1.7,,
90,속초,2001-01-07,0.8,-0.8,0,2.2,641,,,,25.0,13.9,110,1154,9.9,110,1200,6.0,5184,110,-0.9,62,0,87.8,5.8,1021.8,1032.3,0,1019.8,1707,1023.9,9.6,0.0,,,,2.9,2400,2.9,2400,3.0,10.0,6.6,-0.4,-1.5,,,,,,,,,,,,23.5,{눈}0338-{눈}{강도0}0600-{진눈깨비}0850-{진눈깨비}{강도0}0900-{진눈깨비}{강도0}1200-{눈}1450-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400- {박무}0320-{박무}{강도1}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도1}1500-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도1}2400-,
90,속초,2001-01-08,1.2,0.0,1707,3.2,1228,,,,0.6,9.0,50,17,5.5,20,120,3.0,2592,20,-1.3,61,1211,82.5,5.5,1023.7,1027.4,1531,1022.1,0,1025.9,9.7,0.0,,,,0.4,1800,2.9,0,0.4,9.8,6.1,0.1,-0.4,,,,,,,,,,,,0.4,-{눈}-0125. {눈}1449-{눈}{강도0}1500-1540.{눈}1625-{눈}{강도0}1800-1925. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1230.{박무}1620-{박무}{강도1}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
90,속초,2001-01-09,1.2,0.0,148,3.5,1931,,,,2.3,8.3,360,1338,5.7,360,1340,2.3,1987,290,-2.2,43,2345,79.6,5.3,1013.4,1026.4,0,1010.5,1755,1015.5,9.7,0.0,,,,,,2.1,0,,8.0,5.1,-0.4,-3.3,,,,,,,,,,,,2.3,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-1920.   {비}1135-{비}{강도0}1200-{비}{강도0}1500-1715.,
90,속초,2001-01-10,-1.0,-4.4,811,2.3,1353,,,,,10.2,290,616,5.6,290,630,3.1,2678,290,-15.8,16,1145,31.8,1.8,1012.3,1018.7,950,1008.6,2345,1014.5,9.7,7.0,,,,,,,,,0.6,0.6,-2.5,-7.6,,,,,,,,,,,,,,
90,속초,2001-01-11,-4.3,-8.7,2319,0.8,0,,,,,16.2,290,939,8.5,290,950,4.4,3802,320,-20.8,16,2139,26.6,1.3,1011.7,1018.6,2357,1007.3,117,1013.9,9.7,5.9,,,,,,,,,0.1,0.1,-3.3,-11.8,,,,,,,,,,,,,,
90,속초,2001-01-12,-7.4,-11.0,716,-3.9,1502,,,,,11.3,340,1048,6.0,320,1100,3.6,3110,290,-25.9,13,1116,21.1,0.8,1017.9,1022.3,1129,1018.1,28,1020.1,9.7,5.9,,,,,,,,,1.6,0.9,-5.5,-12.9,,,,,,,,,,,,,,
90,속초,2001-01-13,-6.9,-11.5,2345,-2.2,1245,,,,,11.3,290,1341,6.3,290,40,3.9,3370,290,-21.6,18,2028,29.9,1.1,1015.8,1020.8,125,1016.0,1350,1018.0,9.7,6.5,,,,,,,,,2.1,1.9,-5.4,-13.6,,,,,,,,,,,,,,
90,속초,2001-01-14,-10.7,-13.8,548,-5.9,1204,,,,,17.0,250,1356,6.8,270,1350,3.0,2592,290,-25.7,16,1723,27.8,0.8,1017.0,1021.1,2345,1017.4,1350,1019.3,9.8,8.5,,,,,,,,,0.1,0.1,-8.2,-16.9,,,,,,,,,,,,,,
90,속초,2001-01-15,-11.8,-14.6,312,-7.2,1556,,,,,9.0,290,1212,5.6,290,1310,3.1,2678,290,-26.3,17,1452,28.5,0.7,1021.6,1025.5,2139,1020.9,108,1023.9,9.8,8.2,,,,,,,,,0.1,0.1,-9.3,-17.5,,,,,,,,,,,,,,
