지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
114,원주,2001-01-01,-6.1,-12.5,751,-0.9,1427,,,,0.1,4.8,160,1945,2.6,160,1900,1.0,864,20,-12.7,33,1733,61.5,2.3,998.9,1023.5,427,1012.2,2138,1018.0,9.6,5.0,1100,1.67,8.84,0.3,2330,0.3,2330,0.3,4.8,1.5,-3.9,-12.6,,,,,,,,,,,,0.1,-{박무}-{박무}{강도0}0300-0340.  {박무}2130-{박무}{강도0}2400-  {눈}2018-{눈}{강도0}2100-{싸락눈}2220-{눈}2325-2340.,
114,원주,2001-01-02,-3.9,-8.5,2359,-0.8,1318,,,,0.0,10.6,250,1343,4.6,290,1550,2.2,1901,290,-11.0,35,1338,60.3,2.8,999.1,1023.9,2354,1012.7,30,1018.1,9.7,0.0,1300,1.08,5.45,0.2,855,0.5,855,0.2,7.3,4.8,-2.8,-9.2,,,,,,,,,,,,0.0,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1045.  {눈}0140-0215.  {눈}0712-{눈}{강도0}0900-0923.  {황사}0920-{황사}{강도0}1200-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-2245.,
114,원주,2001-01-03,-8.2,-12.8,723,-3.3,1532,,,,,8.6,270,1658,3.5,270,1700,2.2,1901,250,-18.3,26,1146,44.3,1.5,1005.4,1026.4,611,1022.4,1444,1024.8,9.7,6.7,1200,1.7,9.39,,,,,,1.6,0.9,-7.1,-13.7,,,,,,,,,,,,,,
114,원주,2001-01-04,-9.4,-13.5,638,-4.5,1541,,,,,5.2,290,1402,2.3,270,1410,1.4,1210,250,-21.6,19,1543,37.6,1.1,1010.2,1032.4,2332,1025.4,0,1029.8,9.7,7.7,1200,1.79,9.95,,,,,,0.0,0.0,-8.4,-15.4,,,,,,,,,,,,,,
114,원주,2001-01-05,-9.1,-15.2,733,-1.8,1519,,,,,4.4,290,1547,1.8,270,1550,0.7,605,270,-16.1,28,1239,59.1,1.8,1014.8,1035.8,939,1032.3,0,1034.5,9.7,7.6,1200,1.65,9.34,,,,,,0.4,0.3,-7.8,-15.5,,,,,,,,,,,,,,
114,원주,2001-01-06,-5.0,-13.6,742,1.4,1426,,,,,2.0,340,1211,1.0,290,1300,0.4,346,290,-14.3,24,1324,52.3,2.1,1014.4,1037.4,645,1030.0,2328,1033.8,9.7,6.3,1100,1.78,9.52,,,,,,4.6,1.3,-4.6,-15.5,,,,,,,,,,,,4.2,{햇무리}1430-1620.,
114,원주,2001-01-07,0.4,-2.2,122,2.0,448,,,,20.0,10.4,20,1352,3.7,20,1720,1.5,1296,20,-2.1,37,2,83.9,5.3,999.9,1030.0,0,1012.6,1508,1018.6,9.7,0.0,1400,0.31,1.1,8.0,2305,8.0,2305,10.9,10.0,7.0,-0.5,-4.5,,,,,,,,,,,,15.8,{눈}0548-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도0}1500-{눈}{강도1}1800-{눈}{강도0}2100-2345.,
114,원주,2001-01-08,0.7,-2.9,724,6.8,1429,,,,0.0,5.5,360,25,2.1,20,1520,1.0,864,20,-3.0,52,1430,76.4,4.9,1005.0,1025.2,944,1018.1,0,1023.8,9.7,6.1,1100,1.78,9.52,,,7.8,0,,5.5,3.5,1.1,-4.1,,,,,,,,,,,,0.0,{눈}0040-0056.  {달무리}2240-,
114,원주,2001-01-09,0.8,-3.4,2357,4.5,929,,,,6.7,8.0,160,817,4.1,160,810,1.8,1555,250,-2.4,61,558,79.4,5.2,998.3,1024.6,31,1012.3,1447,1016.9,9.8,0.0,1300,0.24,1.3,3.0,1450,7.1,1450,3.1,9.4,6.6,-0.4,-4.2,,,,,,,,,,,,6.7,-{달무리}-0210.  {비}0840-{비}{강도0}0900-{눈}1056-{눈}{강도0}1200-{눈}{강도0}1500-{진눈깨비}1535-{비}1615-1635.  {비}1715-1745.  {박무}1635-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
114,원주,2001-01-10,-5.7,-9.9,757,-0.5,1422,,,,,4.8,290,1604,2.4,290,1610,1.3,1123,290,-11.3,32,1337,65.3,2.5,999.4,1022.3,918,1013.6,2356,1018.6,9.8,8.0,1200,1.93,10.8,,,6.9,0,,1.8,1.1,-3.4,-11.4,,,,,,,,,,,,0.8,-{박무}-0030.,
