지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
248,장수,2001-01-01,-4.1,-12.7,619,3.6,1321,,,,,8.6,200,1958,5.2,230,1830,1.4,1210,200,-11.2,21,1257,63.5,2.7,967.9,1024.1,240,1014.3,1440,1018.7,9.8,7.2,,,,,,,,,,,,-16.3,,,,,,,,,,,,1.2,,
248,장수,2001-01-02,-0.9,-4.6,2211,1.9,314,,,,1.4,11.5,340,1743,8.8,360,1340,3.1,2678,290,-6.4,53,1604,66.0,3.8,968.7,1024.2,2350,1013.6,110,1018.9,9.8,2.1,,,,1.1,935,1.1,935,1.2,,,,-8.2,,,,,,,,,,,,0.2,,
248,장수,2001-01-03,-6.4,-10.3,758,-1.8,1353,,,,0.5,9.5,340,1212,7.2,340,410,1.6,1382,360,-9.9,51,1353,76.6,2.8,973.6,1027.5,740,1022.3,1440,1025.1,9.8,4.5,,,,1.8,2400,1.8,2400,1.8,,,,-11.5,,,,,,,,,,,,1.0,,
248,장수,2001-01-04,-8.3,-12.6,2353,-3.8,1448,,,,0.5,9.4,340,1234,7.3,360,1430,2.2,1901,20,-13.1,35,1524,69.9,2.2,977.8,1033.4,2340,1025.5,0,1030.0,9.8,7.7,,,,2.1,620,3.9,620,2.1,,,,-14.5,,,,,,,,,,,,,,
248,장수,2001-01-05,-8.6,-15.2,746,-0.9,1437,,,,,8.6,360,1207,6.5,20,1230,1.4,1210,360,-13.1,41,1458,73.5,2.2,982.4,1037.3,2350,1032.5,1420,1034.9,9.8,8.5,,,,,,,,,,,,-17.3,,,,,,,,,,,,,,
248,장수,2001-01-06,-3.7,-13.2,615,4.4,1436,,,,,4.2,230,1517,3.7,200,1510,0.6,518,230,-11.6,24,1349,60.3,2.5,981.6,1038.4,200,1028.0,2400,1033.1,9.9,5.2,,,,,,,,,,,,-16.4,,,,,,,,,,,,15.9,,
248,장수,2001-01-07,1.4,-0.5,227,4.6,1601,,,,23.5,12.4,50,451,8.8,50,410,2.5,2160,340,-0.7,57,2,85.8,5.8,965.8,1028.0,0,1009.7,1600,1015.4,9.9,0.0,,,,8.2,750,8.2,750,8.8,,,,-1.0,,,,,,,,,,,,8.1,,
248,장수,2001-01-08,0.6,-2.0,2350,7.9,1551,,,,0.5,4.7,340,350,3.7,340,340,1.0,864,200,-1.6,51,1544,86.0,5.4,972.3,1024.8,1010,1016.4,0,1022.4,9.9,4.6,,,,,,4.0,0,,,,,-5.6,,,,,,,,,,,,1.0,,
248,장수,2001-01-09,0.4,-3.5,2358,4.3,1302,,,,5.0,9.9,340,1713,6.8,340,2300,1.9,1642,360,-2.2,67,2257,82.4,5.2,967.7,1023.7,200,1012.3,1350,1017.6,9.9,0.0,,,,,,3.0,0,,,,,-5.3,,,,,,,,,,,,4.0,,
248,장수,2001-01-10,-5.0,-9.6,759,1.1,1611,,,,,7.0,340,20,5.1,340,20,1.6,1382,340,-11.3,29,1602,64.3,2.6,968.4,1022.5,740,1016.2,1610,1019.4,9.9,8.5,,,,,,2.0,0,,,,,-12.7,,,,,,,,,,,,0.9,,
