지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
260,장흥,2001-01-01,0.2,-5.9,710,6.5,1520,,,,,7.1,340,520,4.2,340,540,1.8,1555,360,-8.4,34,1550,52.8,3.2,1013.0,1022.5,300,1015.4,2340,1018.4,9.9,7.9,,,,,,,,,,,,-9.7,,,,,,,,,,,,,,
260,장흥,2001-01-02,3.4,-2.4,230,7.0,1158,,,,,16.7,290,1330,12.7,320,1500,5.5,4752,320,-6.4,37,1240,48.8,3.8,1013.6,1023.5,2400,1014.6,210,1019.0,9.9,6.2,,,,,,,,,,,,-6.5,,,,,,,,,,,,,,
260,장흥,2001-01-03,0.5,-2.8,810,3.5,1210,,,,,9.9,320,1340,7.6,340,10,2.8,2419,340,-7.5,44,10,54.8,3.5,1019.0,1026.3,920,1022.9,1630,1024.4,9.9,7.2,,,,,,,,,,,,-6.5,,,,,,,,,,,,,,
260,장흥,2001-01-04,-1.7,-5.0,2340,1.3,1430,,,,,13.2,290,356,7.8,320,1350,3.8,3283,320,-10.2,42,1620,52.0,2.8,1022.9,1031.2,2230,1024.6,100,1028.5,9.9,8.2,,,,,,,,,,,,-9.9,,,,,,,,,,,,,,
260,장흥,2001-01-05,-2.5,-7.7,520,3.7,1451,,,,,10.6,340,1520,7.6,320,1420,2.5,2160,340,-11.8,34,1530,49.9,2.5,1027.7,1035.1,2150,1030.9,30,1033.3,9.9,8.0,,,,,,,,,,,,-11.7,,,,,,,,,,,,,,
260,장흥,2001-01-06,0.4,-7.9,210,6.7,1250,,,,,11.5,110,2120,9.1,110,2210,2.6,2246,90,-9.4,21,1650,50.9,3.0,1025.4,1035.2,20,1025.3,2400,1030.9,9.9,5.3,,,,,,,,,,,,-13.2,,,,,,,,,,,,12.0,,
260,장흥,2001-01-07,5.4,1.3,0,7.5,1530,,,,13.0,16.9,90,1410,12.1,90,430,4.5,3888,110,0.2,64,2210,68.9,6.2,1008.4,1025.3,0,1008.8,1520,1013.8,9.9,0.0,,,,,,,,,,,,-0.2,,,,,,,,,,,,1.0,,
260,장흥,2001-01-08,6.8,3.6,710,11.3,1240,,,,,9.9,110,2356,7.1,110,2140,2.8,2419,140,-0.4,51,1440,60.4,5.9,1015.5,1022.5,920,1015.7,50,1020.8,10.0,6.5,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,,
260,장흥,2001-01-09,4.9,0.6,2358,7.7,757,,,,4.5,15.8,340,1710,10.9,340,1630,4.3,3715,360,-1.6,51,2330,62.8,5.5,1011.3,1021.0,0,1011.9,1330,1016.6,10.0,0.0,,,,,,,,,,,,-2.2,,,,,,,,,,,,4.0,,
260,장흥,2001-01-10,-0.1,-3.9,2400,4.4,1520,,,,,11.1,320,140,7.3,340,120,3.1,2678,360,-9.4,29,1610,50.3,3.0,1013.6,1021.7,950,1016.7,1640,1019.0,10.0,9.1,,,,,,,,,,,,-7.3,,,,,,,,,,,,,,
260,장흥,2001-01-11,0.1,-4.9,40,6.3,1330,,,,,8.3,340,1330,6.3,290,1340,1.9,1642,340,-8.8,25,1554,53.4,3.2,1012.6,1022.5,2400,1015.1,520,1018.0,10.0,7.2,,,,,,,,,,,,-9.5,,,,,,,,,,,,,,
260,장흥,2001-01-12,-1.5,-4.5,720,2.3,1320,,,,,10.9,340,1410,6.1,340,1110,2.2,1901,360,-9.8,44,1455,53.0,2.9,1017.9,1025.7,1020,1021.0,2210,1023.4,10.0,6.3,,,,,,,,,,,,-7.6,,,,,,,,,,,,2.3,,
260,장흥,2001-01-13,-1.6,-4.7,2120,2.6,1350,,,,2.3,11.3,340,1840,8.0,340,1850,2.8,2419,340,-8.0,49,250,61.8,3.4,1014.1,1022.8,2340,1016.9,730,1019.6,10.0,3.5,,,,4.4,910,4.4,910,4.4,,,,-8.2,,,,,,,,,,,,,,
260,장흥,2001-01-14,-6.2,-9.4,458,-2.8,1140,,,,1.0,17.6,340,1920,11.7,290,1900,4.1,3542,360,-12.8,44,1859,59.6,2.3,1019.2,1027.1,2330,1022.4,1640,1024.8,10.1,6.5,,,,1.5,1950,1.5,1950,1.5,,,,-11.9,,,,,,,,,,,,1.3,,
260,장흥,2001-01-15,-7.3,-10.6,2330,-3.0,1320,,,,0.3,13.2,340,1540,9.5,340,1510,3.1,2678,360,-13.6,47,1720,60.9,2.1,1023.5,1030.9,2350,1026.9,0,1029.2,10.1,9.1,,,,0.4,630,1.7,700,0.4,,,,-13.5,,,,,,,,,,,,0.1,,
260,장흥,2001-01-16,-7.1,-11.9,330,-0.9,1430,,,,0.1,10.7,340,1530,9.0,340,1525,2.1,1814,340,-13.0,45,1740,63.1,2.2,1025.4,1032.2,1000,1029.7,1410,1031.1,10.1,8.8,,,,0.1,300,0.1,300,0.1,,,,-14.9,,,,,,,,,,,,,,
260,장흥,2001-01-17,-3.9,-11.2,130,3.6,1540,,,,,6.1,340,1140,5.1,340,1220,1.4,1210,360,-10.8,30,1610,60.5,2.7,1025.2,1032.7,850,1028.9,1640,1030.8,10.1,8.8,,,,,,,,,,,,-14.4,,,,,,,,,,,,,,
260,장흥,2001-01-18,-1.4,-9.1,520,9.8,1350,,,,,7.2,320,1540,6.4,340,1550,0.9,778,290,-7.4,40,1409,65.0,3.6,1024.0,1030.9,2400,1027.1,1400,1029.6,10.1,6.9,,,,,,,,,,,,-11.3,,,,,,,,,,,,,,
260,장흥,2001-01-19,0.4,-5.8,520,4.5,1410,,,,1.0,4.2,290,1140,2.8,90,550,0.6,518,250,-4.1,57,1552,71.8,4.6,1021.6,1031.4,110,1021.6,2400,1027.1,10.2,0.0,,,,,,,,,,,,-7.6,,,,,,,,,,,,17.0,,
260,장흥,2001-01-20,4.7,0.3,2330,9.6,1320,,,,16.0,10.5,340,1550,8.0,340,1620,2.2,1901,360,-0.6,52,1620,68.8,5.9,1012.7,1021.8,2400,1015.4,600,1018.1,10.2,1.6,,,,,,,,,,,,-1.6,,,,,,,,,,,,,,
260,장흥,2001-01-21,2.0,-1.1,740,7.5,1510,,,,,11.7,340,1310,8.9,340,1330,2.5,2160,360,-4.9,42,1120,60.6,4.2,1017.5,1024.7,1010,1021.4,1540,1022.9,10.2,8.9,,,,,,,,,,,,-3.7,,,,,,,,,,,,,,
260,장흥,2001-01-22,2.0,-3.5,2400,8.5,1552,,,,,5.3,50,810,4.6,20,808,1.2,1037,20,-5.8,27,1650,57.4,4.0,1017.6,1025.4,2340,1021.0,1400,1023.1,10.2,1.0,,,,,,,,,,,,-4.9,,,,,,,,,,,,,,
260,장흥,2001-01-23,1.9,-4.3,450,7.9,1440,,,,,8.0,340,1252,5.8,320,1240,2.0,1728,360,-10.4,20,1520,42.6,2.8,1021.5,1028.8,1010,1025.1,340,1027.0,10.3,7.9,,,,,,,,,,,,-10.5,,,,,,,,,,,,,,
260,장흥,2001-01-24,4.5,-3.5,110,7.0,1450,,,,,11.6,110,1310,8.1,110,1030,3.1,2678,110,-4.0,44,340,53.5,4.6,1019.4,1028.5,730,1020.5,2400,1024.8,10.3,0.0,,,,,,,,,,,,-7.6,,,,,,,,,,,,,,
260,장흥,2001-01-25,5.1,0.3,2320,8.9,1340,,,,,7.1,50,510,5.5,50,950,2.0,1728,20,-2.9,44,1620,56.9,4.9,1011.4,1020.7,40,1013.9,1610,1016.8,10.3,0.3,,,,,,,,,,,,-2.3,,,,,,,,,,,,,,
260,장흥,2001-01-26,5.2,0.8,140,7.7,1430,,,,,8.9,50,1053,7.5,90,1110,2.3,1987,90,-4.0,42,900,51.9,4.5,1009.5,1017.2,920,1012.1,1440,1014.9,10.3,0.0,,,,,,,,,,,,-1.2,,,,,,,,,,,,2.5,,
260,장흥,2001-01-27,3.1,1.3,540,6.6,1140,,,,2.5,13.1,320,1510,9.3,340,1210,3.0,2592,360,-3.0,52,1510,64.5,4.9,1012.2,1020.8,2030,1014.6,20,1017.6,10.4,4.1,,,,,,,,,,,,-0.9,,,,,,,,,,,,0.3,,
260,장흥,2001-01-28,0.1,-2.0,550,4.9,1150,,,,4.5,13.4,340,2110,9.3,340,1800,2.8,2419,340,-5.9,48,1759,64.3,4.0,1015.3,1025.7,2300,1016.6,1230,1020.7,10.4,1.4,,,,2.5,1030,2.5,1030,2.5,,,,-5.3,,,,,,,,,,,,4.2,,
260,장흥,2001-01-29,-0.7,-7.5,750,5.3,1520,,,,,8.5,270,1325,7.2,250,1320,1.4,1210,270,-6.6,47,1450,65.1,3.7,1019.3,1027.4,840,1022.8,1510,1024.8,10.4,6.0,,,,,,0.5,0,,,,,-11.2,,,,,,,,,,,,,,
260,장흥,2001-01-30,-0.1,-5.3,650,7.4,1320,,,,,8.9,340,1330,6.0,290,1210,1.2,1037,230,-6.6,38,1640,63.4,3.7,1018.3,1025.0,2120,1021.9,1530,1023.9,10.4,5.0,,,,,,,,,,,,-7.2,,,,,,,,,,,,,,
260,장흥,2001-01-31,0.2,-6.1,650,6.8,1350,,,,,4.7,320,2350,3.2,140,1530,0.8,691,140,-4.8,52,1350,69.4,4.3,1013.0,1023.9,0,1013.2,2330,1018.5,10.5,0.0,,,,,,,,,,,,-9.5,,,,,,,,,,,,,,
260,장흥,2001-02-01,0.0,-3.7,2355,5.8,30,,,,,17.7,340,1030,17.1,340,1550,5.2,4493,340,-11.0,32,1210,43.3,2.7,1014.1,1024.1,2250,1013.4,100,1019.6,10.5,6.7,,,,,,,,,,,,-6.1,,,,,,,,,,,,,,
260,장흥,2001-02-02,-1.8,-7.8,750,5.1,1458,,,,,7.3,340,1230,5.1,320,1510,2.2,1901,360,-13.0,20,1230,44.8,2.2,1019.6,1026.9,930,1023.3,1550,1025.2,10.5,9.9,,,,,,,,,,,,-13.1,,,,,,,,,,,,,,
260,장흥,2001-02-03,0.4,-7.9,620,9.0,1330,,,,,4.6,140,1650,3.8,140,1646,0.8,691,140,-7.2,31,1440,58.8,3.6,1020.9,1028.3,1020,1024.4,1520,1026.4,10.5,7.4,,,,,,,,,,,,-11.7,,,,,,,,,,,,,,
260,장흥,2001-02-04,3.3,-1.5,720,10.3,1250,,,,,7.0,140,1320,5.9,90,1340,1.1,950,110,-3.9,41,1150,60.3,4.6,1019.6,1027.2,310,1023.1,1640,1025.0,10.6,0.0,,,,,,,,,,,,-5.1,,,,,,,,,,,,,,
260,장흥,2001-02-05,4.9,-4.3,720,14.6,1440,,,,,8.6,50,1240,5.7,140,1450,1.2,1037,20,-3.3,32,1440,57.8,4.8,1015.9,1024.9,910,1017.9,1720,1021.3,10.6,8.0,,,,,,,,,,,,-8.5,,,,,,,,,,,,,,
260,장흥,2001-02-06,6.9,3.4,2355,13.8,1506,,,,,6.1,340,630,5.1,360,620,1.4,1210,270,-1.3,28,1615,56.1,5.6,1013.0,1019.6,840,1016.0,1514,1018.3,10.7,4.6,,,,,,,,,,,,2.4,,,,,,,,,,,,,,
260,장흥,2001-02-07,2.4,-2.5,2212,6.5,1219,,,,,12.3,320,1337,8.3,340,1400,4.5,3888,340,-7.0,34,1317,50.0,3.7,1015.3,1024.3,2400,1018.1,433,1020.7,10.7,6.4,,,,,,,,,,,,-3.2,,,,,,,,,,,,,,
260,장흥,2001-02-08,-0.9,-4.0,2400,3.4,1515,,,,,13.5,340,259,7.0,340,340,4.3,3715,360,-11.5,26,1704,45.1,2.5,1020.9,1028.6,2049,1021.8,1428,1026.4,10.7,9.6,,,,,,,,,,,,-6.5,,,,,,,,,,,,,,
260,장흥,2001-02-09,-1.7,-9.1,648,7.3,1321,,,,,9.0,290,1352,4.7,290,1420,1.0,864,270,-7.0,41,1324,68.1,3.7,1022.3,1029.9,631,1025.7,1400,1027.8,10.7,5.5,,,,,,,,,,,,-12.3,,,,,,,,,,,,,,
260,장흥,2001-02-10,0.1,-7.3,749,10.0,1423,,,,,5.2,180,1605,4.6,160,1553,0.2,173,250,-6.4,26,1410,65.8,3.8,1023.6,1030.8,2400,1026.8,1508,1029.1,10.8,9.0,,,,,,,,,,,,-11.8,,,,,,,,,,,,,,
260,장흥,2001-02-11,0.8,-7.6,650,7.3,1259,,,,,7.5,340,1512,4.8,340,1430,1.5,1296,340,-7.1,38,1119,58.1,3.6,1026.9,1033.6,2314,1030.6,338,1032.4,10.8,3.2,,,,,,,,,,,,-11.3,,,,,,,,,,,,,,
260,장흥,2001-02-12,1.8,-1.2,2337,4.9,1522,,,,,6.8,320,1403,4.3,340,1540,2.4,2074,340,-13.3,18,1535,32.0,2.2,1024.6,1033.3,20,1026.0,2348,1030.0,10.8,0.0,,,,,,,,,,,,-4.1,,,,,,,,,,,,,,
260,장흥,2001-02-13,0.5,-2.7,228,5.6,1445,,,,,11.5,340,1640,7.0,340,1620,3.8,3283,360,-14.2,17,1603,33.1,2.0,1018.5,1026.3,3,1020.4,1536,1023.9,10.9,5.3,,,,,,,,,,,,-8.8,,,,,,,,,,,,,,
260,장흥,2001-02-14,-0.6,-6.5,2310,5.3,1438,,,,,13.1,340,1455,6.8,360,1500,2.8,2419,360,-10.9,21,1451,49.4,2.7,1020.9,1028.0,2324,1024.9,1455,1026.4,10.9,9.2,,,,,,,,,,,,-12.5,,,,,,,,,,,,,,
260,장흥,2001-02-15,0.6,-9.6,726,9.8,1324,,,,1.5,14.6,340,1818,8.9,230,1320,3.0,2592,340,-5.0,38,1343,67.8,4.4,1018.3,1027.9,259,1018.4,1642,1023.8,10.9,5.3,,,,,,,,,,,,-14.1,,,,,,,,,,,,1.5,,
260,장흥,2001-02-16,-0.7,-5.5,2400,3.0,1516,,,,,14.6,340,1040,9.3,340,1330,5.4,4666,340,-8.2,38,1444,57.4,3.3,1024.7,1034.4,2043,1024.3,1,1030.3,11.0,9.9,,,,,,,,,,,,-12.3,,,,,,,,,,,,,,
