지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
155,창원,2001-01-01,1.5,-3.6,753,5.9,1411,,,,,9.0,340,408,5.0,340,410,2.5,2160,20,-14.7,13,1140,29.4,2.0,1016.6,1020.7,543,1014.0,2349,1017.1,9.8,7.1,,,,,,,,,2.8,0.4,-0.8,-6.3,,,,,,,,,,,,,,
155,창원,2001-01-02,5.3,2.2,2359,8.7,1255,,,,,16.1,320,1532,5.9,290,1430,2.9,2506,290,-8.5,22,1523,37.5,3.4,1015.6,1021.2,2355,1012.4,153,1016.1,9.8,5.2,,,,,,,,,3.3,0.8,2.3,-2.7,,,,,,,,,,,,,{박무}0820-{박무}{강도0}0900-{박무}{강도0}1200-1250.{황사}1610-{황사}{강도0}1800-{황사}{강도0}2100-2310.,
155,창원,2001-01-03,0.6,-3.4,822,4.5,1441,,,,,9.4,290,1204,4.8,360,610,2.4,2074,340,-12.7,24,150,36.6,2.3,1022.5,1025.1,935,1020.5,48,1023.0,9.8,6.5,,,,,,,,,2.3,0.9,-0.4,-6.1,,,,,,,,,,,,,,
155,창원,2001-01-04,-1.7,-4.3,718,1.7,1424,,,,,10.3,360,858,5.6,360,610,3.3,2851,360,-15.5,19,1921,35.8,1.9,1026.2,1029.3,2337,1023.0,102,1026.7,9.9,7.4,,,,,,,,,0.0,0.0,-3.1,-7.8,,,,,,,,,,,,,,
155,창원,2001-01-05,-0.8,-5.1,557,3.0,1443,,,,,9.6,360,1044,5.4,360,1110,2.9,2506,20,-16.3,18,955,29.9,1.8,1031.6,1034.4,2300,1029.2,0,1032.1,9.9,7.3,,,,,,,,,0.0,0.0,-2.3,-8.7,,,,,,,,,,,,,,
155,창원,2001-01-06,2.5,-2.7,625,6.3,1435,,,,,8.0,360,608,4.1,50,930,2.4,2074,20,-13.6,12,1316,31.3,2.3,1031.9,1035.1,1050,1029.0,2343,1032.5,9.9,6.9,,,,,,,,,5.5,2.4,1.2,-6.4,,,,,,,,,,,,15.2,,
155,창원,2001-01-07,5.5,2.4,349,7.9,1602,,,,25.1,8.1,340,303,3.9,340,640,2.7,2333,360,3.0,50,0,83.4,7.6,1015.4,1029.4,4,1009.4,1619,1015.9,9.9,0.0,,,,,,,,,9.8,6.8,3.6,0.0,,,,,,,,,,,,9.9,{비}0040-{진눈깨비}0110-{비}0140-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1720. {비}1850-{비}{강도0}2100-2120.,
155,창원,2001-01-08,7.6,5.5,14,11.4,1412,,,,,10.2,340,359,4.7,340,330,2.6,2246,340,0.6,51,1415,60.9,6.4,1020.5,1023.7,2220,1014.2,3,1021.0,9.9,4.7,,,,,,,,,6.1,4.0,5.4,2.1,,,,,,,,,,,,1.0,,
155,창원,2001-01-09,5.7,4.3,2356,9.0,1741,,,,4.8,11.4,340,2248,5.0,320,1800,2.0,1728,50,1.3,54,2317,73.1,6.8,1014.7,1022.9,0,1009.9,1515,1015.2,9.9,0.0,,,,,,,,,8.5,4.8,4.3,1.2,,,,,,,,,,,,3.8,{비}0245-0255. {비}0355-{비}{강도0}0600-0610. {비}0805-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1645.,
155,창원,2001-01-10,1.5,-1.1,747,4.5,1503,,,,,11.1,360,1020,5.5,340,1030,2.9,2506,360,-14.4,13,1433,31.6,2.1,1016.7,1020.0,928,1014.7,0,1017.2,9.9,7.1,,,,,,,,,2.4,0.0,-0.8,-6.1,,,,,,,,,,,,,{달무리}0120-{달무리}{강도0}0300-0420.,
155,창원,2001-01-11,1.4,-1.7,2400,6.1,1429,,,,0.0,10.2,340,940,4.9,340,1050,2.7,2333,340,-11.9,14,1438,39.3,2.6,1016.0,1020.9,2351,1013.8,539,1016.5,10.0,6.4,,,,,,,,,1.0,0.0,-1.0,-6.0,,,,,,,,,,,,0.0,{눈}0940-1035.,
155,창원,2001-01-12,-1.9,-5.4,748,1.4,1345,,,,,8.4,340,354,5.3,360,1430,2.8,2419,360,-14.0,28,2339,38.8,2.1,1021.9,1024.7,1106,1020.7,2137,1022.4,10.0,7.6,,,,,,,,,2.1,0.0,-3.0,-7.1,,,,,,,,,,,,13.8,,
155,창원,2001-01-13,-2.0,-5.2,820,2.6,1457,,,,20.2,11.7,360,2312,4.2,360,1650,2.3,1987,360,-10.3,26,316,55.6,3.0,1018.3,1021.6,58,1016.2,1401,1018.8,10.0,2.8,,,,21.8,1130,21.8,1130,21.8,5.5,4.5,-1.6,-5.7,,,,,,,,,,,,6.4,{눈}0610-{눈}{강도1}0900-{눈}{강도0}1200-1355.,
