지점 번호,지점명,시간,평균 기온,최저 기온,최저 기온 시각,최고 기온,최대 기온 시각,10분 최다강수량 시각,1시간 최다강수량,1시간 최다 강수량 시각,일강수량,최대 순간풍속,최대 순간 풍속 풍향,최대 순간풍속 시각,최대 풍속,최대 풍속 풍향,최대 풍속 시각,평균 풍속,풍정합,최대 풍향,평균 이슬점온도,최소 상대습도,평균 상대습도 시각,평균 상대습도,평균 증기압,평균 현지기압,최고 해면 기압,최고 해면기압 시각,최저 해면기압,최저 해면기압 시각,평균 해면기압,가조시간,합계 일조 시간,1시간 최다 일사량 시각,1시간 최다 일사량,합계 일사,일 최심신적설,일 최심신적설 시각,일 최심적설,일 최심적설 시각,합계 3시간 신적설,평균 전운량,평균 중하층운량,평균 지면온도,최저 초상온도,평균 5cm 지중온도,평균10cm 지중온도,평균 20cm 지중온도,평균 30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,합계 대형증발량,합계 소형증발량,9-9강수,일기현상,안개 계속 시간
264,함양군,2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,,,,,,,,,28.2,27.5,26.7,25.4,,,,,,,,,,
264,함양군,2010-06-22,,20.6,2338,29.1,1737,,,,,4.0,270,1829,2.5,270,1837,0.6,494,,,40,1743,,,,1007.3,2338,1004.2,1736,,14.6,10.9,1200,3.37,26.6,,,,,,,,29.0,11.9,27.5,26.9,26.4,25.5,,,,,,,,,,
264,함양군,2010-06-23,23.0,17.1,540,30.4,1442,,,,,6.8,320,1313,4.0,320,1551,0.9,803,290,14.7,23,1234,65.0,16.9,990.5,1010.5,2355,1005.2,1705,1007.7,14.6,7.4,1100,3.0,21.13,,,,,,,,27.1,15.4,26.6,26.6,26.4,25.6,,,,,,,,,,
264,함양군,2010-06-24,22.7,14.7,525,31.1,1317,,,,,5.7,70,1309,3.2,180,1454,1.0,830,90,16.3,34,1206,72.1,18.6,991.9,1011.1,653,1006.6,1652,1009.1,14.6,9.6,1200,3.52,25.96,,,,,,,,28.8,13.4,27.1,26.5,26.1,25.4,,,,,,,,,,
264,함양군,2010-06-25,21.6,17.5,529,27.7,1302,2003,0.5,1913,0.5,5.0,50,1312,2.7,110,1430,0.9,768,110,17.5,51,1444,79.9,20.1,992.2,1010.9,731,1007.7,2347,1009.5,14.6,0.7,1200,1.97,10.69,,,,,,,,25.4,17.0,25.1,25.5,25.7,25.3,,,,,,,,,,
264,함양군,2010-06-26,21.3,19.1,356,23.0,1721,953,10.5,903,5.5,4.8,70,1929,2.9,50,1932,0.9,789,70,20.5,85,0,95.6,24.2,989.2,1008.1,753,1005.1,1518,1006.4,14.6,0.0,1200,0.49,3.71,,,,,,,,22.3,19.4,22.8,23.4,24.0,24.2,,,,,,,,,,
264,함양군,2010-06-27,23.3,20.1,2258,26.6,1210,610,0.5,520,0.5,8.0,290,1116,4.9,290,1150,1.4,1246,290,20.8,71,1218,86.9,24.6,990.5,1009.3,2355,1005.8,314,1007.6,14.6,0.3,1500,1.47,10.29,,,,,,,,24.1,19.4,24.3,24.0,24.0,23.7,,,,,,,,,,
264,함양군,2010-06-28,21.8,19.9,16,25.0,1641,409,6.5,349,9.0,3.4,70,1305,2.0,50,1243,0.5,438,110,20.8,80,1634,95.0,24.7,990.0,1009.5,14,1005.2,1712,1007.2,14.6,0.0,1500,1.34,6.96,,,,,,,,23.6,19.7,23.1,23.3,23.5,23.5,,,,,,,,,,
264,함양군,2010-06-29,24.9,20.6,22,31.2,1529,,,,,5.2,90,1532,2.9,90,1539,0.7,622,70,21.5,54,1331,83.1,25.6,989.3,1008.3,610,1004.1,1732,1006.3,14.6,9.8,1200,3.21,25.39,,,,,,,,28.2,20.1,27.0,26.0,25.0,23.9,,,,,,,,,,
264,함양군,2010-06-30,25.8,21.6,59,31.4,1555,,,,,5.6,250,1534,3.7,250,1121,1.0,858,270,21.1,50,1519,78.4,25.1,987.7,1006.7,7,1002.2,1757,1004.7,14.5,6.3,1200,3.3,21.7,,,,,,,,30.1,21.6,28.8,27.8,26.8,25.4,,,,,,,,,,
