지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4482500000,태안,0,3,1,6,0,0,0,0,마늘,PA120101,한지형,,0,2007-01-01 00:00:00
4155000000,안성,0,2,0,6,0,-3,0,0,오이,PA280201,다다기계통,,0,2007-01-01 00:00:00
4155000000,안성,0,2,0,6,0,-3,0,0,배,PA160101,-,,0,2007-01-01 00:00:00
4155000000,안성,0,2,0,6,0,-3,0,0,대파,PA090301,가을대파,,0,2007-01-01 00:00:00
4155000000,안성,0,2,0,6,0,-3,0,0,대파,PA090201,여름대파,,0,2007-01-01 00:00:00
4122000000,평택,0,2,0,7,0,-3,0,0,오이,PA280201,다다기계통,,0,2007-01-01 00:00:00
4122000000,평택,0,2,0,7,0,-3,0,0,배,PA160101,-,,0,2007-01-01 00:00:00
4122000000,평택,0,2,0,7,0,-3,0,0,방울토마토,PA150101,-,,0,2007-01-01 00:00:00
4122000000,평택,0,2,0,7,0,-3,0,0,무,PA130401,가을,,0,2007-01-01 00:00:00
4122000000,평택,0,2,0,7,0,-3,0,0,무,PA130201,봄,,0,2007-01-01 00:00:00
4427000000,당진,0,1,0,5,0,-3,0,0,배추,PA170401,가을,,0,2007-01-01 00:00:00
4427000000,당진,0,1,0,5,0,-3,0,0,풋고추,PA350201,꽈리고추,,0,2007-01-01 00:00:00
4471000000,금산,74,0,0,7,38,-5,0,2,깻잎,PA050101,-,,0,2007-01-01 00:00:00
4482500000,태안,0,3,1,6,0,0,0,0,건고추,PA030101,-,,0,2007-01-01 00:00:00
4482500000,태안,0,3,1,6,0,0,0,0,땅콩,PA110101,-,,0,2007-01-01 00:00:00
4211000000,춘천,60,0,0,5,29,-4,0,3,방울토마토,PA150101,-,,0,2007-01-01 00:00:00
4482500000,태안,0,3,1,6,0,0,0,0,마늘,PA120201,난지형 대서,,0,2007-01-01 00:00:00
4482500000,태안,0,3,1,6,0,0,0,0,무,PA130201,봄,,0,2007-01-01 00:00:00
4482500000,태안,0,3,1,6,0,0,0,0,무,PA130401,가을,,0,2007-01-01 00:00:00
4482500000,태안,0,3,1,6,0,0,0,0,생강,PA210101,-,,0,2007-01-01 00:00:00
4511100000,전주,72,2,1,7,44,-2,0,0,미나리,PA140101,-,,0,2007-01-01 00:00:00
4518000000,정읍,79,0,0,2,53,-3,2,0,건고추,PA030101,-,,0,2007-01-01 00:00:00
4157000000,김포,0,3,1,6,0,-1,0,0,미나리,PA140101,-,,0,2007-01-01 00:00:00
4211000000,춘천,60,0,0,5,29,-4,0,3,감자,PA020101,봄,,0,2007-01-01 00:00:00
4211000000,춘천,60,0,0,5,29,-4,0,3,들깨,PA100101,-,,0,2007-01-01 00:00:00
4211000000,춘천,60,0,0,5,29,-4,0,3,배추,PA170401,가을,,0,2007-01-01 00:00:00
