지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4272000000,홍천,79,3,0,12,45,-3,0,7,당근,PA080201,고랭지,,0,2019-12-16 00:00:00
4276000000,평창,79,1,0,12,42,-5,0,0,당근,PA080201,고랭지,,0,2019-12-16 00:00:00
4276000000,평창,95,2,0,5,91,-1,1,0,당근,PA080201,고랭지,,0,2019-12-17 00:00:00
4272000000,홍천,92,5,0,8,81,3,3,0,당근,PA080201,고랭지,,0,2019-12-17 00:00:00
4272000000,홍천,82,2,0,5,65,0,0,0,당근,PA080201,고랭지,,0,2019-12-18 00:00:00
4276000000,평창,84,1,0,5,65,-1,0,0,당근,PA080201,고랭지,,0,2019-12-18 00:00:00
4272000000,홍천,67,0,1,4,27,-3,0,6,당근,PA080201,고랭지,,0,2019-12-19 00:00:00
4276000000,평창,61,0,1,4,26,-4,0,0,당근,PA080201,고랭지,,0,2019-12-19 00:00:00
4272000000,홍천,61,-2,0,4,23,-6,0,7,당근,PA080201,고랭지,,0,2019-12-20 00:00:00
4276000000,평창,56,-3,1,3,22,-8,0,0,당근,PA080201,고랭지,,0,2019-12-20 00:00:00
4272000000,홍천,72,-2,0,1,47,-9,0,3,당근,PA080201,고랭지,,0,2019-12-21 00:00:00
4276000000,평창,65,-3,0,1,36,-10,0,0,당근,PA080201,고랭지,,0,2019-12-21 00:00:00
4272000000,홍천,73,1,0,8,47,0,0,4,당근,PA080201,고랭지,,0,2019-12-22 00:00:00
4276000000,평창,75,0,0,6,45,-4,0,0,당근,PA080201,고랭지,,0,2019-12-22 00:00:00
4272000000,홍천,85,1,0,5,61,-1,0,0,당근,PA080201,고랭지,,0,2019-12-23 00:00:00
4276000000,평창,79,0,0,4,49,-4,0,0,당근,PA080201,고랭지,,0,2019-12-23 00:00:00
4276000000,평창,74,-1,0,7,31,-7,0,0,당근,PA080201,고랭지,,0,2019-12-24 00:00:00
4272000000,홍천,87,0,0,4,58,-3,0,3,당근,PA080201,고랭지,,0,2019-12-24 00:00:00
4276000000,평창,63,-1,0,8,18,-8,0,0,당근,PA080201,고랭지,,0,2019-12-25 00:00:00
4272000000,홍천,75,-1,0,6,37,-5,0,4,당근,PA080201,고랭지,,0,2019-12-25 00:00:00
4276000000,평창,75,0,0,1,55,-3,1,0,당근,PA080201,고랭지,S2,1,2019-12-26 00:00:00
4272000000,홍천,77,0,0,3,57,-1,0,0,당근,PA080201,고랭지,,0,2019-12-26 00:00:00
4276000000,평창,69,-5,1,1,31,-10,0,0,당근,PA080201,고랭지,,0,2019-12-27 00:00:00
4272000000,홍천,62,-2,1,3,28,-6,0,7,당근,PA080201,고랭지,,0,2019-12-27 00:00:00
4276000000,평창,70,-5,0,4,39,-11,0,0,당근,PA080201,고랭지,,0,2019-12-28 00:00:00
4272000000,홍천,67,-1,0,6,38,-8,0,6,당근,PA080201,고랭지,,0,2019-12-28 00:00:00
4276000000,평창,76,-1,0,3,51,-8,0,0,당근,PA080201,고랭지,,0,2019-12-29 00:00:00
4272000000,홍천,75,0,0,4,53,-3,0,0,당근,PA080201,고랭지,,0,2019-12-29 00:00:00
4276000000,평창,83,1,1,4,47,-3,1,0,당근,PA080201,고랭지,C3,1,2019-12-30 00:00:00
4272000000,홍천,81,1,1,5,42,-3,0,0,당근,PA080201,고랭지,C2,1,2019-12-30 00:00:00
4272000000,홍천,45,-7,2,-3,26,-10,0,7,당근,PA080201,고랭지,C2,1,2019-12-31 00:00:00
4276000000,평창,46,-7,2,-3,27,-11,0,0,당근,PA080201,고랭지,C3,1,2019-12-31 00:00:00
