지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4215000000,강릉,56,9,1,16,31,3,0,8,무,PA130301,고랭지,,0,2019-12-16 00:00:00
4272000000,홍천,79,3,0,12,45,-3,0,7,무,PA130301,고랭지,,0,2019-12-16 00:00:00
4276000000,평창,79,1,0,12,42,-5,0,0,무,PA130301,고랭지,,0,2019-12-16 00:00:00
4277000000,정선,89,1,0,11,59,-4,0,6,무,PA130301,고랭지,,0,2019-12-16 00:00:00
4215000000,강릉,59,12,2,15,50,8,0,0,무,PA130301,고랭지,,0,2019-12-17 00:00:00
4272000000,홍천,92,5,0,8,81,3,3,0,무,PA130301,고랭지,,0,2019-12-17 00:00:00
4276000000,평창,95,2,0,5,91,-1,1,0,무,PA130301,고랭지,,0,2019-12-17 00:00:00
4277000000,정선,99,3,0,9,87,0,0,0,무,PA130301,고랭지,,0,2019-12-17 00:00:00
4276000000,평창,84,1,0,5,65,-1,0,0,무,PA130301,고랭지,,0,2019-12-18 00:00:00
4272000000,홍천,82,2,0,5,65,0,0,0,무,PA130301,고랭지,,0,2019-12-18 00:00:00
4277000000,정선,89,2,1,5,76,-1,0,0,무,PA130301,고랭지,,0,2019-12-18 00:00:00
4215000000,강릉,79,6,1,11,52,5,5,0,무,PA130301,고랭지,,0,2019-12-18 00:00:00
4276000000,평창,61,0,1,4,26,-4,0,0,무,PA130301,고랭지,,0,2019-12-19 00:00:00
4277000000,정선,69,0,2,5,33,-3,0,6,무,PA130301,고랭지,,0,2019-12-19 00:00:00
4272000000,홍천,67,0,1,4,27,-3,0,6,무,PA130301,고랭지,,0,2019-12-19 00:00:00
4215000000,강릉,37,5,2,9,13,1,0,8,무,PA130301,고랭지,,0,2019-12-19 00:00:00
4277000000,정선,61,-1,1,3,30,-5,0,6,무,PA130301,고랭지,,0,2019-12-20 00:00:00
4215000000,강릉,39,2,2,7,23,-1,0,8,무,PA130301,고랭지,D2,1,2019-12-20 00:00:00
4272000000,홍천,61,-2,0,4,23,-6,0,7,무,PA130301,고랭지,,0,2019-12-20 00:00:00
4276000000,평창,56,-3,1,3,22,-8,0,0,무,PA130301,고랭지,,0,2019-12-20 00:00:00
4276000000,평창,65,-3,0,1,36,-10,0,0,무,PA130301,고랭지,,0,2019-12-21 00:00:00
4277000000,정선,75,-1,2,2,51,-6,0,4,무,PA130301,고랭지,,0,2019-12-21 00:00:00
4272000000,홍천,72,-2,0,1,47,-9,0,3,무,PA130301,고랭지,,0,2019-12-21 00:00:00
4215000000,강릉,46,3,3,7,30,0,0,4,무,PA130301,고랭지,D2,1,2019-12-21 00:00:00
4276000000,평창,75,0,0,6,45,-4,0,0,무,PA130301,고랭지,,0,2019-12-22 00:00:00
4215000000,강릉,56,5,2,9,39,2,0,4,무,PA130301,고랭지,D2,1,2019-12-22 00:00:00
4272000000,홍천,73,1,0,8,47,0,0,4,무,PA130301,고랭지,,0,2019-12-22 00:00:00
4277000000,정선,87,0,0,6,58,-3,0,3,무,PA130301,고랭지,,0,2019-12-22 00:00:00
4272000000,홍천,85,1,0,5,61,-1,0,0,무,PA130301,고랭지,,0,2019-12-23 00:00:00
4215000000,강릉,62,6,2,10,42,3,0,2,무,PA130301,고랭지,D2,1,2019-12-23 00:00:00
4276000000,평창,79,0,0,4,49,-4,0,0,무,PA130301,고랭지,,0,2019-12-23 00:00:00
4277000000,정선,84,1,1,5,60,-3,0,2,무,PA130301,고랭지,,0,2019-12-23 00:00:00
4276000000,평창,74,-1,0,7,31,-7,0,0,무,PA130301,고랭지,,0,2019-12-24 00:00:00
4277000000,정선,83,-2,0,6,42,-6,0,6,무,PA130301,고랭지,,0,2019-12-24 00:00:00
4272000000,홍천,87,0,0,4,58,-3,0,3,무,PA130301,고랭지,,0,2019-12-24 00:00:00
4215000000,강릉,59,4,2,9,40,1,0,8,무,PA130301,고랭지,,0,2019-12-24 00:00:00
