지역 아이디,지역 이름,일 평균상대습도,일 평균기온,일 평균풍속,일 최고기온,일 최저상대습도,일 최저기온,일 강수량,일 누적일조시간,작물 명,작물별 특성아이디,작물별 특성 이름,특보 코드,특보 발효 여부,연월일
4122000000,평택,0,-4,1,0,0,-11,0,0,배,PA160101,-,,0,2001-01-01 00:00:00
4155000000,안성,0,-3,0,1,0,-11,0,0,배,PA160101,-,,0,2001-01-01 00:00:00
4617000000,나주,0,0,0,4,0,-7,12,0,배,PA160101,-,,0,2001-01-01 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,배,PA160101,-,,0,2001-01-01 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,배,PA160101,-,,0,2001-01-02 00:00:00
4122000000,평택,0,-3,2,0,0,-8,0,0,배,PA160101,-,,0,2001-01-02 00:00:00
4155000000,안성,0,-2,1,0,0,-7,0,0,배,PA160101,-,,0,2001-01-02 00:00:00
4617000000,나주,0,3,2,7,0,0,0,0,배,PA160101,-,,0,2001-01-02 00:00:00
4122000000,평택,0,-7,1,-3,0,-11,0,0,배,PA160101,-,,0,2001-01-03 00:00:00
4155000000,안성,0,-7,1,-3,0,-12,0,0,배,PA160101,-,,0,2001-01-03 00:00:00
4617000000,나주,0,0,1,3,0,-3,0,0,배,PA160101,-,,0,2001-01-03 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,배,PA160101,-,,0,2001-01-03 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,배,PA160101,-,,0,2001-01-04 00:00:00
4122000000,평택,0,-9,2,-4,0,-11,0,0,배,PA160101,-,,0,2001-01-04 00:00:00
4155000000,안성,0,-9,1,-4,0,-13,0,0,배,PA160101,-,,0,2001-01-04 00:00:00
4617000000,나주,0,-2,2,0,0,-4,0,0,배,PA160101,-,,0,2001-01-04 00:00:00
4122000000,평택,0,-7,0,-1,0,-14,0,0,배,PA160101,-,,0,2001-01-05 00:00:00
4155000000,안성,0,-7,0,-1,0,-14,0,0,배,PA160101,-,,0,2001-01-05 00:00:00
4617000000,나주,0,-2,1,2,0,-7,0,0,배,PA160101,-,,0,2001-01-05 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,배,PA160101,-,,0,2001-01-05 00:00:00
4725000000,상주,0,0,0,0,0,0,0,0,배,PA160101,-,,0,2001-01-06 00:00:00
4155000000,안성,0,-3,1,2,0,-12,0,0,배,PA160101,-,,0,2001-01-06 00:00:00
4617000000,나주,0,0,1,5,0,-6,12,0,배,PA160101,-,,0,2001-01-06 00:00:00
4122000000,평택,0,-3,1,1,0,-12,0,0,배,PA160101,-,,0,2001-01-06 00:00:00
