시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,4850,5084,3943,6131,8308,5026,4186,4128,3876,4810,3894,3713,2702,2901,2286,3162,2787,4121,4835,0
서울특별시,0,0,0,0,0,0,1,0,0,1,17,0,0,1,0,0,0,0,0,0
부산광역시,15,7,6,22,38,11,50,5,4,0,0,1,16,0,1,25,19,15,20,0
대구광역시,0,10,0,6,8,1,16,0,4,8,0,0,17,9,4,5,5,5,1,0
인천광역시,0,0,2,28,5,0,1,17,3,1,1,1,0,2,3,5,3,5,17,0
광주광역시,7,6,0,5,34,4,9,0,15,0,9,0,5,0,2,0,2,2,3,0
대전광역시,0,8,7,10,1,0,0,0,0,4,0,0,2,1,2,3,2,2,0,0
울산광역시,2,0,0,0,5,4,2,0,2,4,1,0,7,0,0,1,3,2,1,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0
경기도,1,2,13,14,36,13,18,38,35,86,17,49,43,27,29,49,46,68,120,0
강원도,51,28,45,45,60,53,25,24,28,48,21,52,36,30,16,33,24,55,49,0
충청북도,2,19,6,14,89,21,9,15,11,17,36,37,52,109,18,124,66,95,121,0
충청남도,15,43,48,115,159,74,155,118,200,533,179,134,121,193,119,105,155,209,323,0
전라북도,1056,1277,1045,1483,1644,852,1052,1077,995,1012,839,653,539,646,658,674,701,916,1353,0
전라남도,213,462,225,553,826,290,290,293,323,545,490,312,341,207,317,311,278,689,932,0
경상북도,215,225,160,320,367,200,261,267,218,210,164,189,175,222,128,194,131,191,259,0
경상남도,631,569,403,624,853,784,640,513,649,597,543,510,386,353,279,462,383,438,687,0
제주도,2642,2428,1983,2892,4183,2719,1657,1761,1389,1744,1577,1775,962,1101,710,1171,959,1429,947,0
