시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,14955,15072,12428,14937,20035,14960,13033,13048,14198,16302,19126,17424,20977,15596,14545,15259,14943,15819,18150,16339
서울특별시,5,3,4,4,10,15,9,12,14,12,4,7,8,7,6,6,6,6,5,7
부산광역시,45,10,9,7,22,15,25,19,11,12,31,22,36,22,28,19,34,38,45,44
대구광역시,136,103,81,69,115,118,72,101,90,104,99,106,148,74,63,118,95,56,94,85
인천광역시,165,181,145,150,247,197,182,182,216,218,233,232,230,207,198,166,144,155,180,174
광주광역시,11,20,13,25,30,48,14,10,32,54,28,20,70,52,14,61,82,44,41,42
대전광역시,47,44,51,67,80,44,52,59,70,63,91,53,67,50,50,50,36,41,52,45
울산광역시,41,48,34,43,59,69,73,76,78,66,101,92,108,92,57,64,63,94,118,67
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,47,31,49,47
경기도,955,879,812,914,1328,974,1026,1086,1170,1419,1727,1725,2140,1671,1722,1869,1765,1764,2005,1641
강원도,2895,2626,1994,2214,2573,2210,1872,1787,1678,1793,2071,1947,2548,1802,1781,1586,1639,1666,2103,1828
충청북도,1087,1062,888,1112,1640,1170,1030,1164,1308,1673,2102,1679,2080,1494,1024,1080,1146,1273,1346,1270
충청남도,1260,1369,1328,1616,1970,1641,1611,1495,2104,2490,2870,3070,2772,2329,2135,1820,2133,2210,2596,2001
전라북도,1155,1212,797,1029,1530,959,818,1046,928,929,1115,962,1523,1071,867,933,955,971,1227,1105
전라남도,1623,1905,1731,2205,3193,2062,1518,1537,1613,2137,2042,2051,2293,2226,1942,1855,1845,2062,2273,2331
경상북도,1890,1915,1459,1804,2936,2261,2140,2174,2523,2838,3668,3082,4161,2965,2818,3398,2796,3258,3318,3069
경상남도,1894,1886,1623,1758,2311,1729,1531,1398,1339,1472,1707,1577,1958,1253,1421,1573,1545,1474,1993,1943
제주도,1746,1809,1459,1920,1991,1448,1060,902,1024,1022,1237,799,835,281,419,610,612,675,706,643
