시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,22807,21124,19620,18533,17199,17304,16309,16259,14785,15244,14299,13390,12905,12451,11849,10002,9586,9108,8639,0
서울특별시,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
부산광역시,98,92,103,82,100,140,126,157,130,97,96,96,58,83,68,63,30,28,26,0
대구광역시,182,179,184,182,175,191,205,196,174,175,136,122,101,84,76,5,3,4,27,0
인천광역시,9,7,2,4,3,17,22,10,21,12,46,46,34,24,22,0,0,0,0,0
광주광역시,340,331,274,259,211,306,293,181,146,190,194,189,149,146,162,211,176,141,156,0
대전광역시,13,6,16,22,20,9,9,11,0,2,0,0,0,12,13,0,4,5,4,0
울산광역시,323,309,271,270,263,381,374,405,367,324,321,373,373,370,355,293,242,242,231,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
경기도,28,24,19,11,11,2,0,10,9,11,21,12,12,4,4,4,6,6,9,0
강원도,63,34,33,24,21,28,18,13,12,16,14,9,8,39,25,6,6,1,3,0
충청북도,37,37,22,25,6,0,3,48,41,27,11,5,6,4,2,2,3,0,1,0
충청남도,282,228,197,157,137,119,107,113,125,78,97,104,79,87,47,59,46,43,74,0
전라북도,275,230,169,146,142,62,81,108,75,83,79,137,110,96,116,78,114,115,70,0
전라남도,7250,6668,6265,5867,5444,5118,4666,4577,4300,4084,3821,3705,3623,3477,3108,3028,2928,2673,2500,0
경상북도,2674,2413,2150,1964,1790,1377,1270,1475,1235,1302,1206,1065,905,745,716,541,554,556,473,0
경상남도,10965,10298,9739,9363,8763,9408,9014,8839,8061,8758,8167,7442,7358,7182,7064,5623,5371,5150,4928,0
제주도,268,268,176,157,113,146,121,115,89,84,89,84,89,98,71,89,95,144,137,0
