시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,25655,25024,24881,30658,22545,25814,23702,24206,21081,20898,25802,18032,19971,21221,18056,19042,23994,22172,23008,0
서울특별시,490,444,184,204,202,350,175,209,159,24,9,2,19,4,2,49,67,63,63,0
부산광역시,1903,1705,1822,1976,1759,1912,1576,1457,1905,1039,1373,820,915,957,1108,900,908,874,857,0
대구광역시,817,678,610,585,512,296,251,335,178,279,326,133,142,119,70,463,446,581,442,0
인천광역시,684,731,755,875,697,515,432,719,404,373,726,308,406,300,396,182,298,243,310,0
광주광역시,141,44,24,52,26,14,4,16,2,16,42,12,2,0,4,4,14,12,4,0
대전광역시,110,105,129,124,54,43,40,108,30,31,55,20,15,38,14,70,59,38,32,0
울산광역시,67,60,70,132,52,84,66,48,24,27,50,17,44,30,22,36,68,102,82,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,75,113,32,0
경기도,5250,6180,5369,7125,4891,5552,5357,5399,4633,4543,6100,3269,3914,4551,3004,3490,4545,4941,4522,0
강원도,767,1032,916,1054,882,1163,1256,1272,822,1513,1608,1134,1910,2348,1981,1251,1662,1628,1721,0
충청북도,1466,1282,1407,1499,802,1377,1193,1246,974,922,1243,724,978,987,941,977,1572,1012,1515,0
충청남도,1482,1457,1542,1521,1127,1141,779,849,801,1155,1308,676,746,688,482,1069,1257,1051,1106,0
전라북도,1846,1770,1355,2091,1664,1658,1686,1795,1400,1735,1972,1771,1079,1898,1388,1787,1476,1489,1597,0
전라남도,6923,6115,6827,9164,6909,8019,7767,7160,6658,6268,7179,6704,7020,6808,6564,6363,7855,7138,7454,0
경상북도,2194,1777,2009,2285,1550,1931,1749,2041,1486,1557,1932,1636,1564,1545,1383,1097,1678,1458,1453,0
경상남도,1107,1137,1150,1385,828,1385,1019,944,733,680,1396,492,885,624,605,864,1278,1106,1216,0
제주도,408,507,712,586,590,374,352,608,872,736,483,314,332,324,92,294,738,322,602,0
