시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,4763,5483,4079,3454,3352,2970,3318,3366,4111,5381,4413,4072,4374,4565,4589,5632,5190,4118,3236,0
서울특별시,2,3,1,0,1,0,0,0,2,2,4,6,3,4,4,0,1,1,0,0
부산광역시,1,3,1,1,2,2,1,6,2,1,0,3,4,4,4,2,5,5,5,0
대구광역시,58,55,48,42,36,55,41,46,58,63,66,46,38,37,40,37,31,23,20,0
인천광역시,24,32,24,19,24,25,23,11,30,34,45,39,48,64,79,67,67,68,47,0
광주광역시,7,5,7,5,11,6,6,12,5,12,20,14,14,15,30,36,17,15,20,0
대전광역시,2,7,5,2,2,5,5,8,12,10,16,11,19,27,24,19,17,6,6,0
울산광역시,6,7,5,5,7,1,2,3,6,7,18,7,9,7,7,16,17,17,11,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,12,13,0
경기도,636,536,356,388,347,303,321,306,452,661,493,561,721,577,658,841,871,747,475,0
강원도,106,162,90,59,63,55,82,81,100,97,135,115,133,123,163,162,166,143,124,0
충청북도,340,424,277,207,172,206,252,243,275,504,430,335,317,345,308,515,447,382,260,0
충청남도,928,1105,718,482,494,303,388,550,678,771,537,505,623,625,602,750,640,473,403,0
전라북도,792,1124,711,618,753,562,664,560,807,1121,590,525,614,833,763,1121,1088,730,671,0
전라남도,161,218,133,129,128,107,149,143,197,311,225,231,295,328,385,426,398,312,210,0
경상북도,1151,1256,1174,997,954,1016,1014,1140,1176,1339,1434,1280,1049,1161,1144,1299,1125,956,775,0
경상남도,248,232,244,236,211,175,186,189,199,244,282,261,261,254,260,321,282,227,192,0
제주도,301,314,285,264,147,149,184,68,112,204,118,133,226,161,118,1,1,1,3,0
