시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,26306,21251,20938,21987,16560,18179,13190,16660,14282,13733,18088,12741,14238,10475,10903,10183,11213,11140,9806,9780
서울특별시,18,15,16,33,22,38,18,26,23,13,24,14,12,12,7,4,6,7,5,5
부산광역시,82,52,36,31,40,34,26,44,28,8,110,142,80,16,46,36,44,71,60,88
대구광역시,118,58,70,84,94,105,60,84,72,84,80,43,65,72,28,22,38,48,59,44
인천광역시,635,280,385,509,397,463,320,282,368,361,245,147,205,187,191,115,139,190,172,170
광주광역시,880,715,752,666,456,334,230,270,215,234,308,196,190,164,288,290,254,110,160,54
대전광역시,73,60,87,80,55,64,74,81,45,32,65,38,45,31,63,32,32,36,35,26
울산광역시,194,120,114,114,92,132,118,116,106,142,126,70,132,126,154,52,112,116,56,78
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,15,38,52,32
경기도,3661,3440,3119,3379,2526,2897,2163,2639,2617,2195,3456,2141,2053,1859,1920,1613,1753,2311,2039,1502
강원도,970,836,786,926,822,851,577,636,556,587,915,643,693,644,655,588,554,752,866,1008
충청북도,721,444,748,809,636,699,492,733,493,664,704,362,551,259,190,297,599,541,421,369
충청남도,3737,2576,2663,3541,2310,2421,2109,2139,2003,1956,3514,2300,1995,1797,2642,1908,1970,1642,1383,1308
전라북도,5983,5138,5629,5573,3913,4121,2951,3185,2906,2543,4245,2995,4085,2445,1614,2100,2007,2260,2005,2472
전라남도,4582,3619,3190,3200,2317,2702,2036,2547,1510,1824,2521,2279,2245,1567,1737,1875,2021,1797,1452,1651
경상북도,1673,1325,1534,1549,1075,1332,1064,1022,900,834,823,692,833,658,754,669,1052,698,444,630
경상남도,1381,1065,1053,1197,947,1152,760,832,616,520,772,493,584,470,506,326,617,502,595,346
제주도,1598,1508,756,296,858,834,192,2024,1824,1736,180,186,470,168,108,196,0,18,0,0
