시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,4017,2741,2926,2234,2072,2442,2596,2546,2042,2161,2713,2552,2195,2608,1981,2607,2954,2900,2345,0
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,2854,1967,2157,1650,1651,2019,2275,2359,1814,2030,2672,2454,2015,2478,1913,2380,2592,2683,2183,0
충청북도,11,16,15,20,0,9,0,0,0,0,0,26,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,551,473,376,266,197,166,139,61,118,24,3,43,79,63,22,108,139,111,110,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,389,128,250,209,156,186,132,98,12,14,11,22,74,67,46,119,217,82,51,0
경상남도,212,157,128,89,68,62,50,28,98,93,27,7,27,0,0,0,6,24,0,0
제주도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
