시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,14169,11293,12596,13858,11001,14368,12178,14693,14462,13540,17326,13408,15095,15233,12724,11429,13674,13313,10968,13854
서울특별시,22,16,25,36,26,30,21,53,17,8,15,16,11,10,7,3,5,5,3,3
부산광역시,281,228,210,123,134,195,169,106,141,115,150,106,99,83,84,41,73,59,40,48
대구광역시,139,51,48,95,71,87,91,112,136,129,125,60,81,82,51,47,84,65,44,66
인천광역시,176,128,142,177,147,208,175,204,223,170,211,159,199,186,197,119,130,126,112,117
광주광역시,181,183,155,186,142,128,113,126,101,58,95,71,125,102,78,84,87,50,41,58
대전광역시,78,83,91,96,53,90,63,119,102,59,91,76,79,63,58,45,66,54,36,43
울산광역시,110,102,74,86,70,109,141,143,129,148,172,92,175,106,101,53,88,100,58,68
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,35,35,37,36
경기도,2199,1640,1798,1974,1831,2025,1631,1920,2007,1841,2228,1873,1831,1505,1383,1280,1437,1283,1215,1211
강원도,821,722,782,745,633,867,714,817,918,800,1150,991,1186,1170,960,897,1180,1274,1189,1520
충청북도,1118,776,1113,1597,1180,1531,1090,2005,1629,1401,2075,1580,1950,1703,1402,1249,1821,1920,1394,2002
충청남도,2852,2209,2205,2541,1712,2302,2008,2143,2114,2058,2401,1767,1763,1868,1426,1227,1548,1194,919,1275
전라북도,1435,1340,1449,1649,1212,1750,1380,1585,1531,1485,1805,1265,1420,1728,1586,1282,1551,1433,1086,1526
전라남도,1957,1576,1998,1802,1472,2070,1677,2184,2353,2552,3605,2937,3564,4003,3349,3021,2936,3244,2666,3349
경상북도,1352,1033,1294,1420,1097,1642,1542,1817,1821,1458,1725,1517,1598,1785,1431,1454,2003,1869,1660,1946
경상남도,1215,906,918,1168,1023,1247,1116,1066,1027,1082,1382,839,994,784,609,578,629,546,467,586
제주도,233,300,294,163,198,87,247,293,213,176,96,59,20,55,2,2,0,55,0,0
