시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,14412,15598,15880,15566,15014,13383,13188,12638,12967,13908,13795,14335,14633,15539,16704,19877,21030,21087,20636,0
서울특별시,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0
부산광역시,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,6,7,11,0
대구광역시,273,305,304,294,292,250,209,250,240,236,240,239,222,230,234,289,270,259,227,0
인천광역시,26,25,30,25,24,26,22,16,23,24,27,29,29,23,19,12,13,19,24,0
광주광역시,13,16,17,17,21,8,8,14,15,13,11,15,19,11,26,46,54,89,86,0
대전광역시,59,64,53,69,62,47,37,17,20,10,9,11,7,5,17,52,53,57,47,0
울산광역시,25,18,17,22,19,1,1,2,0,0,1,1,3,4,7,20,17,21,23,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,521,478,457,0
경기도,1038,1203,1292,1260,1366,1107,1177,1110,1049,1046,1011,926,914,883,912,1033,1155,1127,1011,0
강원도,692,748,810,820,785,733,640,611,520,679,595,554,548,538,596,558,551,559,590,0
충청북도,2459,2867,3102,3146,3291,3387,3309,3166,3530,3826,3610,3743,3709,3775,4174,5380,5827,5756,5569,0
충청남도,872,906,972,987,1025,687,744,622,645,638,547,551,511,520,515,395,405,379,371,0
전라북도,674,775,775,860,814,814,786,689,701,754,723,736,698,808,913,1265,1341,1374,1345,0
전라남도,508,558,614,571,557,361,368,462,345,386,387,451,432,480,506,692,759,710,780,0
경상북도,7204,7581,7373,7034,6357,5613,5546,5367,5608,6011,6335,6730,7180,7903,8412,9288,9658,9767,9578,0
경상남도,569,531,504,443,383,349,341,312,270,283,297,347,359,359,371,365,398,484,492,0
제주도,0,0,17,17,17,0,0,0,1,0,1,1,1,0,1,2,2,2,23,0
