시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,1926,2705,1710,1662,2264,1795,2133,1301,1278,2085,2074,1657,1787,2178,2751,4091,2573,2140,2324,0
서울특별시,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,25,16,2,1,0,0,0,1,0,2,0,1,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
인천광역시,0,3,1,1,1,0,0,0,1,1,1,3,4,0,1,0,1,1,1,0
광주광역시,1,0,0,10,1,1,0,3,0,0,0,2,0,0,1,0,0,2,2,0
대전광역시,0,2,1,2,1,5,1,0,2,2,6,0,0,0,1,2,0,1,0,0
울산광역시,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,3,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
경기도,8,44,8,8,18,12,16,13,11,49,14,19,5,6,46,137,73,26,173,0
강원도,3,5,3,0,0,3,3,1,0,0,0,1,1,2,3,11,17,5,8,0
충청북도,11,24,22,10,26,18,26,13,5,12,31,44,34,102,37,99,28,26,39,0
충청남도,1319,1692,928,779,1282,898,1063,535,448,718,655,391,424,555,946,1266,789,817,765,0
전라북도,337,526,430,511,636,481,468,305,373,630,497,386,304,338,325,640,414,208,367,0
전라남도,78,114,102,107,79,117,140,94,60,116,103,118,139,101,183,247,141,77,90,0
경상북도,157,269,195,163,193,220,385,329,368,520,736,641,840,1059,1157,1564,1047,893,835,0
경상남도,11,22,20,29,25,15,14,6,9,13,15,23,29,14,49,123,59,49,25,0
제주도,1,4,0,42,0,0,0,0,0,24,15,29,6,0,0,0,0,33,16,0
