시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,12482,10293,10036,11078,10408,10333,8528,9789,10050,8302,10466,9539,10458,9081,9501,8034,6953,7861,7856,0
서울특별시,173,302,108,170,237,226,242,76,33,24,14,7,3,9,12,5,2,2,7,0
부산광역시,372,151,272,501,442,397,93,221,521,283,157,298,113,87,176,89,31,52,38,0
대구광역시,200,240,297,220,298,109,67,171,190,305,180,94,44,41,31,79,106,121,107,0
인천광역시,298,234,120,209,89,61,79,76,65,75,84,39,68,52,65,26,52,26,25,0
광주광역시,93,49,44,64,40,27,55,38,23,19,14,22,42,28,14,8,14,22,12,0
대전광역시,82,42,28,41,28,13,2,11,9,4,6,5,4,7,4,1,4,0,2,0
울산광역시,149,84,104,116,84,103,69,39,72,32,40,48,71,43,33,5,13,30,17,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,15,12,0
경기도,2678,2332,2354,2261,2433,1960,1781,2179,2071,1444,1984,1678,1468,1307,1803,1457,1492,1366,1515,0
강원도,328,245,124,174,172,175,81,142,170,166,119,83,92,88,71,38,58,57,147,0
충청북도,288,148,172,162,138,197,97,100,109,186,241,182,165,117,209,153,187,273,253,0
충청남도,356,419,307,315,248,261,226,167,256,218,261,196,316,234,263,250,202,340,468,0
전라북도,550,296,290,387,303,182,124,280,166,317,237,143,177,126,129,144,214,198,248,0
전라남도,3079,2800,2628,2888,2560,2370,2362,2503,2053,803,1357,1454,2189,1828,1608,1250,1167,1045,1217,0
경상북도,945,824,960,929,822,1306,622,668,1092,1068,1294,973,943,701,641,614,783,1112,536,0
경상남도,2796,2005,2078,2389,2292,2816,2566,2900,2985,3240,4227,4184,4549,4208,4334,3831,2588,3084,3183,0
제주도,95,122,150,252,222,130,62,218,235,118,251,133,214,205,108,72,24,122,68,0
