시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,5992,5173,5401,5214,4921,5780,5786,5859,5773,4524,6767,5867,6016,7342,6425,6765,6854,7906,6980,0
서울특별시,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,1,41,47,11,13,2,14,0,15,3,101,35,28,26,52,26,27,34,24,0
대구광역시,11,35,15,11,14,4,0,6,0,0,0,0,17,6,49,110,136,163,181,0
인천광역시,1,0,2,0,3,0,1,0,6,1,3,0,1,1,1,0,14,4,2,0
광주광역시,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,0
대전광역시,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,1,4,5,2,1,0,0,0,0,0,6,0,1,2,1,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도,3,82,24,40,54,34,39,28,42,6,77,105,93,78,143,43,49,69,73,0
강원도,904,1046,988,1059,1022,1153,1203,898,1262,577,1228,864,749,1313,1244,1272,1003,1201,1501,0
충청북도,328,175,193,107,194,271,275,324,161,218,313,205,227,206,109,174,284,182,243,0
충청남도,616,432,631,681,570,461,450,514,488,249,403,424,281,482,321,243,423,417,349,0
전라북도,109,254,132,133,83,102,55,116,136,57,220,200,244,226,170,124,230,174,88,0
전라남도,870,840,814,821,696,890,1012,876,716,1050,1502,1122,983,1902,1344,1940,1696,2000,1974,0
경상북도,345,348,314,261,254,620,561,865,689,566,671,723,637,919,616,586,603,394,377,0
경상남도,64,124,45,41,17,126,47,51,18,25,71,63,30,73,145,220,60,92,115,0
제주도,2740,1796,2196,2047,2000,2112,2124,2178,2239,1772,2177,2126,2726,2110,2225,2027,2324,3173,2031,0
