시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,26803,26007,24801,22909,22057,19248,18843,18240,17996,17572,17445,17181,16931,16348,15397,14946,13107,12795,12676,0
서울특별시,0,0,7,7,7,8,6,3,5,4,2,3,4,4,2,1,1,1,1,0
부산광역시,3,1,2,1,1,0,0,0,0,0,0,5,4,0,0,3,1,1,2,0
대구광역시,771,737,685,635,535,410,433,320,258,220,215,185,205,180,163,104,117,92,96,0
인천광역시,217,212,213,210,181,150,208,149,156,138,129,101,71,80,72,110,102,130,112,0
광주광역시,205,182,193,153,100,104,92,103,106,59,46,40,35,24,17,33,28,25,17,0
대전광역시,469,470,371,293,288,223,209,168,170,131,136,127,113,108,118,125,133,134,125,0
울산광역시,15,13,12,12,14,4,4,3,2,2,2,4,6,5,3,2,2,3,1,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,59,58,63,0
경기도,3485,3414,3384,3082,3100,2920,2900,2770,2724,2793,2640,2498,2459,2292,2068,2009,1889,1746,1700,0
강원도,159,208,249,223,240,205,237,371,286,250,232,232,209,235,200,324,289,254,258,0
충청북도,4116,4008,3671,3390,3212,2911,2775,2941,2775,2750,2916,2795,2732,2596,2393,1474,1147,1082,1069,0
충청남도,2967,2880,2784,2584,2419,1866,1845,1622,1505,1363,1259,1178,1026,1000,963,1050,928,921,858,0
전라북도,1573,1504,1475,1335,1235,954,863,858,890,785,843,934,988,1021,931,1258,1013,995,982,0
전라남도,559,515,464,438,416,515,435,369,372,363,337,354,372,292,281,283,287,275,306,0
경상북도,11498,11211,10763,10081,9926,8408,8293,8141,8347,8341,8306,8306,8247,8069,7714,7786,6809,6769,6773,0
경상남도,759,636,528,465,383,570,543,422,400,373,382,419,460,442,472,306,297,304,309,0
제주도,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,0
