시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,26328,26163,26398,26676,26907,28312,29358,30006,30451,30992,31167,30734,30449,30702,31620,33300,33601,33234,32954,31598
서울특별시,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,1,3,3,3,3,1,1,6,3,5,7,7
대구광역시,66,69,70,71,78,125,123,143,105,97,90,74,86,78,66,81,82,56,52,52
인천광역시,1,0,0,4,14,1,3,2,8,26,19,18,12,23,24,8,4,16,18,21
광주광역시,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,3
대전광역시,30,32,19,13,15,26,21,29,21,12,2,4,4,5,4,20,13,12,6,11
울산광역시,13,16,16,17,18,4,6,1,3,1,1,2,2,3,4,19,27,32,29,27
세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,15,10,13,11,1
경기도,381,333,351,345,312,357,339,335,309,294,299,299,283,268,330,295,310,316,341,353
강원도,262,225,168,159,144,125,114,184,199,216,321,434,516,522,721,831,930,947,1092,1124
충청북도,3254,3301,3417,3523,3784,3996,4200,4193,4220,4252,4158,4016,3867,3877,3984,4087,4024,4056,3929,3645
충청남도,2228,2093,2007,2000,2053,1448,1455,1441,1495,1632,1648,1562,1408,1358,1283,1600,1574,1437,1436,1297
전라북도,762,834,900,952,933,1148,1310,1614,1662,1763,1835,1869,1925,2078,2223,2360,2525,2643,2698,2449
전라남도,240,231,282,312,276,235,243,277,321,285,292,273,300,308,289,554,533,545,557,562
경상북도,16854,16663,16778,16775,16774,18439,19050,19158,19339,19543,19470,19024,18895,18811,19247,20083,20178,19780,19462,18705
경상남도,2236,2366,2390,2505,2506,2408,2493,2628,2767,2868,3029,3156,3148,3370,3444,3339,3387,3374,3313,3340
제주도,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
