시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,103092,92758,65687,128809,185519,116985,94542,99442,80793,83652,69674,63730,45289,49690,38508,40073,46342,71010,84794,0
서울특별시,0,0,0,0,0,0,27,0,0,23,376,0,0,17,0,0,1,0,5,0
부산광역시,230,182,113,566,880,292,1328,88,69,0,0,13,217,0,15,152,256,351,188,0
대구광역시,0,207,0,137,173,25,360,0,36,99,0,0,340,144,49,118,118,117,16,0
인천광역시,0,0,35,799,116,0,24,492,63,19,18,17,0,24,44,74,52,30,104,0
광주광역시,122,101,0,128,942,100,287,0,359,0,168,0,91,0,33,0,42,30,45,0
대전광역시,0,201,117,259,27,0,0,0,0,75,0,0,32,16,32,49,49,44,4,0
울산광역시,36,0,0,0,158,121,59,0,49,89,22,0,145,0,0,21,41,21,9,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,4,8,0
경기도,15,32,213,355,834,368,483,1087,919,1938,376,1003,913,450,601,725,810,994,1472,0
강원도,765,448,1022,1181,1498,1416,643,820,886,821,335,926,855,741,369,616,485,1113,805,0
충청북도,42,477,116,339,2529,564,220,363,247,347,670,555,799,1707,283,2124,1135,1524,1791,0
충청남도,249,1078,812,2553,4500,1830,4400,3393,4958,10388,3304,2198,2046,3279,1811,1710,2338,2993,5239,0
전라북도,18258,21964,16950,33946,39916,23558,27762,29758,20656,16546,15018,11676,8867,9115,11048,7407,12251,16565,22062,0
전라남도,3702,7900,3625,10496,15537,5623,5884,6721,7439,10867,9011,5891,6199,3852,6369,5567,5111,11859,27180,0
경상북도,3636,3517,2435,8554,9979,5496,7039,7585,4922,4689,3328,3965,3617,4837,2577,3620,2455,3071,4339,0
경상남도,11308,9548,7609,15126,19960,19514,15885,13528,13077,9516,8047,7329,5786,4963,3605,6168,6488,7706,8945,0
제주도,64729,47103,32640,54370,88470,58078,30141,35607,27113,28235,29001,30157,15382,20545,11672,11722,14622,24588,12582,0
