시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,163634,184387,130106,126330,154229,95443,112577,122781,115842,139423,94944,126371,111125,108500,131867,121927,98895,91811,139676,119441
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
울산광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원도,161222,182212,129196,125116,151609,95232,111043,120960,114631,138022,93349,125077,108562,106947,131025,120345,98639,91277,138378,118595
충청북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충청남도,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라남도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상북도,2412,2175,910,1214,2620,211,1280,1821,1211,1354,1596,1294,2563,1552,843,1582,256,534,1298,845
경상남도,0,0,0,0,0,0,219,0,0,47,0,0,0,0,0,0,0,0,0,0
제주도,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
