시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,336901,389028,302608,387458,554467,418658,367277,382369,394418,393632,457584,417433,571024,432342,367363,393670,321518,385244,465948,376349
서울특별시,80,77,89,105,246,425,242,345,406,328,91,140,212,202,134,175,105,148,117,177
부산광역시,1162,253,218,188,640,398,664,533,272,265,590,474,1054,575,641,374,613,718,934,939
대구광역시,3369,2293,1655,1576,2819,2952,1971,3031,1879,1860,2517,3223,3477,1853,1600,3111,2072,1231,1667,1966
인천광역시,2927,4797,3242,4280,5716,5243,4332,5373,6650,6740,7391,4842,6225,6590,4950,4693,3748,4615,3711,3728
광주광역시,310,543,355,694,832,1179,447,304,752,1328,492,372,1270,952,247,1377,1816,719,916,767
대전광역시,576,1125,1442,1737,2179,1181,1341,1796,1547,1237,1573,1059,1728,1482,1102,1340,682,882,1522,997
울산광역시,823,1200,983,1148,1867,2641,2158,2127,2158,1323,2741,2742,2933,2836,1644,1667,1449,2472,2397,1368
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,993,781,1091,821
경기도,15261,22573,18148,23974,32616,27572,27544,31187,33915,38751,39254,34574,56714,48256,38338,54358,39117,43299,51317,40759
강원도,67685,76259,45822,60110,72816,61864,57100,61062,55699,47907,53841,63322,73465,51919,45629,43835,39125,47731,59973,45619
충청북도,21403,24734,21880,26933,47396,31429,25354,28781,38049,38626,57164,36107,58475,38301,22968,27787,23338,29974,32716,29582
충청남도,22982,32856,31142,37637,59868,49426,48039,45497,53361,65721,62642,64976,73608,71589,56127,50221,41684,51762,64224,48042
전라북도,26242,31924,21471,27227,41463,29337,21972,32426,23226,24132,25422,21761,40387,30171,21328,22158,19013,25052,34811,25183
전라남도,45720,51721,47308,61167,88510,56441,48487,46669,46779,47994,45963,46035,64884,58754,50869,46165,42156,48992,61173,52603
경상북도,37989,48411,36679,50747,85056,66370,62066,62501,73033,63624,84966,84204,120791,77125,76027,80402,55457,77378,78931,65340
경상남도,48922,47678,39244,47273,67227,45923,40660,39213,33163,32524,39341,37636,44020,33283,35441,40637,36332,33978,50973,39276
제주도,41450,42584,32930,42662,45216,36275,24902,21526,23528,21272,33595,15966,21783,8454,10318,14164,13818,15513,19477,19182
