시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,70736,72104,57502,61894,61299,53097,54876,48825,44817,44584,42574,45459,45360,36120,34514,32181,28337,28824,31644,31146
서울특별시,30,21,23,27,25,21,25,19,21,7,8,8,8,7,24,8,11,7,8,9
부산광역시,77,76,54,57,66,53,52,69,60,34,58,58,82,48,61,50,63,69,82,82
대구광역시,188,198,178,198,178,219,160,158,171,169,160,136,143,127,109,118,81,81,108,98
인천광역시,822,812,711,762,808,679,677,605,599,532,552,583,649,589,606,393,311,356,385,362
광주광역시,181,190,119,195,160,146,152,164,143,129,116,158,200,139,84,126,91,104,91,110
대전광역시,178,161,131,160,153,99,114,101,94,96,92,126,127,83,78,85,68,73,59,52
울산광역시,223,193,180,215,220,219,205,167,169,130,169,142,217,182,157,149,155,183,191,184
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,121,142,154,126
경기도,5740,4960,4242,4346,4841,4104,3881,3557,3378,3348,3129,3176,3577,2919,2635,2809,2670,2555,2761,2586
강원도,5019,4795,3736,3639,3873,3346,3522,3378,2959,3325,3016,2994,3063,2674,2780,2076,2064,2113,2557,2251
충청북도,11027,11486,8120,9118,8606,7130,7142,5789,5307,4931,4588,4781,4175,3242,3168,3022,2584,2826,2859,2792
충청남도,7793,7881,6099,6572,6254,5380,5754,5316,4873,4761,4428,4711,4604,3792,3623,3304,3065,2938,3120,3318
전라북도,8858,8945,7167,7700,7389,6722,6839,5895,5479,5437,5432,5587,5850,4584,4324,4909,4277,4078,4837,4320
전라남도,9567,11069,8863,9918,9852,8833,9284,8305,7464,7650,7265,8110,8859,6792,6194,5367,4421,4456,4914,4682
경상북도,18124,18371,15269,16193,15935,13749,14761,12991,11781,11699,10896,12059,10725,8587,8387,7426,6368,6768,7212,7906
경상남도,2893,2937,2590,2768,2861,2355,2275,2294,2285,2298,2628,2762,2982,2335,2234,2110,1948,2024,2237,2186
제주도,16,9,20,26,78,42,33,17,34,38,37,68,99,20,50,47,39,51,67,82
