시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,153405,136109,124475,79964,117687,130363,76730,99581,98807,102116,93694,63792,79800,83316,118594,73061,74027,73143,67327,0
서울특별시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0
부산광역시,5561,9254,1776,1704,1390,2548,2772,4189,3836,8488,4443,2812,2913,1861,2147,0,234,288,137,0
대구광역시,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,23,0,0
인천광역시,83,138,60,56,117,39,0,0,0,0,0,27,0,72,41,0,104,51,65,0
광주광역시,20,96,64,57,23,0,0,0,0,0,0,59,0,0,0,0,1,1,5,0
대전광역시,0,0,0,0,0,0,0,0,0,0,20,129,0,0,0,0,0,6,2,0
울산광역시,1389,1496,1461,0,0,0,0,0,34,0,0,0,0,0,0,0,12,10,62,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,48,0
경기도,433,557,468,837,538,22,256,173,354,406,0,358,238,837,884,380,1166,781,1036,0
강원도,20912,11461,11777,7188,11009,5704,4420,4008,3832,4817,7628,4406,3042,2522,2791,7640,4426,3458,7917,0
충청북도,450,1244,321,358,563,439,644,878,1022,1498,699,1348,956,1066,1141,965,653,1412,914,0
충청남도,4510,5377,2952,3779,2659,2628,2850,3358,1160,1147,773,1496,936,1228,772,314,1007,870,617,0
전라북도,965,1595,1249,1196,1637,410,574,39,191,27,116,1246,832,182,486,585,667,376,576,0
전라남도,2066,1221,1443,1466,855,809,1180,702,326,1613,1740,1358,971,1626,1066,406,587,478,1187,0
경상북도,3646,3471,2895,1722,2681,3216,2761,2845,2935,2110,3751,5605,7117,8919,7270,5918,4436,5130,3367,0
경상남도,9335,12296,9727,8498,5229,8376,10369,15244,13644,15824,13347,17566,14482,7517,39182,27546,27054,29468,25666,0
제주도,104035,87903,90282,53103,90986,106172,50904,68145,71443,66186,61177,27382,48313,57486,62814,29307,33668,30762,25727,0
