시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,406385,394482,378846,357824,374980,331379,347546,375463,357278,271560,295002,339113,412250,353761,266272,275549,303578,331741,387671,363432
서울특별시,7,7,21,20,39,23,8,17,0,7,15,21,29,36,27,9,7,3,6,6
부산광역시,202,141,110,128,139,462,312,418,385,203,419,477,692,440,219,331,224,235,314,372
대구광역시,3747,4196,3656,3612,3757,2028,2502,3907,3217,3174,2925,3839,3283,2749,1803,6361,7431,7930,8290,6769
인천광역시,946,1089,885,1080,703,724,656,687,456,655,415,592,842,790,783,811,694,588,569,840
광주광역시,474,491,436,501,306,389,336,558,381,259,211,390,432,528,359,419,473,389,597,456
대전광역시,120,71,72,78,77,50,69,121,95,55,109,164,191,282,211,222,238,175,219,215
울산광역시,289,291,301,227,260,446,368,438,399,421,733,699,447,553,652,402,823,958,1219,1239
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,320,265,364,368
경기도,6027,4914,4601,4652,4807,4282,4585,4827,4917,3924,4930,5126,7405,6330,6054,6165,5918,7493,8047,11087
강원도,4078,3769,2349,2322,2628,2355,2596,3162,3362,2944,3810,2933,3539,2551,2385,1452,2100,1999,1865,2476
충청북도,4910,4392,3949,3860,4402,4421,4390,4482,4746,5079,3962,5207,5641,4349,4280,4888,5496,5775,7447,7111
충청남도,30615,29525,26797,28661,30214,20525,24192,29771,29727,23034,24748,30919,40330,34971,27443,31350,32449,42464,45538,37532
전라북도,7639,6531,6083,6330,6743,5673,6910,8138,7153,6377,5990,6745,7183,8640,6858,10450,11861,11610,12406,12704
전라남도,179310,170488,161773,144611,146607,125079,129070,131204,121022,82909,84197,97383,109263,96403,66059,59291,70104,60089,73674,70437
경상북도,46949,44185,44335,40459,50892,45572,46171,48775,47075,38886,44110,60079,68244,59802,46001,54851,60563,84952,100699,83020
경상남도,70713,71678,63753,62591,64423,65644,70042,76193,79028,64393,73812,83981,109090,90254,72010,69874,72649,79363,97925,97511
제주도,50359,52714,59725,58692,58983,53707,55339,62764,55316,39239,44614,40557,55639,45082,31129,28413,32230,27453,28491,31291
