시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,1126929,943442,1298284,1260108,964653,1137609,1030799,1077360,905172,990120,1346296,977820,1059038,604868,576787,540918,649802,578642,500293,0
서울특별시,980,494,654,572,582,524,74,220,602,0,0,0,0,0,0,0,14,0,2,0
부산광역시,15530,18534,16230,13404,9070,9904,6432,7556,4628,2886,234,226,586,196,458,294,864,416,422,0
대구광역시,8186,9114,4764,7314,6286,2262,4196,3012,4108,350,852,572,196,96,1252,4666,1810,6640,4994,0
인천광역시,15986,10486,10154,5644,7034,6454,5780,6912,3292,510,706,170,192,788,462,4402,1490,496,650,0
광주광역시,9272,5798,8256,7632,3836,1964,3602,1974,1502,2270,2850,1784,3406,1458,280,1680,1538,1632,882,0
대전광역시,1590,1424,2910,1896,1440,1234,812,812,688,192,232,0,0,204,172,0,0,270,366,0
울산광역시,2688,3468,3430,5840,2352,3556,1692,846,664,336,716,632,270,386,238,118,396,128,778,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,30,64,0
경기도,165892,117552,116340,123538,79550,94324,53926,78270,51348,41394,46702,41784,70296,119162,129110,61568,73776,79812,72882,0
강원도,175829,142248,166433,139384,100589,146103,148890,150446,118126,91825,135348,111918,107960,108003,100902,117903,140167,120716,105945,0
충청북도,151943,90089,132213,127071,95282,110756,90028,88650,76742,55788,93754,48693,58266,49874,46540,45946,65104,59264,53510,0
충청남도,97204,96414,135082,101636,65888,85980,58778,63246,60260,50024,115920,79402,70378,90234,56648,59886,64656,47134,30478,0
전라북도,128372,122511,117370,143686,98017,64876,56601,91424,74496,66580,116142,68158,88519,91760,97180,87185,124251,80395,66070,0
전라남도,142890,129250,139094,168818,82352,141064,77036,94704,55112,65888,79730,50574,53204,52372,48376,43444,46750,42618,49848,0
경상북도,131632,96329,134116,122985,72210,106756,83927,108070,96973,77517,98476,72472,78220,73361,66657,82306,91239,98844,73856,0
경상남도,63309,56293,61762,51278,46301,36448,33849,46524,21299,9580,19614,22951,18283,6764,15818,20092,27351,28141,26554,0
제주도,15626,43438,249476,239410,293864,325404,405176,334694,335332,524980,635020,478484,509262,10210,12694,11428,10314,12104,12992,0
