시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,1447140,1079219,1156652,1415161,1114821,1421858,1138757,1504639,1582966,1187840,1896828,1298084,1535802,1698463,1436075,1128121,1362621,1404150,1059925,1339742
서울특별시,2310,1613,2440,3471,2464,2910,1496,5380,2186,669,1569,1252,818,953,653,254,494,509,358,228
부산광역시,40846,25552,22147,13382,15638,20618,17063,9249,16806,12005,23667,11957,10256,9710,9355,4584,5270,6859,4890,6267
대구광역시,14450,4867,4254,9005,6666,10183,8573,9808,14580,9245,14040,5235,8689,8137,5327,4526,8369,5975,4974,6673
인천광역시,17593,12223,13527,20805,16254,20593,16437,16590,28352,10613,24158,14813,19055,20482,24080,12449,14641,14935,13601,12720
광주광역시,18538,19151,15596,19736,15849,12692,10087,14036,12438,5858,11700,9040,16696,13205,9635,7602,9330,5545,4190,6523
대전광역시,7418,7513,8466,10173,5369,8451,5516,11097,9864,4171,9931,6297,8487,6991,7073,3968,6064,6316,3517,4230
울산광역시,13274,9118,7544,10056,7425,11720,13772,16575,15373,12276,20267,9831,18292,12669,12192,5589,8483,10994,5675,6919
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5056,3848,3812,3865,3017
경기도,231181,139400,136073,171205,153969,173029,144678,188917,215364,153864,233010,180015,198297,181864,148026,126596,137180,142990,119551,111503
강원도,60499,50735,53747,59235,49925,72896,56853,75771,85480,56284,109193,82057,116102,112985,100067,95255,114653,110879,114111,144285
충청북도,95298,61545,90587,140616,105586,133054,90298,181551,144612,98836,176995,119030,171820,168720,153675,119431,165327,180473,118812,160309
충청남도,313150,236937,220787,284465,185136,237657,185217,229901,236990,182698,249951,173226,173849,204312,159151,121128,165060,128429,92513,118033
전라북도,169445,149370,153898,188365,141331,201430,143378,174614,186201,142969,185880,132299,152890,190784,177136,127151,156932,159886,104488,158193
전라남도,199653,162564,213027,203590,171753,226152,169657,244800,300038,269796,468140,310311,375894,488223,410740,312418,316704,381523,270034,371543
경상북도,110229,83363,95627,132174,99838,152442,130400,176969,175143,114068,197115,145964,158204,175739,141599,131991,189543,181526,154884,168201
경상남도,131366,90056,91837,132369,116274,128085,117973,116147,113425,97556,159840,89924,104633,97289,77142,49917,60723,57021,44447,61098
제주도,21890,25212,27095,16514,21344,9946,27359,33234,26116,16933,11370,6834,1819,6402,227,207,0,6479,14,0
