시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,2315563,1817089,2270420,2161872,1880249,2006260,1628134,1611200,1403217,1310582,1517681,926623,1065337,679739,543177,502059,893619,836727,768145,0
서울특별시,706,3246,2456,3750,1486,588,3826,460,4410,0,0,82,0,0,0,90,46,2,2,0
부산광역시,52070,27528,30802,33026,18460,19388,17020,9030,9126,8286,2294,2944,4932,3280,4252,366,3542,1130,486,0
대구광역시,20972,35950,21360,20966,3850,3012,4718,6422,3022,2742,1730,788,414,350,356,446,2970,566,1992,0
인천광역시,4822,3546,3104,3234,3550,4010,4570,4244,834,406,1016,368,254,0,254,256,288,266,400,0
광주광역시,13940,10200,15260,12546,2018,4406,4616,3694,2284,368,1556,496,1144,5250,242,82,556,846,670,0
대전광역시,2294,388,2946,1992,984,300,564,100,518,1270,2788,0,62,0,0,38,10,16,10,0
울산광역시,3430,6054,4230,6610,5430,6192,6582,1360,4666,1612,2110,448,196,264,716,210,782,956,1300,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,260,88,0
경기도,93312,100972,98158,94092,66336,75552,48484,41164,24550,13718,35174,18460,17108,17136,30508,21918,19274,15020,20206,0
강원도,457381,329737,403809,432614,280550,342322,295633,286683,258048,172898,223498,193341,233885,198664,187687,178623,322393,306831,287577,0
충청북도,239095,159387,255817,201196,115641,98553,77924,84580,84978,86984,136354,31462,46568,47202,33864,59156,87514,68964,65524,0
충청남도,51596,38502,72048,63506,25466,52428,37828,37774,33314,30426,36446,19684,19804,13594,14500,19652,26582,24566,24636,0
전라북도,138690,85482,123199,102342,75034,80521,56999,66134,74738,39391,72622,41086,56624,68462,52608,28294,57461,52088,32988,0
전라남도,899484,683832,964068,791150,1013504,950166,787972,814378,653338,730280,649474,429744,400840,95976,111214,44556,140444,132044,158008,0
경상북도,247414,232721,129317,277818,176467,246581,199079,190867,193350,137560,217206,117042,153213,111545,75138,104013,159115,193494,130682,0
경상남도,62653,53330,76860,81992,53687,78103,57353,45225,39777,47171,94979,40098,42547,43520,21188,28119,47280,25878,25598,0
제주도,27704,46214,66986,35038,37786,44138,24966,19086,16264,37470,40434,30580,87746,74496,10650,16104,25362,13800,17978,0
