시도별,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
계,20550,29861,19188,17844,28797,23073,28741,17790,16249,24969,26603,21513,24549,32102,39007,58947,41147,21305,24966,0
서울특별시,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,5,1,0,0
부산광역시,0,0,0,0,0,247,135,21,10,0,0,0,14,0,24,0,7,5,3,0
대구광역시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
인천광역시,0,27,10,9,3,0,0,0,9,6,5,37,24,0,14,0,16,20,7,0
광주광역시,8,0,0,172,17,17,0,57,0,0,0,22,0,0,13,0,6,22,25,0
대전광역시,0,22,10,20,10,50,11,0,20,19,55,0,0,0,9,32,1,9,3,0
울산광역시,0,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,6,20,36,0
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,6,0
경기도,92,391,84,80,149,92,117,83,73,282,72,134,30,77,637,1897,911,360,1442,0
강원도,26,50,45,0,0,34,38,14,0,0,0,7,13,29,44,37,252,36,57,0
충청북도,122,307,208,96,273,222,361,171,43,116,327,568,446,1326,484,1600,399,404,553,0
충청남도,13190,17072,9289,6925,16140,10875,12426,6190,5013,8149,7978,5048,5130,7726,13859,19977,14935,8274,8576,0
전라북도,4064,6649,5332,6439,8147,6619,6501,4172,4446,6073,4985,3806,3669,4316,3952,7629,6196,1697,2967,0
전라남도,875,1288,1191,1346,984,1482,1658,1210,751,1453,1313,1588,1569,1219,2342,3418,2189,1021,1337,0
경상북도,2058,3817,2874,2231,2766,3287,7369,5810,5792,8440,11504,9743,13171,17251,17043,22897,15505,8420,9422,0
경상남도,110,218,145,316,285,148,118,63,92,130,168,299,413,147,586,1429,715,574,301,0
제주도,5,20,0,210,0,0,0,0,0,301,191,261,70,0,0,0,0,438,231,0
