"주산지시군",2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
"주산지시군",재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤)
"전국",53097,220,116914,54876,292,160398,48825,254,123509,44817,262,117324,44584,214,95391,42574,181,77110,45459,229,104146,45360,260,117816,36120,236,85068,34514,283,97697
"경기 화성",713,160,1144,608,260,1584,-,235,1403,-,204,1148,556,172,956,504,91,460,-,-,-,-,-,-,-,-,-,427,243,1037
"강원 영월",619,183,1132,651,247,1608,645,209,1413,414,299,1240,630,166,1046,-,-,-,-,-,-,-,-,-,-,-,-,405,259,1050
"충북 충주",783,208,1626,776,282,2186,542,255,1382,524,313,1640,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261,234,612
"충북 제천",1191,247,2936,1250,283,3540,1012,272,2685,951,314,2987,837,194,1624,799,107,859,749,222,1660,652,244,1590,505,182,920,434,269,1168
"충북 청원",665,242,1613,625,281,1754,517,257,1304,504,251,1263,-,-,-,526,67,352,-,-,-,-,-,-,-,-,-,346,295,1019
"충북 보은",544,187,1018,474,275,1305,490,280,1371,315,268,843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234,247,578
"충북 괴산",1061,207,2191,1141,311,3550,955,236,2466,921,270,2907,933,194,1881,757,93,708,819,186,1525,676,255,1722,610,220,1343,527,254,1337
"충북 음성",604,215,1296,561,279,1564,447,186,833,377,236,888,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,181,254,460
"충북 단양",832,235,1955,928,312,2893,867,271,2352,688,351,2417,664,280,1858,640,151,965,719,236,1698,613,322,1974,414,233,963,604,271,1638
"충남 공주",322,229,736,428,276,1181,410,237,972,260,241,627,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,201,284,570
"충남 청양",648,248,1609,715,305,2178,727,239,1602,579,273,1581,574,231,1327,527,128,675,-,-,-,518,372,1926,495,267,1321,506,311,1575
"충남 홍성",456,176,801,434,221,958,397,221,876,353,239,843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,241,307,740
"충남 예산",392,236,926,446,231,1029,358,206,737,347,223,773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,282,315,888
"충남 태안",729,315,2297,721,343,2471,616,267,1591,616,249,1533,654,195,1274,525,121,636,607,285,1732,-,-,-,-,-,-,418,356,1490
"충남 당진",452,172,778,409,235,960,422,229,914,344,216,742,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전북 정읍",807,190,1529,866,284,2458,758,194,1404,704,213,1499,689,168,1161,806,210,1696,-,-,-,705,249,1757,555,233,1294,536,258,1382
"전북 김제",466,131,612,423,260,1098,374,297,1114,429,186,797,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,261,316,825
"전북 완주",482,135,652,424,182,770,366,261,956,317,202,641,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,222,315,699
"전북 진안",723,282,2037,660,369,2433,660,242,1595,492,302,1486,629,183,1149,659,222,1460,535,276,1475,642,213,1365,526,256,1345,496,356,1764
"전북 무주",497,210,1044,549,367,2017,493,282,1392,402,290,1168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266,334,887
"전북 임실",659,189,1247,681,262,1785,466,180,838,490,220,1080,-,-,-,508,234,1191,-,-,-,633,264,1673,394,196,772,403,340,1368
