"주산지시군",2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015
"주산지시군",재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤),재배면적 (ha),10a당 생산량 (kg),생산량 (톤)
"전국",31077,50,15489,31321,56,17506,28794,67,19472,11630,40,12780,27154,46,12703,25649,37,9515,25076,39,9690,23184,53,12392,28370,43,12158,25139,46,11678
"충북 충주",464,47,216,402,48,191,305,54,165,420,51,215,301,45,135,-,-,-,290,60,174,268,51,138,320,56,179,406,57,230
"전남 해남",770,61,473,1107,55,608,944,55,523,1419,25,355,904,38,344,879,17,151,1013,14,143,914,44,403,1134,19,218,755,28,213
"전남 무안",1018,71,720,1311,59,780,1153,87,1005,1580,28,441,1199,53,634,1124,29,328,1184,35,410,1010,55,554,1290,30,384,981,43,423
"전남 함평",483,58,278,555,80,446,558,70,390,581,19,112,478,35,168,-,-,-,426,27,113,347,55,191,541,31,167,493,46,225
"전남 신안",1798,71,1276,2150,62,1331,2114,89,1877,2619,37,969,2299,57,1301,1820,24,429,1672,24,397,1537,55,841,1344,18,244,1985,32,638
"경북 안동",1031,41,422,924,43,395,743,57,424,766,53,406,772,41,315,758,58,440,661,49,327,598,57,340,743,54,403,645,57,365
"경북 군위",552,34,187,445,63,279,400,80,318,414,32,134,309,48,149,-,-,-,280,52,145,278,59,164,372,43,159,306,46,141
"경북 의성",837,39,323,682,54,366,654,44,287,727,36,265,634,56,355,647,46,298,611,44,270,535,59,317,740,55,410,533,60,321
"경북 예천",951,48,461,672,55,371,567,52,294,679,45,307,525,48,254,556,46,254,573,49,280,507,52,261,587,55,321,684,69,469
"제주 제주",926,64,594,1123,46,518,1163,43,495,1192,40,471,931,41,378,619,25,152,680,29,199,567,51,287,787,35,278,474,41,193
